,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Newsy Lalonde,1918-19,MTL,C,17,23,9,32,,42,1.88,,,,,2,0,,--,,--,--
2,Frank Nighbor,1918-19,SEN,C,18,19,9,28,,30,1.56,,,,,2,0,,--,,--,--
3,Odie Cleghorn,1918-19,MTL,R,18,21,6,27,,30,1.50,,,,,1,0,,--,,--,--
4,Cy Denneny,1918-19,SEN,L,18,18,6,24,,55,1.33,,,,,2,0,,--,,--,--
5,Didier Pitre,1918-19,MTL,R,17,14,4,18,,15,1.06,,,,,3,0,,--,,--,--
6,Alf Skinner,1918-19,TAN,R,17,12,5,17,,26,1.00,,,,,1,0,,--,,--,--
7,Harry Cameron,1918-19,"TAN, SEN",D,14,11,5,16,,35,1.14,,,,,2,2,,--,,--,--
8,Jack Darragh,1918-19,SEN,R,14,11,4,15,,30,1.07,,,,,3,0,,--,,--,--
9,Ken Randall,1918-19,TAN,R,15,9,6,15,,47,1.00,,,,,1,0,,--,,--,--
10,Sprague Cleghorn,1918-19,SEN,D,18,7,8,15,,27,0.83,,,,,2,0,,--,,--,--
11,Reg Noble,1918-19,TAN,C,17,10,4,14,,43,0.82,,,,,2,0,,--,,--,--
12,Eddie Gerard,1918-19,SEN,L,18,4,9,13,,17,0.72,,,,,0,0,,--,,--,--
13,Jack McDonald,1918-19,MTL,L,18,8,4,12,,6,0.67,,,,,1,0,,--,,--,--
14,Corb Denneny,1918-19,TAN,C,16,8,3,11,,15,0.69,,,,,1,0,,--,,--,--
15,Harry Meeking,1918-19,TAN,L,14,7,4,11,,32,0.79,,,,,0,0,,--,,--,--
16,Rusty Crawford,1918-19,TAN,L,18,7,4,11,,49,0.61,,,,,0,0,,--,,--,--
17,Joe Malone,1918-19,MTL,C,8,7,2,9,,3,1.13,,,,,0,0,,--,,--,--
18,Joe Hall,1918-19,MTL,D,16,7,2,9,,130,0.56,,,,,0,0,,--,,--,--
19,Louis Berlinquette,1918-19,MTL,L,18,5,4,9,,12,0.50,,,,,2,0,,--,,--,--
20,Punch Broadbent,1918-19,SEN,R,8,4,3,7,,12,0.88,,,,,1,1,,--,,--,--
21,Jack Adams,1918-19,TAN,C,17,3,3,6,,47,0.35,,,,,0,0,,--,,--,--
22,George Boucher,1918-19,SEN,D,17,3,2,5,,29,0.29,,,,,0,0,,--,,--,--
23,Bert Corbeau,1918-19,MTL,D,16,2,3,5,,54,0.31,,,,,1,0,,--,,--,--
24,Billy Coutu,1918-19,MTL,D,16,1,2,3,,18,0.19,,,,,0,0,,--,,--,--
25,Harry Mummery,1918-19,TAN,D,13,2,0,2,,35,0.15,,,,,0,0,,--,,--,--
26,Ed Lowrey,1918-19,SEN,C,10,0,1,1,,3,0.10,,,,,0,0,,--,,--,--
27,Skene Ronan,1918-19,SEN,D,11,0,0,0,,6,--,,,,,0,0,,--,,--,--
28,Fred Doherty,1918-19,MTL,R,2,0,0,0,,0,--,,,,,0,0,,--,,--,--
29,Paul Jacobs,1918-19,TAN,D,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
30,Dave Ritchie,1918-19,TAN,D,4,0,0,0,,9,--,,,,,0,0,,--,,--,--
31,Billy Bell,1918-19,MTL,C,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
32,Amos Arbour,1918-19,MTL,L,1,0,0,0,,3,--,,,,,0,0,,--,,--,--
