,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Joe Thornton,2005-06,"BOS, SJS",C,81,29,96,125,31,61,1.54,11,51,0,2,6,1,195,14.9,21:20,26.0,51.3
2,Jaromir Jagr,2005-06,NYR,R,82,54,69,123,34,72,1.50,24,52,0,0,9,2,368,14.7,22:05,22.2,16.7
3,Alex Ovechkin,2005-06,WSH,L,81,52,54,106,2,52,1.31,21,52,3,3,5,2,425,12.2,21:37,24.2,12.5
4,Dany Heatley,2005-06,OTT,L,82,50,53,103,29,86,1.26,23,43,2,4,7,0,300,16.7,21:09,22.3,53.6
5,Daniel Alfredsson,2005-06,OTT,R,77,43,60,103,29,50,1.34,16,48,5,6,8,0,249,17.3,21:41,23.2,20.4
6,Sidney Crosby,2005-06,PIT,C,81,39,63,102,-1,110,1.26,16,47,0,2,5,3,278,14.0,20:08,24.2,45.5
7,Eric Staal,2005-06,CAR,C,82,45,55,100,-8,81,1.22,19,40,4,4,4,0,279,16.1,19:39,25.2,42.5
8,Ilya Kovalchuk,2005-06,ATL,L,78,52,46,98,-6,68,1.26,27,56,0,1,7,0,323,16.1,22:23,22.6,40.4
9,Marc Savard,2005-06,ATL,C,82,28,69,97,7,100,1.18,14,50,1,3,4,2,212,13.2,20:30,24.7,51.6
10,Jonathan Cheechoo,2005-06,SJS,R,82,56,37,93,23,58,1.13,24,41,2,2,11,0,317,17.7,19:57,24.4,20.0
11,Marian Hossa,2005-06,ATL,R,80,39,53,92,17,67,1.15,14,39,7,8,7,1,341,11.4,21:41,26.2,26.7
12,Brad Richards,2005-06,TBL,C,82,23,68,91,0,32,1.11,7,46,4,5,0,0,282,8.2,22:45,24.9,50.2
13,Teemu Selanne,2005-06,ANA,R,80,40,50,90,28,44,1.13,18,40,0,0,5,0,267,15.0,17:48,21.7,41.6
14,Jason Spezza,2005-06,OTT,C,68,19,71,90,23,33,1.32,7,41,0,0,5,1,156,12.2,19:00,19.6,52.6
15,Brian Gionta,2005-06,NJD,R,82,48,41,89,18,46,1.09,24,34,1,1,10,3,291,16.5,19:49,24.5,38.4
16,Olli Jokinen,2005-06,FLA,C,82,38,51,89,14,88,1.09,14,37,1,1,9,4,351,10.8,20:29,24.7,46.9
17,Joe Sakic,2005-06,COL,C,82,32,55,87,10,60,1.06,10,34,0,0,6,1,263,12.2,19:55,26.5,52.5
18,Pavel Datsyuk,2005-06,DET,C,75,28,59,87,26,22,1.16,11,39,0,0,4,1,145,19.3,17:53,22.3,53.1
19,Patrick Marleau,2005-06,SJS,C,82,34,52,86,-12,26,1.05,20,44,1,1,4,2,260,13.1,19:56,23.8,46.8
20,Henrik Zetterberg,2005-06,DET,C,77,39,46,85,29,30,1.10,17,35,1,1,9,0,270,14.4,18:57,24.2,50.2
21,Andy McDonald,2005-06,ANA,L,82,34,51,85,24,32,1.04,13,38,0,1,7,0,229,14.8,16:48,21.7,56.3
22,Paul Kariya,2005-06,NSH,L,82,31,54,85,-6,40,1.04,14,46,0,0,3,1,245,12.7,19:05,23.4,11.1
23,Scott Gomez,2005-06,NJD,C,82,33,51,84,8,42,1.02,9,33,0,0,5,0,244,13.5,18:47,22.8,52.6
24,Brendan Shanahan,2005-06,DET,L,82,40,41,81,29,105,0.99,14,28,0,0,6,0,289,13.8,16:35,21.8,50.0
25,Vinny Prospal,2005-06,TBL,L,81,25,55,80,-3,50,0.99,10,27,0,0,3,1,236,10.6,19:10,22.1,45.3
26,Nicklas Lidstrom,2005-06,DET,D,80,16,64,80,21,50,1.00,9,50,0,0,2,0,243,6.6,28:07,28.3,0.0
27,Simon Gagne,2005-06,PHI,L,72,47,32,79,31,38,1.10,12,23,2,5,7,1,334,14.1,20:46,27.5,38.9
28,Brian Rolston,2005-06,MIN,R,82,34,45,79,14,50,0.96,15,32,5,5,7,0,293,11.6,20:21,28.9,46.4
29,Markus Naslund,2005-06,VAN,L,81,32,47,79,-19,66,0.98,13,42,0,0,2,0,264,12.1,18:28,22.2,28.6
30,Michael Nylander,2005-06,NYR,C,81,23,56,79,31,76,0.98,6,17,0,0,4,1,172,13.4,19:20,21.2,46.5
31,Mats Sundin,2005-06,TOR,C,70,31,47,78,7,58,1.11,16,42,2,4,2,1,220,14.1,19:59,24.9,54.0
32,Alex Tanguay,2005-06,COL,L,71,29,49,78,8,46,1.10,8,29,0,0,4,1,125,23.2,18:22,24.3,30.0
33,Mike Modano,2005-06,DAL,C,78,27,50,77,23,58,0.99,12,34,1,2,4,0,207,13.0,19:34,24.6,51.1
