,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Guy Lafleur,1977-78,MTL,R,78,60,72,132,73,26,1.69,15,36,0,0,12,0,305,19.7,,--,--
2,Bryan Trottier,1977-78,NYI,C,77,46,77,123,52,46,1.60,13,33,2,2,6,0,193,23.8,,--,--
3,Darryl Sittler,1977-78,TOR,C,80,45,72,117,34,100,1.46,14,36,0,0,8,0,311,14.5,,--,--
4,Jacques Lemaire,1977-78,MTL,C,76,36,61,97,54,14,1.28,6,19,0,2,5,0,310,11.6,,--,--
5,Denis Potvin,1977-78,NYI,D,80,30,64,94,57,81,1.18,9,42,0,2,6,0,287,10.4,,--,--
6,Mike Bossy,1977-78,NYI,R,73,53,38,91,31,6,1.25,25,40,0,0,4,0,235,22.6,,--,--
7,Terry O'Reilly,1977-78,BOS,R,77,29,61,90,42,211,1.17,5,22,0,0,4,0,165,17.6,,--,--
8,Gilbert Perreault,1977-78,BUF,C,79,41,48,89,18,20,1.13,7,24,0,0,7,0,192,21.3,,--,--
9,Bobby Clarke,1977-78,PHI,C,71,21,68,89,47,83,1.25,5,24,2,8,1,0,126,16.7,,--,--
10,Lanny McDonald,1977-78,TOR,R,74,47,40,87,35,54,1.18,11,28,0,0,5,0,241,19.5,,--,--
11,Wilf Paiement,1977-78,CLR,R,80,31,56,87,-14,114,1.09,7,30,2,3,1,0,288,10.8,,--,--
12,Steve Shutt,1977-78,MTL,L,80,49,37,86,56,24,1.07,16,23,0,0,7,0,243,20.2,,--,--
13,Clark Gillies,1977-78,NYI,L,80,35,50,85,49,76,1.06,9,26,0,0,2,0,277,12.6,,--,--
14,Jean Ratelle,1977-78,BOS,C,80,25,59,84,48,10,1.05,3,9,0,0,5,0,156,16.0,,--,--
15,Phil Esposito,1977-78,NYR,C,79,38,43,81,-21,53,1.03,21,38,0,1,5,0,261,14.5,,--,--
16,Peter McNab,1977-78,BOS,C,79,41,39,80,33,4,1.01,5,10,0,0,5,0,226,18.1,,--,--
17,Ivan Boldirev,1977-78,CHI,C,80,35,45,80,-3,34,1.00,10,24,0,0,2,0,239,14.6,,--,--
18,Marcel Dionne,1977-78,LAK,C,70,36,43,79,-7,37,1.13,9,27,0,0,4,0,294,12.2,,--,--
19,Brad Park,1977-78,BOS,D,80,22,57,79,69,79,0.99,9,25,0,1,3,0,222,9.9,,--,--
20,Danny Gare,1977-78,BUF,R,69,39,38,77,32,95,1.12,9,18,0,0,2,0,265,14.7,,--,--
21,Borje Salming,1977-78,TOR,D,80,16,60,76,30,70,0.95,6,35,0,0,5,0,256,6.3,,--,--
22,Pat Hickey,1977-78,NYR,L,80,40,33,73,-19,47,0.91,10,28,1,2,3,0,210,19.0,,--,--
23,Guy Charron,1977-78,WSH,C,80,38,35,73,-25,12,0.91,4,12,0,0,3,0,260,14.6,,--,--
24,Butch Goring,1977-78,LAK,C,80,37,36,73,-4,2,0.91,9,22,3,3,5,0,245,15.1,,--,--
25,Rene Robert,1977-78,BUF,R,67,25,48,73,18,25,1.09,7,20,0,0,4,0,209,12.0,,--,--
26,Bill Barber,1977-78,PHI,L,80,41,31,72,31,34,0.90,8,17,4,6,9,0,262,15.6,,--,--
27,Dale McCourt,1977-78,DET,C,76,33,39,72,10,10,0.95,10,29,3,3,5,0,219,15.1,,--,--
28,Ron Greschner,1977-78,NYR,D,78,24,48,72,2,100,0.92,8,31,1,2,5,0,177,13.6,,--,--
29,Bob MacMillan,1977-78,"STL, AFM",R,79,38,33,71,17,49,0.90,8,16,0,0,3,0,220,17.3,,--,--
30,Dennis Maruk,1977-78,CLE,C,76,36,35,71,-26,50,0.93,4,11,2,2,4,0,198,18.2,,--,--
31,Craig Ramsay,1977-78,BUF,L,80,28,43,71,38,18,0.89,2,7,5,7,3,0,159,17.6,,--,--
32,Rick MacLeish,1977-78,PHI,C,76,31,39,70,24,33,0.92,7,20,2,2,7,0,253,12.3,,--,--
33,Andre St. Laurent,1977-78,"NYI, DET",C,79,31,39,70,7,110,0.89,10,18,0,1,4,0,197,15.7,,--,--
34,Peter Mahovlich,1977-78,"MTL, PIT",C,74,28,41,69,10,41,0.93,9,19,2,4,2,0,229,12.2,,--,--
35,Tom Lysiak,1977-78,AFM,C,80,27,42,69,-3,54,0.86,3,11,0,0,5,0,215,12.6,,--,--
36,Mike Walton,1977-78,VAN,C,65,29,37,66,-26,30,1.02,14,29,0,0,4,0,115,25.2,,--,--
37,Walt Tkaczuk,1977-78,NYR,C,80,26,40,66,15,30,0.82,6,10,1,5,3,0,148,17.6,,--,--
38,Jean Pronovost,1977-78,PIT,R,79,40,25,65,-15,50,0.82,12,21,2,2,5,0,219,18.3,,--,--
39,Larry Robinson,1977-78,MTL,D,80,13,52,65,71,39,0.81,3,19,2,2,5,0,154,8.4,,--,--
40,Bob Bourne,1977-78,NYI,C,80,30,33,63,15,31,0.79,2,7,0,0,8,0,178,16.9,,--,--
41,Richard Martin,1977-78,BUF,L,65,28,35,63,16,16,0.97,7,15,0,0,6,0,220,12.7,,--,--
