,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Martin St. Louis,2003-04,TBL,R,82,38,56,94,35,24,1.15,8,30,8,11,7,1,212,17.9,20:35,25.8,33.3
2,Ilya Kovalchuk,2003-04,ATL,L,81,41,46,87,-10,63,1.07,16,33,1,2,6,1,341,12.0,23:41,24.8,32.1
3,Joe Sakic,2003-04,COL,C,81,33,54,87,11,42,1.07,13,37,1,1,3,0,253,13.0,20:16,29.2,52.6
4,Markus Naslund,2003-04,VAN,L,78,35,49,84,24,58,1.08,5,26,0,0,6,4,296,11.8,19:23,24.8,35.7
5,Marian Hossa,2003-04,OTT,R,81,36,46,82,4,46,1.01,14,39,1,1,5,0,233,15.4,18:37,24.8,40.0
6,Patrik Elias,2003-04,NJD,C,82,38,43,81,26,44,0.99,9,20,3,4,9,4,300,12.7,18:46,22.6,36.7
7,Daniel Alfredsson,2003-04,OTT,R,77,32,48,80,12,24,1.04,9,38,0,1,5,0,230,13.9,19:24,23.8,24.2
8,Cory Stillman,2003-04,TBL,L,81,25,55,80,18,36,0.99,11,26,1,1,6,0,178,14.0,19:32,25.3,31.6
9,Robert Lang,2003-04,"WSH, DET",C,69,30,49,79,4,24,1.14,10,37,0,0,3,0,163,18.4,21:18,22.6,45.6
10,Brad Richards,2003-04,TBL,C,82,26,53,79,14,12,0.96,5,26,1,2,6,0,244,10.7,20:26,24.9,46.7
11,Alex Tanguay,2003-04,COL,L,69,25,54,79,30,42,1.14,7,25,0,1,5,1,117,21.4,18:21,26.9,40.8
12,Milan Hejduk,2003-04,COL,R,82,35,40,75,19,20,0.91,16,28,0,1,6,2,237,14.8,18:46,27.3,47.8
13,Mats Sundin,2003-04,TOR,C,81,31,44,75,11,52,0.93,11,29,1,4,10,1,226,13.7,19:52,24.8,53.0
14,Mark Recchi,2003-04,PHI,R,82,26,49,75,18,47,0.91,14,30,1,3,5,0,167,15.6,17:12,24.0,52.3
15,Jaromir Jagr,2003-04,"WSH, NYR",R,77,31,43,74,-5,38,0.96,10,26,0,0,3,0,257,12.1,20:57,22.4,0.0
16,Jarome Iginla,2003-04,CGY,R,81,41,32,73,21,84,0.90,8,21,4,5,10,0,265,15.5,21:18,27.4,54.4
17,Steve Sullivan,2003-04,"CHI, NSH",L,80,24,49,73,1,48,0.91,11,28,2,3,4,0,218,11.0,20:56,25.4,44.0
18,Joe Thornton,2003-04,BOS,C,77,23,50,73,18,98,0.95,4,16,0,0,6,1,187,12.3,21:38,26.9,56.3
19,Keith Tkachuk,2003-04,STL,L,75,33,38,71,8,83,0.95,18,32,0,0,8,2,233,14.2,19:39,26.9,49.5
20,Scott Gomez,2003-04,NJD,C,80,14,56,70,18,70,0.88,3,16,0,0,1,0,189,7.4,16:00,19.4,46.1
21,Bill Guerin,2003-04,DAL,R,82,34,35,69,14,109,0.84,9,22,0,0,10,2,263,12.9,18:42,23.0,18.8
22,Martin Havlat,2003-04,OTT,R,68,31,37,68,12,46,1.00,13,30,0,0,7,1,175,17.7,16:44,21.2,36.4
23,Pavel Datsyuk,2003-04,DET,C,75,30,38,68,-2,35,0.91,8,23,1,1,4,0,136,22.1,18:16,22.3,53.9
24,Shane Doan,2003-04,PHX,R,79,27,41,68,-11,47,0.86,9,27,2,3,1,0,254,10.6,21:46,24.3,40.0
25,Brett Hull,2003-04,DET,R,81,25,43,68,-4,12,0.84,10,23,0,0,6,2,200,12.5,16:54,20.9,42.9
