,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Jaromir Jagr,2000-01,PIT,R,81,52,69,121,19,42,1.49,14,41,1,2,10,0,317,16.4,23:19,23.4,0.0
2,Joe Sakic,2000-01,COL,C,82,54,64,118,45,30,1.44,19,46,3,6,12,2,332,16.3,23:01,31.7,53.0
3,Patrik Elias,2000-01,NJD,C,82,40,56,96,45,51,1.17,8,29,3,3,6,3,220,18.2,18:44,22.5,41.3
4,Alex Kovalev,2000-01,PIT,R,79,44,51,95,12,96,1.20,12,37,2,3,9,2,307,14.3,23:35,24.1,40.0
5,Jason Allison,2000-01,BOS,C,82,36,59,95,-8,85,1.16,11,44,3,4,6,0,185,19.4,23:21,24.3,51.9
6,Martin Straka,2000-01,PIT,C,82,27,68,95,19,38,1.16,7,40,1,2,4,0,185,14.6,23:01,23.8,43.2
7,Pavel Bure,2000-01,FLA,R,82,59,33,92,-2,58,1.12,19,28,5,5,8,2,384,15.4,26:52,26.5,20.0
8,Doug Weight,2000-01,EDM,C,82,25,65,90,12,91,1.10,8,40,0,0,3,2,188,13.3,22:08,21.2,51.3
9,Ziggy Palffy,2000-01,LAK,R,73,38,51,89,22,20,1.22,12,40,4,4,8,1,217,17.5,19:46,22.5,80.0
10,Peter Forsberg,2000-01,COL,C,73,27,62,89,23,54,1.22,12,36,2,6,5,2,178,15.2,20:48,29.1,46.6
11,Alexei Yashin,2000-01,OTT,C,82,40,48,88,10,30,1.07,13,30,2,2,10,1,263,15.2,20:24,24.2,43.1
12,Luc Robitaille,2000-01,LAK,L,82,37,51,88,10,66,1.07,16,45,1,1,4,0,235,15.7,18:42,20.9,33.3
13,Bill Guerin,2000-01,"EDM, BOS",R,85,40,45,85,7,140,1.00,11,28,1,1,5,0,289,13.8,22:00,23.5,41.7
14,Mike Modano,2000-01,DAL,C,81,33,51,84,26,52,1.04,8,25,3,3,7,1,208,15.9,22:24,27.5,52.0
15,Alexander Mogilny,2000-01,NJD,R,75,43,40,83,10,43,1.11,12,29,0,0,7,0,240,17.9,16:53,18.4,36.4
16,Pierre Turgeon,2000-01,STL,C,79,30,52,82,14,37,1.04,11,31,0,0,6,2,171,17.5,18:50,23.3,49.6
17,Adam Oates,2000-01,WSH,C,81,13,69,82,-9,28,1.01,5,42,0,2,4,1,72,18.1,21:00,22.6,58.9
18,Peter Bondra,2000-01,WSH,R,82,45,36,81,8,60,0.99,22,33,4,5,8,0,305,14.8,20:48,22.8,50.0
19,Petr Sykora,2000-01,NJD,R,73,35,46,81,36,32,1.11,9,24,2,3,3,0,249,14.1,17:44,21.2,33.3
20,Robert Lang,2000-01,PIT,C,82,32,48,80,20,28,0.98,10,25,0,0,2,0,177,18.1,20:24,23.0,43.9
21,Milan Hejduk,2000-01,COL,R,80,41,38,79,32,36,0.99,12,27,1,3,9,2,213,19.2,19:52,27.7,33.3
22,Brett Hull,2000-01,DAL,R,79,39,40,79,10,18,1.00,11,33,0,0,8,1,219,17.8,17:53,21.9,30.0
23,Keith Tkachuk,2000-01,"PHX, STL",L,76,35,44,79,3,122,1.04,17,30,0,1,5,0,271,12.9,20:06,23.6,52.1
24,Donald Audette,2000-01,"ATL, BUF",R,76,34,45,79,-2,76,1.04,14,31,1,1,3,0,225,15.1,19:50,22.3,50.0
25,Brian Leetch,2000-01,NYR,D,82,21,58,79,-18,34,0.96,10,37,1,5,3,1,241,8.7,29:21,29.9,0.0
26,Petr Nedved,2000-01,NYR,C,79,32,46,78,10,54,0.99,9,21,1,1,5,0,230,13.9,20:16,22.7,49.7
27,Alex Tanguay,2000-01,COL,L,82,27,50,77,35,37,0.94,7,18,1,1,3,0,135,20.0,17:51,25.5,43.3
28,Mark Recchi,2000-01,PHI,R,69,27,50,77,15,33,1.12,7,24,1,2,8,1,191,14.1,21:40,26.4,42.8
29,Mario Lemieux,2000-01,PIT,C,43,35,41,76,15,18,1.77,16,32,1,1,5,1,171,20.5,24:20,24.7,52.1
30,Brendan Shanahan,2000-01,DET,L,81,31,45,76,9,81,0.94,15,36,1,1,7,2,278,11.2,18:22,21.5,43.5
31,Jeremy Roenick,2000-01,PHX,C,80,30,46,76,-1,114,0.95,13,26,0,0,7,1,192,15.6,21:00,23.1,49.1
32,Ray Ferraro,2000-01,ATL,C,81,29,47,76,-11,91,0.94,11,28,0,0,2,1,172,16.9,18:19,21.2,48.0
33,Markus Naslund,2000-01,VAN,L,72,41,34,75,-2,58,1.04,18,34,1,1,5,0,277,14.8,19:03,23.1,50.0
34,Steve Sullivan,2000-01,CHI,L,81,34,41,75,3,54,0.93,6,16,8,10,3,1,204,16.7,20:32,23.2,42.4
35,Marian Hossa,2000-01,OTT,R,81,32,43,75,19,44,0.93,11,23,2,4,7,1,249,12.8,18:01,23.4,42.9
36,Sergei Samsonov,2000-01,BOS,L,82,29,46,75,6,18,0.91,3,18,0,1,3,1,215,13.5,19:23,21.4,42.9
37,Theo Fleury,2000-01,NYR,R,62,30,44,74,0,122,1.19,8,31,7,9,3,2,238,12.6,21:47,23.6,47.5
38,Mats Sundin,2000-01,TOR,C,82,28,46,74,15,76,0.90,9,22,0,1,6,1,226,12.4,19:21,21.6,56.6
39,Scott Young,2000-01,STL,R,81,40,33,73,15,30,0.90,14,30,3,4,7,1,321,12.5,19:18,24.6,25.0
40,Keith Primeau,2000-01,PHI,C,71,34,39,73,17,76,1.03,11,22,0,1,4,1,165,20.6,19:58,26.1,53.4
41,Teemu Selanne,2000-01,"ANA, SJS",R,73,33,39,72,-7,36,0.99,12,31,0,0,7,0,233,14.2,21:15,22.8,62.5
42,Shawn McEachern,2000-01,OTT,L,82,32,40,72,10,62,0.88,9,19,0,0,1,0,231,13.9,18:25,23.2,48.8
43,Joe Thornton,2000-01,BOS,C,72,37,34,71,-4,107,0.99,19,26,1,1,5,1,181,20.4,21:45,24.4,52.1
44,Jarome Iginla,2000-01,CGY,R,77,31,40,71,-2,62,0.92,10,28,0,1,4,0,229,13.5,19:58,24.6,51.7
45,Nicklas Lidstrom,2000-01,DET,D,82,15,56,71,9,18,0.87,8,43,0,1,0,0,272,5.5,28:27,28.0,0.0
46,Ryan Smyth,2000-01,EDM,L,82,31,39,70,10,58,0.85,11,25,0,2,6,0,245,12.7,19:58,21.1,35.3
47,Daniel Alfredsson,2000-01,OTT,R,68,24,46,70,11,30,1.03,10,25,0,0,3,0,206,11.7,18:47,22.9,50.0
48,Sergei Fedorov,2000-01,DET,C,75,32,37,69,12,40,0.92,14,37,2,3,7,2,268,11.9,21:05,24.3,55.8
49,Jeff O'Neill,2000-01,CAR,C,82,41,26,67,-18,106,0.82,17,29,0,0,5,1,242,16.9,18:20,23.0,50.0
50,Paul Kariya,2000-01,ANA,L,66,33,34,67,-9,20,1.02,18,34,3,3,3,0,230,14.3,23:02,24.8,44.3
51,Radek Dvorak,2000-01,NYR,R,82,31,36,67,9,20,0.82,5,13,2,4,3,0,230,13.5,19:04,22.5,30.0
52,Mark Messier,2000-01,NYR,C,82,24,43,67,-25,89,0.82,12,29,3,6,2,0,131,18.3,19:14,23.9,55.5
53,Chris Drury,2000-01,COL,C,71,24,41,65,6,47,0.92,11,30,0,0,5,0,204,11.8,18:03,26.6,55.1
54,Marc Savard,2000-01,CGY,C,77,23,42,65,-12,46,0.84,10,25,1,2,5,1,197,11.7,19:13,23.3,53.0
55,Ron Francis,2000-01,CAR,C,82,15,50,65,-15,32,0.79,7,33,0,0,4,1,130,11.5,20:15,25.0,57.5
56,Tony Amonte,2000-01,CHI,R,82,35,29,64,-22,54,0.78,9,23,1,1,3,0,256,13.7,22:09,26.0,40.7
57,Jan Hlavac,2000-01,NYR,L,79,28,36,64,3,20,0.81,5,17,0,0,6,0,195,14.3,16:38,18.9,0.0
58,Michael Nylander,2000-01,CHI,C,82,25,39,64,7,32,0.78,4,15,0,2,5,0,176,14.2,18:52,21.1,48.3
59,Shane Doan,2000-01,PHX,R,76,26,37,63,0,89,0.83,6,23,1,1,6,1,220,11.8,19:32,22.5,40.0
60,Scott Gomez,2000-01,NJD,C,76,14,49,63,-1,46,0.83,2,17,0,0,4,1,155,9.0,15:46,17.7,44.5
61,Mariusz Czerkawski,2000-01,NYI,R,82,30,32,62,-24,48,0.76,10,21,1,2,0,0,287,10.4,18:44,21.7,50.0
62,Miroslav Satan,2000-01,BUF,R,82,29,33,62,5,36,0.76,8,20,2,5,4,0,206,14.1,19:56,22.4,36.4
63,Brad Richards,2000-01,TBL,C,82,21,41,62,-10,14,0.76,7,26,0,0,3,1,179,11.7,16:54,18.8,41.4
64,Cliff Ronning,2000-01,NSH,C,80,19,43,62,4,28,0.78,6,31,0,0,4,1,237,8.0,17:23,18.3,45.0
65,Simon Gagne,2000-01,PHI,L,69,27,32,59,24,18,0.85,6,17,0,0,7,0,191,14.1,18:05,22.7,28.6
66,Bryan Smolinski,2000-01,LAK,C,78,27,32,59,10,40,0.76,5,21,3,4,5,2,183,14.8,18:32,23.5,48.7
67,Radek Bonk,2000-01,OTT,C,74,23,36,59,27,52,0.80,5,17,2,4,3,0,139,16.5,18:16,24.4,51.2
68,Rob Blake,2000-01,"LAK, COL",D,67,19,40,59,3,77,0.88,10,29,0,1,2,0,267,7.1,27:46,30.1,0.0
69,Andrew Brunette,2000-01,ATL,L,77,15,44,59,-5,26,0.77,6,22,0,0,4,0,104,14.4,16:58,19.7,54.5
70,Ray Bourque,2000-01,COL,D,80,7,52,59,25,48,0.74,2,33,2,2,0,0,216,3.2,26:06,32.4,0.0
71,Brian Rolston,2000-01,BOS,R,77,19,39,58,6,28,0.75,5,23,0,4,4,1,286,6.6,19:19,21.9,45.6
72,Eric Daze,2000-01,CHI,L,79,33,24,57,1,16,0.72,9,12,1,4,8,0,205,16.1,17:45,22.4,33.3
73,Martin Lapointe,2000-01,DET,R,82,27,30,57,3,127,0.70,13,23,0,1,8,0,181,14.9,16:06,20.5,53.1
74,Sami Kapanen,2000-01,CAR,R,82,20,37,57,-12,24,0.70,7,26,0,1,4,0,223,9.0,18:56,23.0,16.7
75,Sergei Gonchar,2000-01,WSH,D,76,19,38,57,12,70,0.75,8,34,0,0,2,0,241,7.9,22:26,25.3,100.0
76,Freddy Modin,2000-01,TBL,L,76,32,24,56,-1,48,0.74,8,19,0,0,4,0,217,14.7,17:15,20.7,42.9
77,Geoff Sanderson,2000-01,CBJ,L,68,30,26,56,4,46,0.82,9,19,0,0,7,1,199,15.1,16:37,18.9,49.0
78,Rod Brind'Amour,2000-01,CAR,C,79,20,36,56,-7,47,0.71,5,17,1,2,5,1,163,12.3,22:07,27.2,60.4
79,Andrew Cassels,2000-01,VAN,C,66,12,44,56,1,10,0.85,2,21,0,2,1,0,104,11.5,19:22,24.4,49.9
80,Valeri Bure,2000-01,CGY,R,78,27,28,55,-21,26,0.71,16,27,0,0,2,1,276,9.8,19:01,23.2,11.1
81,Todd Bertuzzi,2000-01,VAN,R,79,25,30,55,-18,93,0.70,14,24,0,0,3,0,203,12.3,17:13,21.4,45.2
82,Jason Arnott,2000-01,NJD,C,54,21,34,55,23,75,1.02,8,15,0,0,3,0,138,15.2,16:12,18.7,49.6
83,Jozef Stumpel,2000-01,LAK,L,63,16,39,55,20,14,0.87,9,18,0,1,6,0,95,16.8,19:35,22.7,52.7
84,Steve Heinze,2000-01,"CBJ, BUF",R,79,27,27,54,-13,46,0.68,15,23,0,0,4,0,144,18.8,18:13,20.8,28.9
85,Scott Walker,2000-01,NSH,R,74,25,29,54,-2,66,0.73,9,23,3,5,1,0,159,15.7,19:17,21.7,51.4
86,Brendan Morrison,2000-01,VAN,C,82,16,38,54,2,42,0.66,3,15,2,5,3,1,179,8.9,18:22,23.3,50.1
87,Daymond Langkow,2000-01,PHI,C,71,13,41,54,12,50,0.76,3,13,0,0,2,0,190,6.8,18:38,23.3,47.2
88,Al MacInnis,2000-01,STL,D,59,12,42,54,23,52,0.92,6,35,1,3,3,1,218,5.5,26:32,27.4,0.0
89,Gary Roberts,2000-01,TOR,L,82,29,24,53,16,109,0.65,8,12,2,2,3,1,138,21.0,17:08,19.4,46.2
90,Oleg Tverdovsky,2000-01,ANA,D,82,14,39,53,-11,32,0.65,8,36,0,0,3,1,188,7.4,24:25,28.4,0.0
91,Espen Knutsen,2000-01,CBJ,C,66,11,42,53,-3,30,0.80,2,27,0,0,0,0,62,17.7,15:59,18.8,52.8
92,Joe Nieuwendyk,2000-01,DAL,C,69,29,23,52,5,30,0.75,12,20,0,0,4,1,166,17.5,16:11,21.8,57.2
93,Patrick Marleau,2000-01,SJS,C,81,25,27,52,7,22,0.64,5,12,0,0,6,0,146,17.1,16:17,18.8,44.8
94,Yanic Perreault,2000-01,TOR,C,76,24,28,52,0,52,0.68,5,18,0,0,2,0,134,17.9,14:01,16.1,62.6
95,Cory Stillman,2000-01,"CGY, STL",L,78,24,28,52,-8,51,0.67,10,18,0,0,4,0,174,13.8,18:48,24.9,45.5
96,Sergei Brylin,2000-01,NJD,L,75,23,29,52,25,24,0.69,3,9,1,1,0,0,130,17.7,15:31,18.4,44.2
97,Martin Gelinas,2000-01,CAR,L,79,23,29,52,-4,59,0.66,6,12,1,2,4,0,170,13.5,17:54,23.0,0.0
98,Steve Yzerman,2000-01,DET,C,54,18,34,52,4,18,0.96,5,20,0,1,7,3,155,11.6,22:14,24.7,59.6
99,Brian Rafalski,2000-01,NJD,D,78,9,43,52,36,26,0.67,6,22,0,0,1,0,142,6.3,21:41,23.6,100.0
100,Vincent Lecavalier,2000-01,TBL,C,68,23,28,51,-26,66,0.75,7,17,0,0,3,0,165,13.9,19:57,21.1,44.9
101,J-P Dumont,2000-01,BUF,R,79,23,28,51,1,54,0.65,9,14,0,0,5,1,156,14.7,15:01,18.3,33.3
102,Mathieu Schneider,2000-01,LAK,D,73,16,35,51,0,56,0.70,7,27,1,2,2,0,183,8.7,23:04,24.9,0.0
103,Sergei Zubov,2000-01,DAL,D,79,10,41,51,22,24,0.65,6,26,0,2,1,0,173,5.8,26:37,26.5,0.0
104,Sergei Berezin,2000-01,TOR,L,79,22,28,50,2,8,0.63,10,15,0,0,3,0,256,8.6,15:41,16.9,75.0
105,Bobby Holik,2000-01,NJD,C,80,15,35,50,19,97,0.63,3,16,0,0,3,1,206,7.3,15:49,18.8,56.0
106,Owen Nolan,2000-01,SJS,R,57,24,25,49,0,75,0.86,10,21,1,1,4,0,191,12.6,21:49,24.6,46.9
