,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Mario Lemieux,1996-97,PIT,C,76,50,72,122,27,65,1.61,15,37,3,6,7,0,327,15.3,,--,--
2,Teemu Selanne,1996-97,ANA,R,78,51,58,109,28,34,1.40,11,32,1,1,8,1,273,18.7,,--,--
3,Paul Kariya,1996-97,ANA,L,69,44,55,99,36,6,1.43,15,34,3,4,10,0,340,12.9,,--,--
4,John LeClair,1996-97,PHI,L,82,50,47,97,44,58,1.18,10,16,0,0,5,0,324,15.4,,--,--
5,Wayne Gretzky,1996-97,NYR,C,82,25,72,97,12,28,1.18,6,31,0,1,2,0,286,8.7,,--,--
6,Jaromir Jagr,1996-97,PIT,R,63,47,48,95,22,40,1.51,11,25,2,3,6,0,234,20.1,,--,--
7,Mats Sundin,1996-97,TOR,C,82,41,53,94,6,59,1.15,7,20,4,7,8,0,281,14.6,,--,--
8,Ziggy Palffy,1996-97,NYI,R,80,48,42,90,21,43,1.13,6,21,4,6,6,0,292,16.4,,--,--
9,Ron Francis,1996-97,PIT,C,81,27,63,90,7,20,1.11,10,34,1,2,2,0,183,14.8,,--,--
10,Brendan Shanahan,1996-97,"HFD, DET",L,81,47,41,88,32,131,1.09,20,35,3,5,7,1,336,14.0,,--,--
11,Keith Tkachuk,1996-97,PHX,L,81,52,34,86,-1,228,1.06,9,19,2,2,7,1,296,17.6,,--,--
12,Peter Forsberg,1996-97,COL,C,65,28,58,86,31,73,1.32,5,26,4,7,4,0,188,14.9,,--,--
13,Pierre Turgeon,1996-97,"MTL, STL",C,78,26,59,85,8,14,1.09,5,27,0,0,7,0,216,12.0,,--,--
14,Steve Yzerman,1996-97,DET,C,81,22,63,85,22,78,1.05,8,26,0,2,3,0,232,9.5,,--,--
15,Mark Messier,1996-97,NYR,C,71,36,48,84,12,88,1.18,7,18,5,11,9,0,227,15.8,,--,--
16,Mike Modano,1996-97,DAL,C,80,35,48,83,43,42,1.04,9,17,5,7,9,1,291,12.0,,--,--
17,Brett Hull,1996-97,STL,R,77,42,40,82,-9,10,1.06,12,26,2,2,6,0,302,13.9,,--,--
18,Doug Gilmour,1996-97,"TOR, NJD",C,81,22,60,82,2,68,1.01,4,22,1,1,1,0,143,15.4,,--,--
19,Adam Oates,1996-97,"BOS, WSH",C,80,22,60,82,-5,14,1.02,3,19,2,6,5,1,160,13.8,,--,--
20,Doug Weight,1996-97,EDM,C,80,21,61,82,1,80,1.02,4,39,0,0,2,0,235,8.9,,--,--
21,Vincent Damphousse,1996-97,MTL,C,82,27,54,81,-6,82,0.99,7,21,2,5,3,0,244,11.1,,--,--
22,Mark Recchi,1996-97,MTL,R,82,34,46,80,-1,58,0.98,7,20,2,3,3,0,202,16.8,,--,--
23,Eric Lindros,1996-97,PHI,C,52,32,47,79,31,136,1.52,9,23,0,0,7,2,198,16.2,,--,--
24,Brian Leetch,1996-97,NYR,D,82,20,58,78,31,40,0.95,9,30,0,2,2,0,256,7.8,,--,--
25,Peter Bondra,1996-97,WSH,R,77,46,31,77,7,72,1.00,10,20,4,4,3,0,314,14.6,,--,--
26,Tony Amonte,1996-97,CHI,R,81,41,36,77,35,64,0.95,9,15,2,3,4,0,266,15.4,,--,--
27,Jozef Stumpel,1996-97,BOS,L,78,21,55,76,-22,14,0.97,6,24,0,0,1,0,168,12.5,,--,--
28,Alexei Yashin,1996-97,OTT,C,82,35,40,75,-7,44,0.91,10,27,0,1,5,0,291,12.0,,--,--
29,Joe Sakic,1996-97,COL,C,65,22,52,74,-10,34,1.14,10,36,2,3,5,0,261,8.4,,--,--
30,Alexander Mogilny,1996-97,VAN,R,76,31,42,73,9,18,0.96,7,16,1,2,4,1,174,17.8,,--,--
31,Petr Nedved,1996-97,PIT,C,74,33,38,71,-2,66,0.96,12,26,3,3,4,0,189,17.5,,--,--
32,Daniel Alfredsson,1996-97,OTT,R,76,24,47,71,5,30,0.93,11,31,1,3,1,0,247,9.7,,--,--
33,Jeremy Roenick,1996-97,PHX,C,72,29,40,69,-7,115,0.96,10,21,3,6,7,1,228,12.7,,--,--
34,Martin Gelinas,1996-97,VAN,L,74,35,33,68,6,42,0.92,6,11,1,2,3,0,177,19.8,,--,--
35,Sandis Ozolinsh,1996-97,COL,D,80,23,45,68,4,88,0.85,13,42,0,1,4,0,232,9.9,,--,--
36,Geoff Sanderson,1996-97,HFD,L,82,36,31,67,-9,29,0.82,12,23,1,1,4,0,297,12.1,,--,--
37,Theo Fleury,1996-97,CGY,R,81,29,38,67,-12,104,0.83,9,24,2,3,3,0,336,8.6,,--,--
38,Steve Rucchin,1996-97,ANA,C,79,19,48,67,26,24,0.85,6,16,1,3,2,2,153,12.4,,--,--
39,Valeri Kamensky,1996-97,COL,L,68,28,38,66,5,38,0.97,8,26,0,0,4,1,165,17.0,,--,--
40,Andrew Cassels,1996-97,HFD,C,81,22,44,66,-16,46,0.81,8,22,0,2,2,0,142,15.5,,--,--
41,Travis Green,1996-97,NYI,C,79,23,41,64,-5,38,0.81,10,19,0,0,3,0,177,13.0,,--,--
42,Mike Gartner,1996-97,PHX,R,82,32,31,63,-11,38,0.77,13,25,1,1,7,1,271,11.8,,--,--
43,Owen Nolan,1996-97,SJS,R,72,31,32,63,-19,155,0.88,10,20,0,0,3,0,225,13.8,,--,--
44,Sergei Fedorov,1996-97,DET,C,74,30,33,63,29,30,0.85,9,15,2,3,4,1,273,11.0,,--,--
45,Chris Gratton,1996-97,TBL,C,82,30,32,62,-28,201,0.76,9,18,0,0,4,0,230,13.0,,--,--
46,Jeff Friesen,1996-97,SJS,L,82,28,34,62,-8,75,0.76,6,13,2,3,5,0,200,14.0,,--,--
47,Bobby Holik,1996-97,NJD,C,82,23,39,62,24,54,0.76,5,13,0,0,6,0,192,12.0,,--,--
48,Robert Reichel,1996-97,"CGY, NYI",C,82,21,41,62,5,26,0.76,6,20,1,1,3,1,214,9.8,,--,--
49,Alexei Zhamnov,1996-97,CHI,C,74,20,42,62,18,56,0.84,6,22,1,3,2,0,208,9.6,,--,--
50,Ryan Smyth,1996-97,EDM,L,82,39,22,61,-7,76,0.74,20,24,0,0,4,0,265,14.7,,--,--
51,Adam Graves,1996-97,NYR,L,82,33,28,61,10,66,0.74,10,16,4,6,3,0,269,12.3,,--,--
52,Dave Andreychuk,1996-97,NJD,L,82,27,34,61,38,48,0.74,4,9,1,1,2,0,233,11.6,,--,--
53,Dino Ciccarelli,1996-97,TBL,R,77,35,25,60,-11,116,0.78,12,18,0,0,6,0,229,15.3,,--,--
54,Adam Deadmarsh,1996-97,COL,R,78,33,27,60,8,136,0.77,10,24,3,4,4,0,198,16.7,,--,--
55,Ray Sheppard,1996-97,FLA,R,68,29,31,60,4,4,0.88,13,22,0,0,7,1,226,12.8,,--,--
56,Dave Gagner,1996-97,CGY,C,82,27,33,60,2,48,0.73,9,21,0,3,4,1,228,11.8,,--,--
57,Brian Savage,1996-97,MTL,L,81,23,37,60,-14,39,0.74,5,12,0,0,2,1,219,10.5,,--,--
58,Andrei Kovalenko,1996-97,EDM,R,74,32,27,59,-5,81,0.80,14,25,0,0,2,0,163,19.6,,--,--
59,Rod Brind'Amour,1996-97,PHI,C,82,27,32,59,2,41,0.72,8,13,2,4,3,1,205,13.2,,--,--
60,Derek King,1996-97,"NYI, HFD",L,82,26,33,59,-6,22,0.72,6,12,0,0,3,0,181,14.4,,--,--
61,Mikael Renberg,1996-97,PHI,R,77,22,37,59,36,65,0.77,1,9,0,0,4,0,249,8.8,,--,--
62,Jason Arnott,1996-97,EDM,C,67,19,38,57,-21,92,0.85,10,32,1,1,2,0,248,7.7,,--,--
63,Geoff Courtnall,1996-97,STL,L,82,17,40,57,3,86,0.70,4,14,0,0,2,0,203,8.4,,--,--
64,Nicklas Lidstrom,1996-97,DET,D,79,15,42,57,11,30,0.72,8,30,0,1,1,0,214,7.0,,--,--
65,Bryan Smolinski,1996-97,NYI,C,64,28,28,56,9,25,0.88,9,18,0,0,1,0,183,15.3,,--,--
66,Scott Mellanby,1996-97,FLA,R,82,27,29,56,7,170,0.68,9,15,1,1,4,0,221,12.2,,--,--
67,Dmitri Khristich,1996-97,LAK,R,75,19,37,56,8,38,0.75,3,9,0,2,2,0,135,14.1,,--,--
68,Saku Koivu,1996-97,MTL,C,50,17,39,56,7,38,1.12,5,17,0,1,3,1,135,12.6,,--,--
69,Martin Rucinsky,1996-97,MTL,L,70,28,27,55,1,62,0.79,6,15,3,3,3,0,172,16.3,,--,--
70,Eddie Olczyk,1996-97,"LAK, PIT",R,79,25,30,55,-14,51,0.70,5,18,1,1,6,0,195,12.8,,--,--
71,Pavel Bure,1996-97,VAN,R,63,23,32,55,-14,40,0.87,4,12,1,3,2,0,265,8.7,,--,--
72,John Cullen,1996-97,TBL,C,70,18,37,55,-14,95,0.79,5,23,0,0,2,0,116,15.5,,--,--
73,Oleg Tverdovsky,1996-97,PHX,D,82,10,45,55,-5,30,0.67,3,30,1,1,2,0,144,6.9,,--,--
74,John MacLean,1996-97,NJD,R,80,29,25,54,11,49,0.68,5,8,0,0,6,0,254,11.4,,--,--
75,Kevin Hatcher,1996-97,PIT,D,80,15,39,54,11,103,0.68,9,25,0,1,1,0,199,7.5,,--,--
76,Igor Larionov,1996-97,DET,C,64,12,42,54,31,26,0.84,2,17,1,2,4,1,95,12.6,,--,--
77,Derek Plante,1996-97,BUF,C,82,27,26,53,14,24,0.65,5,10,0,1,6,0,191,14.1,,--,--
78,Pat Verbeek,1996-97,DAL,R,81,17,36,53,3,128,0.65,5,14,0,0,4,1,172,9.9,,--,--
79,Craig Janney,1996-97,PHX,C,77,15,38,53,-1,26,0.69,5,13,0,0,1,0,88,17.0,,--,--
80,Niklas Sundstrom,1996-97,NYR,R,82,24,28,52,23,20,0.63,5,7,1,3,4,2,132,18.2,,--,--
