,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Sidney Crosby,2013-14,PIT,C,80,36,68,104,18,46,1.30,11,38,0,0,5,1,259,13.9,21:58,24.0,52.5
2,Ryan Getzlaf,2013-14,ANA,C,77,31,56,87,28,31,1.13,5,23,0,0,7,1,204,15.2,21:17,25.2,49.0
3,Claude Giroux,2013-14,PHI,C,82,28,58,86,7,46,1.05,7,37,0,0,7,1,223,12.6,20:26,25.1,52.9
4,Tyler Seguin,2013-14,DAL,C,80,37,47,84,16,18,1.05,11,25,0,0,8,0,294,12.6,19:21,23.4,41.5
5,Corey Perry,2013-14,ANA,R,81,43,39,82,32,65,1.01,8,18,0,0,9,1,280,15.3,19:29,23.2,36.0
6,Phil Kessel,2013-14,TOR,R,82,37,43,80,-5,27,0.98,8,20,0,0,6,0,305,12.1,20:40,24.5,14.3
7,Taylor Hall,2013-14,EDM,L,75,27,53,80,-15,44,1.07,7,17,0,1,1,1,250,10.8,20:01,25.4,45.7
8,Alex Ovechkin,2013-14,WSH,L,78,51,28,79,-35,48,1.01,24,39,0,1,10,3,386,13.2,20:33,21.8,66.7
9,Joe Pavelski,2013-14,SJS,C,82,41,38,79,23,32,0.96,16,31,1,2,3,0,225,18.2,19:51,27.1,56.0
10,Jamie Benn,2013-14,DAL,L,81,34,45,79,21,64,0.98,5,19,1,3,3,1,279,12.2,19:09,25.0,52.8
11,Nicklas Backstrom,2013-14,WSH,C,82,18,61,79,-20,54,0.96,6,44,1,1,1,0,196,9.2,19:48,23.3,50.4
12,Patrick Sharp,2013-14,CHI,L,82,34,44,78,13,40,0.95,10,25,0,0,3,1,313,10.9,18:53,22.7,54.6
13,Joe Thornton,2013-14,SJS,C,82,11,65,76,20,32,0.93,2,19,0,1,3,1,122,9.0,18:56,26.3,56.1
14,Erik Karlsson,2013-14,OTT,D,82,20,54,74,-15,36,0.90,5,31,0,0,1,0,257,7.8,27:04,28.6,0.0
15,Evgeni Malkin,2013-14,PIT,C,60,23,49,72,10,62,1.20,7,30,0,0,3,0,191,12.0,20:04,21.4,48.8
16,Patrick Marleau,2013-14,SJS,C,82,33,37,70,0,18,0.85,11,23,2,2,4,0,285,11.6,20:31,27.3,52.9
17,Anze Kopitar,2013-14,LAK,C,82,29,41,70,34,24,0.85,10,23,0,0,9,2,200,14.5,20:53,25.4,53.3
18,Matt Duchene,2013-14,COL,C,71,23,47,70,8,19,0.99,5,17,0,0,6,1,217,10.6,18:30,22.0,50.3
19,Martin St. Louis,2013-14,"TBL, NYR",R,81,30,39,69,13,10,0.85,9,21,1,2,5,1,204,14.7,20:56,25.7,40.7
20,Patrick Kane,2013-14,CHI,R,69,29,40,69,7,22,1.00,10,25,0,0,6,0,227,12.8,19:37,22.9,50.0
21,Blake Wheeler,2013-14,WPG,R,82,28,41,69,4,63,0.84,8,19,0,0,4,2,225,12.4,18:41,24.0,37.5
22,Kyle Okposo,2013-14,NYI,R,71,27,42,69,-9,51,0.97,5,15,0,0,4,1,195,13.8,20:26,22.2,47.5
23,David Krejci,2013-14,BOS,C,80,19,50,69,39,28,0.86,3,19,0,0,6,1,169,11.2,19:07,21.3,51.1
24,Chris Kunitz,2013-14,PIT,L,78,35,33,68,25,66,0.87,13,22,0,0,8,0,218,16.1,19:09,22.2,75.0
25,Jonathan Toews,2013-14,CHI,C,76,28,40,68,26,34,0.89,5,15,3,5,5,0,193,14.5,20:28,25.9,57.3
26,Thomas Vanek,2013-14,"BUF, NYI, MTL",L,78,27,41,68,7,46,0.87,8,18,0,0,4,0,248,10.9,19:21,21.6,43.5
27,Jaromir Jagr,2013-14,NJD,R,82,24,43,67,16,46,0.82,5,17,0,0,6,1,231,10.4,19:10,22.8,0.0
28,John Tavares,2013-14,NYI,C,59,24,42,66,-6,40,1.12,8,25,0,0,4,0,188,12.8,21:15,22.3,49.1
29,Jason Spezza,2013-14,OTT,C,75,23,43,66,-26,46,0.88,9,22,0,0,5,0,223,10.3,18:13,23.8,54.0
30,Jordan Eberle,2013-14,EDM,R,80,28,37,65,-11,18,0.81,7,20,1,1,4,1,200,14.0,19:33,25.4,38.1
31,Gabriel Landeskog,2013-14,COL,L,81,26,39,65,21,71,0.80,5,10,0,0,4,1,222,11.7,18:41,22.7,72.2
32,Ryan O'Reilly,2013-14,COL,C,80,28,36,64,-1,2,0.80,9,22,0,0,6,2,201,13.9,19:49,24.3,51.7
33,Bryan Little,2013-14,WPG,C,82,23,41,64,8,58,0.78,8,15,2,4,1,0,170,13.5,20:00,26.1,47.5
34,Ryan Johansen,2013-14,CBJ,C,82,33,30,63,3,43,0.77,7,20,0,0,5,2,237,13.9,17:39,22.5,52.8
35,Nathan MacKinnon,2013-14,COL,C,82,24,39,63,20,26,0.77,8,17,0,0,5,0,241,10.0,17:21,21.2,42.9
36,Alexander Steen,2013-14,STL,L,68,33,29,62,17,46,0.91,7,17,1,3,9,0,211,15.6,20:17,27.5,49.0
37,Patrice Bergeron,2013-14,BOS,C,80,30,32,62,38,43,0.78,7,11,1,4,7,0,243,12.3,17:59,24.8,58.6
38,Jakub Voracek,2013-14,PHI,R,82,23,39,62,11,22,0.76,8,23,0,0,2,0,235,9.8,17:15,22.2,66.7
39,Jarome Iginla,2013-14,BOS,R,78,30,31,61,34,47,0.78,4,14,0,0,8,0,209,14.3,18:13,20.5,21.6
40,James van Riemsdyk,2013-14,TOR,L,80,30,31,61,-9,50,0.76,9,15,2,4,3,0,279,10.8,21:03,26.0,40.7
41,James Neal,2013-14,PIT,L,59,27,34,61,15,55,1.03,11,26,0,0,4,3,238,11.3,18:27,21.2,27.8
42,Eric Staal,2013-14,CAR,C,79,21,40,61,-13,74,0.77,1,12,2,4,0,0,230,9.1,20:17,26.1,52.7
43,Duncan Keith,2013-14,CHI,D,79,6,55,61,22,28,0.77,3,21,0,1,3,0,198,3.0,24:39,30.1,0.0
44,Max Pacioretty,2013-14,MTL,L,73,39,21,60,8,35,0.82,10,17,1,1,11,2,270,14.4,18:29,23.6,60.0
45,Marian Hossa,2013-14,CHI,R,72,30,30,60,28,20,0.83,4,13,3,4,4,0,241,12.4,18:16,24.3,33.3
46,Jason Pominville,2013-14,MIN,R,82,30,30,60,3,16,0.73,7,17,0,0,5,0,226,13.3,18:35,22.4,54.7
47,Wayne Simmonds,2013-14,PHI,R,82,29,31,60,-4,106,0.73,15,24,0,0,4,0,209,13.9,16:46,20.7,50.0
48,Paul Stastny,2013-14,COL,C,71,25,35,60,9,22,0.84,4,15,0,1,4,1,150,16.7,18:24,22.6,54.1
49,T.J. Oshie,2013-14,STL,R,79,21,39,60,19,42,0.76,5,15,2,3,5,1,152,13.8,18:59,25.7,42.4
50,Milan Lucic,2013-14,BOS,L,80,24,35,59,30,91,0.74,3,12,0,0,5,1,153,15.7,17:23,20.0,46.6
51,Ondrej Palat,2013-14,TBL,L,81,23,36,59,32,20,0.73,3,11,2,4,3,0,165,13.9,18:02,23.5,13.5
52,Mats Zuccarello,2013-14,NYR,R,77,19,40,59,11,32,0.77,4,17,1,1,4,0,170,11.2,17:08,22.5,37.5
53,Kyle Turris,2013-14,OTT,C,82,26,32,58,22,39,0.71,6,14,2,3,5,0,215,12.1,18:44,24.8,50.7
54,Valtteri Filppula,2013-14,TBL,C,75,25,33,58,5,20,0.77,6,20,0,0,2,0,131,19.1,19:59,23.9,52.3
55,Frans Nielsen,2013-14,NYI,C,80,25,33,58,-11,8,0.72,5,20,2,3,0,0,167,15.0,18:20,24.8,49.3
56,David Perron,2013-14,EDM,L,78,28,29,57,-16,90,0.73,8,13,1,1,2,0,220,12.7,19:08,25.0,33.3
57,David Backes,2013-14,STL,R,74,27,30,57,14,119,0.77,10,16,0,0,5,1,165,16.4,19:33,27.4,51.7
58,Jussi Jokinen,2013-14,PIT,L,81,21,36,57,12,18,0.70,6,21,0,0,4,0,172,12.2,15:42,20.2,53.5
59,Derek Stepan,2013-14,NYR,C,82,17,40,57,12,18,0.70,5,18,0,3,2,0,199,8.5,18:03,24.9,45.2
60,Zach Parise,2013-14,MIN,L,67,29,27,56,10,30,0.84,14,20,1,1,5,0,245,11.8,20:26,25.0,41.7
61,Jaden Schwartz,2013-14,STL,L,80,25,31,56,28,27,0.70,5,10,3,3,1,0,188,13.3,17:32,24.8,56.4
62,Shea Weber,2013-14,NSH,D,79,23,33,56,-2,52,0.71,12,26,0,0,4,1,195,11.8,26:54,30.7,0.0
63,Dustin Byfuglien,2013-14,WPG,D,78,20,36,56,-20,86,0.72,8,26,0,0,1,1,256,7.8,23:05,25.4,0.0
64,Ryan Nugent-Hopkins,2013-14,EDM,C,80,19,37,56,-12,26,0.70,6,20,0,0,4,1,178,10.7,20:24,26.1,42.4
65,Clarke MacArthur,2013-14,OTT,L,79,24,31,55,12,78,0.70,8,15,1,3,5,1,159,15.1,17:38,23.8,46.9
66,Victor Hedman,2013-14,TBL,D,75,13,42,55,5,53,0.73,3,14,0,6,2,0,170,7.6,22:26,26.7,0.0
67,Jeff Skinner,2013-14,CAR,L,71,33,21,54,-14,22,0.76,11,20,0,0,6,1,274,12.0,17:12,23.0,45.1
68,Logan Couture,2013-14,SJS,C,65,23,31,54,21,20,0.83,4,13,2,4,6,0,233,9.9,18:56,26.7,50.4
69,Andrew Ladd,2013-14,WPG,L,78,23,31,54,8,57,0.69,4,12,0,2,2,0,189,12.2,19:44,25.7,38.7
70,Jiri Hudler,2013-14,CGY,R,75,17,37,54,4,16,0.72,2,13,0,0,1,1,109,15.6,18:51,24.4,18.2
71,Mikko Koivu,2013-14,MIN,C,65,11,43,54,0,24,0.83,2,18,0,2,4,0,147,7.5,20:56,25.9,54.8
72,Brad Marchand,2013-14,BOS,L,82,25,28,53,36,64,0.65,1,2,5,5,5,1,149,16.8,15:57,21.5,26.1
73,Patric Hornqvist,2013-14,NSH,R,76,22,31,53,1,28,0.70,7,17,0,0,6,0,248,8.9,16:52,21.4,0.0
74,Patrik Elias,2013-14,NJD,C,65,18,35,53,-4,30,0.82,4,17,2,6,1,1,116,15.5,17:53,24.2,40.8
75,P.K. Subban,2013-14,MTL,D,82,10,43,53,-4,81,0.65,4,23,0,0,1,1,204,4.9,24:37,26.8,0.0
76,Keith Yandle,2013-14,PHX,D,82,8,45,53,-23,63,0.65,3,31,0,0,2,1,241,3.3,24:09,27.3,0.0
77,Craig Smith,2013-14,NSH,R,79,24,28,52,16,22,0.66,7,10,0,0,4,1,215,11.2,16:24,21.5,15.8
78,Scott Hartnell,2013-14,PHI,L,78,20,32,52,11,103,0.67,9,20,0,0,3,0,207,9.7,16:53,21.3,22.2
79,David Desharnais,2013-14,MTL,C,79,16,36,52,11,24,0.66,3,15,0,0,2,1,96,16.7,17:12,21.8,50.8
80,Matt Moulson,2013-14,"NYI, BUF, MIN",L,75,23,28,51,2,34,0.68,9,19,0,0,5,1,176,13.1,17:58,21.5,22.2
81,Radim Vrbata,2013-14,PHX,R,80,20,31,51,-6,22,0.64,10,21,0,0,2,0,263,7.6,17:57,23.4,39.5
82,Reilly Smith,2013-14,BOS,R,82,20,31,51,28,14,0.62,6,14,0,0,3,0,146,13.7,14:42,19.3,0.0
83,Brad Richards,2013-14,NYR,C,82,20,31,51,-8,18,0.62,5,19,0,0,2,0,259,7.7,18:41,22.4,49.8
84,Mikkel Boedker,2013-14,PHX,L,82,19,32,51,-9,20,0.62,5,16,0,0,1,0,166,11.4,17:25,23.1,42.9
85,David Legwand,2013-14,"NSH, DET",C,83,14,37,51,-17,61,0.61,6,19,0,0,4,0,146,9.6,16:59,22.2,50.6
86,Alex Pietrangelo,2013-14,STL,D,81,8,43,51,20,32,0.63,2,18,0,1,1,0,164,4.9,25:22,31.9,0.0
87,James Wisniewski,2013-14,CBJ,D,75,7,44,51,0,61,0.68,3,28,0,0,1,0,166,4.2,22:37,24.5,0.0
88,Jeff Carter,2013-14,LAK,C,72,27,23,50,8,44,0.69,8,14,1,1,5,1,256,10.5,18:57,24.0,52.2
89,Tyler Johnson,2013-14,TBL,C,82,24,26,50,23,26,0.61,5,10,5,6,4,0,181,13.3,18:47,24.4,48.1
90,Nazem Kadri,2013-14,TOR,C,78,20,30,50,-11,67,0.64,7,18,0,0,2,1,148,13.5,17:23,22.4,45.3
91,Brandon Dubinsky,2013-14,CBJ,C,76,16,34,50,5,98,0.66,4,10,2,4,2,0,189,8.5,18:47,24.1,52.9
92,Henrik Sedin,2013-14,VAN,C,70,11,39,50,3,42,0.71,4,18,0,0,1,0,97,11.3,20:40,24.0,52.3
93,Joel Ward,2013-14,WSH,R,82,24,25,49,7,32,0.60,6,10,2,2,4,0,133,18.0,16:04,21.6,45.2
94,Nick Bonino,2013-14,ANA,C,77,22,27,49,14,22,0.64,7,20,0,0,2,1,159,13.8,16:14,21.7,48.8
95,Mike Fisher,2013-14,NSH,C,75,20,29,49,-4,60,0.65,4,11,0,0,4,0,177,11.3,19:45,24.8,52.0
96,Tyler Bozak,2013-14,TOR,C,58,19,30,49,2,14,0.84,5,8,1,1,1,1,90,21.1,20:57,27.1,48.7
97,Daniel Alfredsson,2013-14,DET,R,68,18,31,49,2,10,0.72,4,18,0,0,4,2,151,11.9,16:56,21.9,35.7
98,Niklas Kronwall,2013-14,DET,D,79,8,41,49,0,44,0.62,5,25,0,1,0,0,110,7.3,24:19,31.4,0.0
99,Gustav Nyquist,2013-14,DET,R,57,28,20,48,16,10,0.84,6,9,0,0,6,1,153,18.3,16:51,22.2,55.5
100,Bobby Ryan,2013-14,OTT,R,70,23,25,48,7,45,0.69,6,9,0,0,2,0,190,12.1,16:52,22.5,61.5
101,Brent Burns,2013-14,SJS,D,69,22,26,48,26,34,0.70,2,11,0,0,3,0,245,9.0,16:49,24.6,46.6
102,Travis Zajac,2013-14,NJD,C,80,18,30,48,3,28,0.60,3,15,0,0,3,1,165,10.9,20:19,25.7,54.6
103,Carl Soderberg,2013-14,BOS,C,73,16,32,48,4,36,0.66,5,16,0,0,3,0,129,12.4,14:16,17.5,42.4
104,Henrik Zetterberg,2013-14,DET,C,45,16,32,48,19,20,1.07,3,17,0,0,1,0,151,10.6,20:33,25.0,53.0
105,Shane Doan,2013-14,PHX,R,69,23,24,47,-7,34,0.68,10,19,0,0,4,0,167,13.8,18:56,23.4,50.0
106,Brandon Saad,2013-14,CHI,L,78,19,28,47,20,20,0.60,3,9,0,2,2,0,159,11.9,16:17,21.7,41.0
107,Mike Ribeiro,2013-14,PHX,C,80,16,31,47,-13,52,0.59,4,15,0,0,3,0,110,14.5,18:00,21.2,43.3
108,Daniel Sedin,2013-14,VAN,L,73,16,31,47,0,38,0.64,5,18,0,0,4,0,224,7.1,20:36,24.0,29.6
109,Mark Giordano,2013-14,CGY,D,64,14,33,47,12,63,0.73,7,20,0,3,2,0,180,7.8,25:14,31.3,0.0
110,Matt Niskanen,2013-14,PIT,D,81,10,36,46,33,51,0.57,3,15,0,0,6,0,162,6.2,21:18,23.9,0.0
111,Michael Cammalleri,2013-14,CGY,L,63,26,19,45,-13,26,0.71,6,14,0,0,8,0,191,13.6,19:51,25.3,46.1
112,Antoine Vermette,2013-14,PHX,C,82,24,21,45,0,44,0.55,7,13,3,3,4,1,160,15.0,19:13,26.5,56.4
113,Mason Raymond,2013-14,TOR,L,82,19,26,45,-6,22,0.55,6,11,1,2,4,0,178,10.7,17:21,22.7,43.8
