,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Wayne Gretzky,1981-82,EDM,C,80,92,120,212,80,26,2.65,18,57,6,8,12,0,370,24.9,,--,--
2,Mike Bossy,1981-82,NYI,R,80,64,83,147,69,22,1.84,17,47,0,0,10,0,301,21.3,,--,--
3,Peter Stastny,1981-82,QUE,C,80,46,93,139,-10,91,1.74,16,49,3,4,3,0,227,20.3,,--,--
4,Dennis Maruk,1981-82,WSH,C,80,60,76,136,-7,128,1.70,20,57,2,3,1,0,268,22.4,,--,--
5,Bryan Trottier,1981-82,NYI,C,80,50,79,129,70,88,1.61,18,35,2,7,10,0,217,23.0,,--,--
6,Denis Savard,1981-82,CHI,C,80,32,87,119,0,82,1.49,8,46,0,0,4,0,231,13.9,,--,--
7,Marcel Dionne,1981-82,LAK,C,78,50,67,117,-10,50,1.50,17,43,1,1,5,0,346,14.4,,--,--
8,Bobby Smith,1981-82,MNS,C,80,43,71,114,10,82,1.43,20,35,0,0,4,0,261,16.5,,--,--
9,Dino Ciccarelli,1981-82,MNS,R,76,55,51,106,14,138,1.39,20,37,0,0,4,0,289,19.0,,--,--
10,Dave Taylor,1981-82,LAK,R,78,39,67,106,-3,130,1.36,13,41,0,1,3,0,232,16.8,,--,--
11,Glenn Anderson,1981-82,EDM,R,80,38,67,105,45,71,1.31,9,24,0,0,8,0,252,15.1,,--,--
12,Dale Hawerchuk,1981-82,WIN,C,80,45,58,103,-7,47,1.29,12,34,0,2,2,0,339,13.3,,--,--
13,Mike Rogers,1981-82,NYR,C,80,38,65,103,1,43,1.29,6,37,1,1,2,0,213,17.8,,--,--
14,Neal Broten,1981-82,MNS,C,73,38,60,98,14,42,1.34,7,26,2,4,4,0,188,20.2,,--,--
15,Real Cloutier,1981-82,QUE,R,67,37,60,97,27,34,1.45,8,34,0,0,5,0,214,17.3,,--,--
16,Rick Middleton,1981-82,BOS,R,75,51,43,94,15,12,1.25,19,33,1,3,9,0,202,25.2,,--,--
17,John Tonelli,1981-82,NYI,L,80,35,58,93,48,57,1.16,5,17,0,0,5,0,165,21.2,,--,--
18,Barry Pederson,1981-82,BOS,C,80,44,48,92,27,53,1.15,13,30,4,5,7,0,197,22.3,,--,--
19,Morris Lukowich,1981-82,WIN,L,77,43,49,92,-4,102,1.19,13,26,0,0,6,0,229,18.8,,--,--
20,Bernie Federko,1981-82,STL,C,74,30,62,92,-11,70,1.24,12,27,0,0,6,0,177,16.9,,--,--
21,Ken Linseman,1981-82,PHI,C,79,24,68,92,6,275,1.16,2,24,3,3,0,0,212,11.3,,--,--
22,Blaine Stoughton,1981-82,HFD,L,80,52,39,91,-17,57,1.14,13,29,1,1,4,0,266,19.5,,--,--
23,Brian Propp,1981-82,PHI,L,80,44,47,91,19,117,1.14,13,35,0,1,6,0,290,15.2,,--,--
24,Rick Vaive,1981-82,TOR,R,77,54,35,89,12,157,1.16,12,18,5,6,6,0,267,20.2,,--,--
25,Bill Barber,1981-82,PHI,L,80,45,44,89,2,85,1.11,13,39,4,4,6,0,350,12.8,,--,--
26,Marian Stastny,1981-82,QUE,R,74,35,54,89,-5,27,1.20,13,30,0,0,3,0,174,20.1,,--,--
27,Paul Coffey,1981-82,EDM,D,80,29,60,89,35,106,1.11,13,36,0,3,1,0,234,12.4,,--,--
28,Mark Messier,1981-82,EDM,C,78,50,38,88,20,119,1.13,10,15,0,1,3,0,235,21.3,,--,--
29,Keith Acton,1981-82,MTL,C,78,36,52,88,47,88,1.13,10,20,0,0,5,0,218,16.5,,--,--
30,Ryan Walter,1981-82,WSH,C,78,38,49,87,-4,142,1.12,19,33,1,1,3,0,183,20.8,,--,--
31,Mel Bridgman,1981-82,"PHI, CGY",C,72,33,54,87,17,141,1.21,9,21,2,3,4,0,163,20.2,,--,--
32,Thomas Gradin,1981-82,VAN,C,76,37,49,86,15,32,1.13,6,20,3,3,4,0,183,20.2,,--,--
33,Jari Kurri,1981-82,EDM,R,71,32,54,86,39,32,1.21,6,17,1,4,5,0,211,15.2,,--,--
