,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Elmer Lach,1944-45,MTL,C,50,26,54,80,,37,1.60,3,15,0,0,5,0,,--,,--,--
2,Maurice Richard,1944-45,MTL,R,50,50,23,73,,46,1.46,11,12,0,0,7,0,,--,,--,--
3,Toe Blake,1944-45,MTL,L,49,29,38,67,,35,1.37,5,11,0,0,6,0,,--,,--,--
4,Bill Cowley,1944-45,BOS,C,49,25,40,65,,12,1.33,3,6,0,0,3,0,,--,,--,--
5,Ted Kennedy,1944-45,TOR,C,49,29,25,54,,14,1.10,4,7,1,1,4,0,,--,,--,--
6,Bill Mosienko,1944-45,CHI,R,50,28,26,54,,0,1.08,8,13,0,0,6,0,,--,,--,--
7,Joe Carveth,1944-45,DET,R,50,26,28,54,,6,1.08,3,9,1,1,7,0,,--,,--,--
8,Ab DeMarco Sr.,1944-45,NYR,C,50,24,30,54,,10,1.08,2,9,0,0,2,0,,--,,--,--
9,Clint Smith,1944-45,CHI,C,50,23,31,54,,0,1.08,5,11,0,0,1,0,,--,,--,--
10,Syd Howe,1944-45,DET,C,46,17,36,53,,6,1.15,1,8,0,0,1,0,,--,,--,--
11,Mud Bruneteau,1944-45,DET,R,43,23,25,48,,6,1.12,2,5,0,0,2,0,,--,,--,--
12,Lorne Carr,1944-45,TOR,R,47,21,27,48,,7,1.02,4,7,1,1,2,0,,--,,--,--
13,Herb Cain,1944-45,BOS,L,50,32,13,45,,16,0.90,2,3,2,2,3,0,,--,,--,--
14,Buddy O'Connor,1944-45,MTL,C,50,21,23,44,,2,0.88,0,4,0,0,1,0,,--,,--,--
15,Gus Bodnar,1944-45,TOR,C,49,8,36,44,,18,0.90,0,6,1,2,0,0,,--,,--,--
16,Grant Warwick,1944-45,NYR,R,42,20,22,42,,25,1.00,4,10,0,0,1,0,,--,,--,--
17,Hank Goldup,1944-45,NYR,L,48,17,25,42,,25,0.88,4,9,0,0,2,0,,--,,--,--
18,Flash Hollett,1944-45,DET,D,50,20,21,41,,39,0.82,1,3,0,1,2,0,,--,,--,--
19,Babe Pratt,1944-45,TOR,D,50,18,23,41,,39,0.82,5,10,0,0,2,0,,--,,--,--
20,Steve Wojciechowski,1944-45,DET,R,49,19,20,39,,17,0.80,2,3,0,0,2,0,,--,,--,--
21,Murray Armstrong,1944-45,DET,C,50,15,24,39,,41,0.78,0,1,0,0,2,0,,--,,--,--
22,Sweeney Schriner,1944-45,TOR,L,26,22,15,37,,10,1.42,4,5,0,1,4,0,,--,,--,--
23,Dutch Hiller,1944-45,MTL,L,48,20,16,36,,20,0.75,2,3,0,0,7,0,,--,,--,--
24,Pete Horeck,1944-45,CHI,L,50,20,16,36,,44,0.72,3,5,0,0,0,0,,--,,--,--
25,Nick Metz,1944-45,TOR,L,50,22,13,35,,26,0.70,3,3,0,0,2,0,,--,,--,--
26,Mel Hill,1944-45,TOR,R,45,18,17,35,,14,0.78,0,2,0,0,4,0,,--,,--,--
27,Bob Davidson,1944-45,TOR,L,50,17,18,35,,59,0.70,1,2,0,0,3,0,,--,,--,--
28,Fred Thurier,1944-45,NYR,C,50,16,19,35,,14,0.70,2,3,0,0,0,0,,--,,--,--
29,Art Jackson,1944-45,"BOS, TOR",C,52,14,21,35,,16,0.67,0,0,0,0,1,0,,--,,--,--
30,Bill Jennings,1944-45,BOS,R,39,20,14,34,,25,0.87,2,6,0,0,2,0,,--,,--,--
31,Ken Smith,1944-45,BOS,L,49,20,14,34,,2,0.69,1,2,0,0,1,0,,--,,--,--
32,Butch Bouchard,1944-45,MTL,D,50,11,23,34,,34,0.68,3,8,0,0,0,0,,--,,--,--
33,Carl Liscombe,1944-45,DET,L,42,23,9,32,,18,0.76,4,4,0,1,3,0,,--,,--,--
34,Fern Gauthier,1944-45,MTL,R,50,18,13,31,,23,0.62,1,1,0,0,3,0,,--,,--,--
35,Don Grosso,1944-45,"DET, CHI",L,41,15,16,31,,10,0.76,2,4,0,0,1,0,,--,,--,--
36,Earl Seibert,1944-45,"CHI, DET",D,47,12,17,29,,23,0.62,2,4,0,0,2,0,,--,,--,--
37,Jud McAtee,1944-45,DET,L,44,15,11,26,,6,0.59,1,2,0,0,1,0,,--,,--,--
38,Frank Mario,1944-45,BOS,C,44,8,18,26,,24,0.59,0,3,0,0,0,0,,--,,--,--
39,Eddie Bruneteau,1944-45,DET,R,42,12,13,25,,6,0.60,3,5,0,0,1,0,,--,,--,--
40,Bill Cupolo,1944-45,BOS,R,49,11,14,25,,10,0.51,2,2,0,0,3,0,,--,,--,--
41,Armand Gaudreault,1944-45,BOS,L,45,15,9,24,,27,0.53,0,0,1,1,1,0,,--,,--,--
42,Jack Crawford,1944-45,BOS,D,40,5,19,24,,10,0.60,1,2,0,1,0,0,,--,,--,--
43,Leo Lamoureux,1944-45,MTL,C,49,2,22,24,,62,0.49,0,1,0,0,1,0,,--,,--,--
44,Ted Lindsay,1944-45,DET,L,45,17,6,23,,43,0.51,2,3,0,0,5,0,,--,,--,--
45,Ray Getliffe,1944-45,MTL,C,41,16,7,23,,34,0.56,0,0,0,0,3,0,,--,,--,--
46,Dit Clapper,1944-45,BOS,R,46,8,15,23,,16,0.50,1,2,0,0,1,0,,--,,--,--
47,Fred Hunt,1944-45,NYR,R,44,13,9,22,,6,0.50,0,2,0,0,0,0,,--,,--,--
48,Pat Egan,1944-45,BOS,D,48,7,15,22,,86,0.46,0,4,1,1,0,0,,--,,--,--
49,Joe Shack,1944-45,NYR,L,50,4,18,22,,14,0.44,1,1,0,0,0,0,,--,,--,--
50,Walt Atanas,1944-45,NYR,R,49,13,8,21,,40,0.43,0,1,1,1,1,0,,--,,--,--
51,Butch McDonald,1944-45,"DET, CHI",L,29,7,14,21,,0,0.72,0,1,0,0,2,0,,--,,--,--
52,Bill Quackenbush,1944-45,DET,D,50,7,14,21,,10,0.42,0,2,0,0,1,0,,--,,--,--
53,Joe Cooper,1944-45,CHI,D,50,4,17,21,,50,0.42,0,4,0,0,0,0,,--,,--,--
54,Jean-Paul Gladu,1944-45,BOS,L,40,6,14,20,,2,0.50,0,0,0,0,0,0,,--,,--,--
55,Phil Watson,1944-45,NYR,R,45,11,8,19,,24,0.42,3,3,0,0,2,0,,--,,--,--
56,Ott Heller,1944-45,NYR,D,45,7,12,19,,26,0.42,0,0,0,0,1,0,,--,,--,--
57,Cully Dahlstrom,1944-45,CHI,C,40,6,13,19,,0,0.47,0,3,0,0,0,0,,--,,--,--
58,Ken Mosdell,1944-45,MTL,C,31,12,6,18,,16,0.58,1,1,1,1,3,0,,--,,--,--
59,Kilby MacDonald,1944-45,NYR,L,36,9,6,15,,12,0.42,0,2,0,0,1,0,,--,,--,--
60,Gino Rozzini,1944-45,BOS,C,31,5,10,15,,20,0.48,0,0,0,1,0,0,,--,,--,--
61,Reg Hamilton,1944-45,TOR,D,50,3,12,15,,41,0.30,0,1,0,0,0,0,,--,,--,--
62,Bob Dill,1944-45,NYR,D,48,9,5,14,,69,0.29,0,0,0,0,0,0,,--,,--,--
63,Bill Thoms,1944-45,"CHI, BOS",C,38,6,8,14,,8,0.37,0,1,0,1,0,0,,--,,--,--
64,Bob Fillion,1944-45,MTL,L,31,6,8,14,,12,0.45,1,1,0,0,1,0,,--,,--,--
65,Russ Brayshaw,1944-45,CHI,L,43,5,9,14,,24,0.33,1,1,0,0,0,0,,--,,--,--
66,Murph Chamberlain,1944-45,MTL,L,32,2,12,14,,38,0.44,0,0,0,0,1,0,,--,,--,--
67,Frank Eddolls,1944-45,MTL,D,43,5,8,13,,20,0.30,1,2,0,0,0,0,,--,,--,--
68,Glen Harmon,1944-45,MTL,D,42,5,8,13,,41,0.31,0,1,1,1,0,0,,--,,--,--
69,Harold Jackson,1944-45,DET,D,50,5,6,11,,45,0.22,1,1,0,0,1,0,,--,,--,--
70,Bucko McDonald,1944-45,NYR,D,40,2,9,11,,0,0.28,1,1,0,0,0,0,,--,,--,--
71,Wally Stanowski,1944-45,TOR,D,34,2,9,11,,16,0.32,1,1,0,0,0,0,,--,,--,--
72,Mush March,1944-45,CHI,R,38,5,5,10,,12,0.26,1,3,0,0,1,0,,--,,--,--
73,John Harms,1944-45,CHI,R,43,5,5,10,,21,0.23,0,0,0,0,0,0,,--,,--,--
74,Tony Bukovich,1944-45,DET,L,14,7,2,9,,6,0.64,0,0,1,1,0,0,,--,,--,--
75,Harvey Fraser,1944-45,CHI,C,21,5,4,9,,0,0.43,1,1,0,0,0,0,,--,,--,--
76,Pete Backor,1944-45,TOR,D,36,4,5,9,,6,0.25,0,2,0,0,1,0,,--,,--,--
