,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Max Bentley,1945-46,CHI,C,47,31,30,61,,6,1.30,10,19,1,1,5,0,,--,,--,--
2,Gaye Stewart,1945-46,TOR,L,50,37,15,52,,8,1.04,5,6,0,0,2,0,,--,,--,--
3,Toe Blake,1945-46,MTL,L,50,29,21,50,,2,1.00,4,6,0,0,5,0,,--,,--,--
4,Clint Smith,1945-46,CHI,C,50,26,24,50,,2,1.00,6,17,0,1,2,0,,--,,--,--
5,Maurice Richard,1945-46,MTL,R,50,27,22,49,,50,0.98,6,8,0,0,6,0,,--,,--,--
6,Bill Mosienko,1945-46,CHI,R,40,18,30,48,,12,1.20,3,10,0,0,4,0,,--,,--,--
7,Ab DeMarco Sr.,1945-46,NYR,C,50,20,27,47,,20,0.94,3,8,0,0,0,0,,--,,--,--
8,Elmer Lach,1945-46,MTL,C,50,13,34,47,,34,0.94,2,8,0,0,1,0,,--,,--,--
9,Alex Kaleta,1945-46,CHI,L,49,19,27,46,,17,0.94,1,6,1,2,0,0,,--,,--,--
10,Billy Taylor Sr.,1945-46,TOR,C,46,23,18,41,,14,0.89,2,5,0,0,1,0,,--,,--,--
11,Pete Horeck,1945-46,CHI,L,50,20,21,41,,34,0.82,2,9,0,0,1,0,,--,,--,--
12,Syl Apps,1945-46,TOR,C,40,24,16,40,,2,1.00,2,6,0,0,4,0,,--,,--,--
13,Doug Bentley,1945-46,CHI,L,36,19,21,40,,16,1.11,5,11,0,0,2,0,,--,,--,--
14,Don Gallinger,1945-46,BOS,C,50,17,23,40,,18,0.80,1,2,0,0,3,0,,--,,--,--
15,Gus Bodnar,1945-46,TOR,C,49,14,24,38,,14,0.78,1,3,0,0,2,0,,--,,--,--
16,Red Hamill,1945-46,CHI,L,48,20,17,37,,23,0.77,2,7,0,0,3,0,,--,,--,--
17,Grant Warwick,1945-46,NYR,R,45,19,18,37,,19,0.82,2,5,0,0,3,0,,--,,--,--
18,Joe Carveth,1945-46,DET,R,48,17,18,35,,10,0.73,3,7,0,0,2,0,,--,,--,--
19,Woody Dumart,1945-46,BOS,L,50,22,12,34,,2,0.68,5,5,0,0,6,0,,--,,--,--
20,Edgar Laprade,1945-46,NYR,C,49,15,19,34,,0,0.69,1,2,0,0,1,0,,--,,--,--
21,Adam Brown,1945-46,DET,L,49,20,12,32,,27,0.65,4,5,0,0,3,0,,--,,--,--
22,Bep Guidolin,1945-46,BOS,L,50,15,17,32,,62,0.64,0,3,0,0,1,0,,--,,--,--
23,Milt Schmidt,1945-46,BOS,C,48,13,18,31,,21,0.65,2,4,0,0,1,0,,--,,--,--
24,Jimmy Peters,1945-46,MTL,R,47,11,19,30,,10,0.64,1,1,0,0,1,0,,--,,--,--
25,Eddie Bruneteau,1945-46,DET,R,46,17,12,29,,11,0.63,3,7,0,0,4,0,,--,,--,--
26,Billy Reay,1945-46,MTL,C,44,17,12,29,,10,0.66,1,2,0,0,1,0,,--,,--,--
27,Herb Cain,1945-46,BOS,L,48,17,12,29,,4,0.60,3,4,0,0,2,0,,--,,--,--
28,George Gee,1945-46,CHI,C,35,14,15,29,,12,0.83,1,1,0,0,1,0,,--,,--,--
29,Bill Shill,1945-46,BOS,R,45,15,12,27,,12,0.60,0,0,0,0,2,0,,--,,--,--
30,Murph Chamberlain,1945-46,MTL,L,40,12,14,26,,42,0.65,1,2,1,1,2,0,,--,,--,--
31,Phil Watson,1945-46,NYR,R,49,12,14,26,,43,0.53,2,4,0,0,0,0,,--,,--,--
32,George Allen,1945-46,CHI,L,44,11,15,26,,16,0.59,4,5,0,0,2,0,,--,,--,--
33,Murray Armstrong,1945-46,DET,C,40,8,18,26,,4,0.65,0,3,0,0,2,0,,--,,--,--
34,Babe Pratt,1945-46,TOR,D,41,5,20,25,,36,0.61,0,4,0,0,1,0,,--,,--,--
35,Tony Leswick,1945-46,NYR,L,50,15,9,24,,26,0.48,1,2,0,0,3,0,,--,,--,--
36,Harry Watson,1945-46,DET,L,44,14,10,24,,4,0.55,2,3,0,0,4,0,,--,,--,--
37,Bill Cowley,1945-46,BOS,C,26,12,12,24,,6,0.92,1,1,0,0,2,0,,--,,--,--
38,Terry Reardon,1945-46,BOS,C,49,12,11,23,,21,0.47,0,0,0,0,0,0,,--,,--,--
39,Nick Metz,1945-46,TOR,L,40,11,11,22,,4,0.55,3,4,0,0,0,0,,--,,--,--
40,Bill Quackenbush,1945-46,DET,D,49,11,11,22,,6,0.45,4,6,0,0,1,0,,--,,--,--
41,Buddy O'Connor,1945-46,MTL,C,45,11,11,22,,2,0.49,1,4,0,0,1,0,,--,,--,--
42,Carl Liscombe,1945-46,DET,L,44,12,9,21,,2,0.48,4,6,0,0,2,0,,--,,--,--
43,Bobby Bauer,1945-46,BOS,R,39,11,10,21,,4,0.54,1,1,0,0,0,0,,--,,--,--
44,Bob Goldham,1945-46,TOR,D,49,7,14,21,,44,0.43,0,0,0,0,1,0,,--,,--,--
