,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Dickie Moore,1958-59,MTL,L,70,41,55,96,,61,1.37,13,28,1,1,7,0,,--,,--,--
2,Jean Beliveau,1958-59,MTL,C,64,45,46,91,,69,1.42,13,30,0,1,7,0,,--,,--,--
3,Andy Bathgate,1958-59,NYR,R,70,40,48,88,,48,1.26,9,29,1,1,3,0,,--,,--,--
4,Gordie Howe,1958-59,DET,R,70,32,46,78,,57,1.11,8,28,0,1,5,0,,--,,--,--
5,Ed Litzenberger,1958-59,CHI,C,70,33,44,77,,37,1.10,6,21,0,0,6,0,,--,,--,--
6,Bernie Geoffrion,1958-59,MTL,R,59,22,44,66,,30,1.12,7,26,0,0,3,0,,--,,--,--
7,Red Sullivan,1958-59,NYR,C,70,21,42,63,,54,0.90,7,25,1,1,3,0,,--,,--,--
8,Andy Hebenton,1958-59,NYR,R,70,33,29,62,,8,0.89,15,21,1,1,2,0,,--,,--,--
9,Don McKenney,1958-59,BOS,C,70,32,30,62,,20,0.89,5,16,1,1,6,0,,--,,--,--
10,Tod Sloan,1958-59,CHI,C,59,27,35,62,,89,1.05,11,25,0,0,4,0,,--,,--,--
11,Vic Stasiuk,1958-59,BOS,L,70,27,33,60,,63,0.86,7,9,0,0,5,0,,--,,--,--
12,Johnny Bucyk,1958-59,BOS,L,69,24,36,60,,36,0.87,2,13,0,0,6,0,,--,,--,--
13,Camille Henry,1958-59,NYR,C,70,23,35,58,,2,0.83,10,31,0,0,3,0,,--,,--,--
14,Ted Lindsay,1958-59,CHI,L,70,22,36,58,,184,0.83,8,16,0,0,2,0,,--,,--,--
15,Norm Ullman,1958-59,DET,C,69,22,36,58,,42,0.84,5,10,0,1,5,0,,--,,--,--
16,Alex Delvecchio,1958-59,DET,C,70,19,35,54,,6,0.77,5,15,2,3,3,0,,--,,--,--
17,Dick Duff,1958-59,TOR,L,69,29,24,53,,71,0.77,4,10,1,1,5,0,,--,,--,--
18,Billy Harris,1958-59,TOR,C,70,22,30,52,,29,0.74,4,9,0,1,3,0,,--,,--,--
19,Henri Richard,1958-59,MTL,C,63,21,30,51,,33,0.81,2,9,0,0,1,0,,--,,--,--
20,Bill Gadsby,1958-59,NYR,D,70,5,46,51,,56,0.73,1,21,1,4,0,0,,--,,--,--
21,Bobby Hull,1958-59,CHI,L,70,18,32,50,,52,0.71,2,8,1,1,5,0,,--,,--,--
22,Dean Prentice,1958-59,NYR,L,70,17,33,50,,11,0.71,5,8,0,0,2,0,,--,,--,--
23,Frank Mahovlich,1958-59,TOR,L,63,22,27,49,,94,0.78,6,16,0,0,3,0,,--,,--,--
24,Ron Murphy,1958-59,CHI,L,59,17,30,47,,52,0.80,2,10,0,0,2,0,,--,,--,--
25,Jerry Toppazzini,1958-59,BOS,R,70,21,23,44,,61,0.63,2,10,0,2,3,0,,--,,--,--
26,Marcel Bonin,1958-59,MTL,L,57,13,30,43,,38,0.75,2,6,0,0,3,0,,--,,--,--
27,Bert Olmstead,1958-59,TOR,L,70,10,31,41,,74,0.59,3,8,1,2,0,0,,--,,--,--
28,Ralph Backstrom,1958-59,MTL,C,64,18,22,40,,17,0.63,1,2,0,0,2,0,,--,,--,--
29,Fleming MacKell,1958-59,BOS,C,57,17,23,40,,28,0.70,6,12,3,3,2,0,,--,,--,--
30,Bronco Horvath,1958-59,BOS,C,45,19,20,39,,58,0.87,7,10,0,0,5,0,,--,,--,--
31,Tom Johnson,1958-59,MTL,D,70,10,29,39,,76,0.56,4,13,1,1,2,0,,--,,--,--
32,Maurice Richard,1958-59,MTL,R,42,17,21,38,,27,0.90,4,13,0,0,2,0,,--,,--,--
33,Claude Provost,1958-59,MTL,R,69,16,22,38,,37,0.55,0,1,1,1,4,0,,--,,--,--
34,Bob Pulford,1958-59,TOR,L,70,23,14,37,,55,0.53,3,3,5,5,5,0,,--,,--,--
35,Pierre Pilote,1958-59,CHI,D,70,7,30,37,,79,0.53,4,21,0,0,2,0,,--,,--,--
36,George Armstrong,1958-59,TOR,R,59,20,16,36,,37,0.61,3,5,1,2,3,0,,--,,--,--
37,Ab McDonald,1958-59,MTL,L,69,13,23,36,,35,0.52,2,4,0,0,1,0,,--,,--,--
38,Larry Regan,1958-59,"BOS, TOR",R,68,9,27,36,,12,0.53,2,6,0,1,0,0,,--,,--,--
39,Ron Stewart,1958-59,TOR,R,70,21,13,34,,23,0.49,6,7,1,3,2,0,,--,,--,--
40,Eric Nesterenko,1958-59,CHI,R,70,16,18,34,,81,0.49,4,5,1,2,1,0,,--,,--,--
41,Larry Popein,1958-59,NYR,C,61,13,21,34,,28,0.56,2,2,0,0,1,0,,--,,--,--
42,Marcel Pronovost,1958-59,DET,D,69,11,21,32,,44,0.46,1,3,0,3,0,0,,--,,--,--
43,Donnie Marshall,1958-59,MTL,L,70,10,22,32,,12,0.46,3,7,0,2,2,0,,--,,--,--
44,Leo Labine,1958-59,BOS,R,70,9,23,32,,74,0.46,1,3,0,0,0,0,,--,,--,--
45,Doug Mohns,1958-59,BOS,L,47,6,24,30,,40,0.64,1,10,0,1,2,0,,--,,--,--
46,Jack McIntyre,1958-59,DET,L,55,15,14,29,,14,0.53,5,14,0,0,3,0,,--,,--,--
47,Johnny Wilson,1958-59,DET,L,70,11,17,28,,18,0.40,4,7,0,0,2,0,,--,,--,--
48,Phil Goyette,1958-59,MTL,C,63,10,18,28,,8,0.44,0,0,0,0,2,0,,--,,--,--
49,Bob Turner,1958-59,MTL,D,68,4,24,28,,66,0.41,0,2,1,2,1,0,,--,,--,--
50,Len Lunde,1958-59,DET,C,68,14,12,26,,15,0.38,6,11,0,0,1,0,,--,,--,--
51,Gerry Ehman,1958-59,"DET, TOR",R,44,12,14,26,,16,0.59,0,5,0,0,3,0,,--,,--,--
52,Nick Mickoski,1958-59,DET,L,66,11,15,26,,20,0.39,2,6,3,3,2,0,,--,,--,--
53,Tim Horton,1958-59,TOR,D,70,5,21,26,,76,0.37,0,1,0,3,2,0,,--,,--,--
54,Jim Morrison,1958-59,BOS,D,70,8,17,25,,42,0.36,2,7,0,0,1,0,,--,,--,--
55,Jean-Guy Gendron,1958-59,BOS,L,60,15,9,24,,57,0.40,3,6,0,0,0,0,,--,,--,--
56,Carl Brewer,1958-59,TOR,D,69,3,21,24,,123,0.35,2,4,0,0,0,0,,--,,--,--
57,Andre Pronovost,1958-59,MTL,L,70,9,14,23,,48,0.33,0,0,0,0,1,0,,--,,--,--
58,Allan Stanley,1958-59,TOR,D,70,1,22,23,,47,0.33,0,9,0,3,0,0,,--,,--,--
59,Danny Lewicki,1958-59,CHI,L,58,8,14,22,,4,0.38,2,3,0,0,2,0,,--,,--,--
60,Red Kelly,1958-59,DET,D,67,8,13,21,,34,0.31,1,3,2,3,1,0,,--,,--,--
61,Eddie Shack,1958-59,NYR,L,67,7,14,21,,105,0.31,0,1,0,0,1,0,,--,,--,--
62,Leo Boivin,1958-59,BOS,D,70,5,16,21,,94,0.30,0,2,0,2,0,0,,--,,--,--
63,Jean-Guy Talbot,1958-59,MTL,D,69,4,17,21,,77,0.30,0,0,0,0,0,0,,--,,--,--
64,Fern Flaman,1958-59,BOS,D,70,0,21,21,,101,0.30,0,1,0,0,0,0,,--,,--,--
65,Jimmy Bartlett,1958-59,NYR,L,70,11,9,20,,118,0.29,1,1,1,2,3,0,,--,,--,--
66,Charlie Burns,1958-59,DET,C,70,9,11,20,,32,0.29,2,6,0,0,3,0,,--,,--,--
67,Hank Ciesla,1958-59,NYR,C,69,6,14,20,,21,0.29,0,1,0,0,2,0,,--,,--,--
68,Doug Harvey,1958-59,MTL,D,61,4,16,20,,64,0.33,1,6,0,0,1,0,,--,,--,--
69,Norm Johnson,1958-59,"BOS, CHI",C,46,3,17,20,,33,0.43,0,0,0,0,0,0,,--,,--,--
70,Kenny Wharram,1958-59,CHI,R,66,10,9,19,,14,0.29,0,3,0,0,1,0,,--,,--,--
71,Earl Balfour,1958-59,CHI,L,70,10,8,18,,10,0.26,2,2,2,3,1,0,,--,,--,--
72,Brian Cullen,1958-59,TOR,C,59,4,14,18,,10,0.30,0,4,0,0,0,0,,--,,--,--
73,Lorne Ferguson,1958-59,CHI,L,67,7,10,17,,44,0.25,1,1,0,0,0,0,,--,,--,--
74,Moose Vasko,1958-59,CHI,D,63,6,10,16,,52,0.25,1,3,1,2,1,0,,--,,--,--
75,Larry Leach,1958-59,BOS,C,29,4,12,16,,26,0.55,0,2,0,0,1,0,,--,,--,--
76,Barry Cullen,1958-59,TOR,R,40,6,8,14,,15,0.35,0,1,0,0,0,0,,--,,--,--
77,Dutch Reibel,1958-59,BOS,C,63,6,8,14,,14,0.22,1,5,1,1,0,0,,--,,--,--
78,Harry Howell,1958-59,NYR,D,70,4,10,14,,101,0.20,0,2,0,0,0,0,,--,,--,--
79,Lou Fontinato,1958-59,NYR,D,64,7,6,13,,149,0.20,0,0,0,0,1,0,,--,,--,--
80,Les Colwill,1958-59,NYR,R,69,7,6,13,,16,0.19,0,0,2,3,3,0,,--,,--,--
81,Larry Hillman,1958-59,BOS,D,55,3,10,13,,11,0.24,2,9,0,1,0,0,,--,,--,--
82,Dollard St. Laurent,1958-59,CHI,D,70,4,8,12,,28,0.17,2,4,0,0,0,0,,--,,--,--
83,Dave Creighton,1958-59,TOR,C,34,3,9,12,,4,0.35,1,5,0,0,0,0,,--,,--,--
84,Al Arbour,1958-59,CHI,D,70,2,10,12,,86,0.17,0,0,0,0,0,0,,--,,--,--
85,Pete Goegan,1958-59,DET,D,67,1,11,12,,109,0.18,0,3,0,0,0,0,,--,,--,--
86,John Hanna,1958-59,NYR,D,70,1,10,11,,83,0.16,0,0,0,0,0,0,,--,,--,--
87,Warren Godfrey,1958-59,DET,D,69,6,4,10,,44,0.14,0,1,0,0,0,0,,--,,--,--
88,Bob Armstrong,1958-59,BOS,D,59,1,9,10,,50,0.17,0,0,0,0,0,0,,--,,--,--
89,Jack Evans,1958-59,CHI,D,70,1,8,9,,75,0.13,0,1,0,0,0,0,,--,,--,--
90,Bob Baun,1958-59,TOR,D,51,1,8,9,,87,0.18,0,0,0,0,0,0,,--,,--,--
91,Glen Skov,1958-59,CHI,C,70,3,5,8,,4,0.11,0,1,1,2,0,0,,--,,--,--
92,John McKenzie,1958-59,CHI,R,32,3,4,7,,20,0.22,0,1,0,0,0,0,,--,,--,--
93,Billy McNeill,1958-59,DET,R,54,2,5,7,,32,0.13,0,0,0,0,0,0,,--,,--,--
94,Claude Laforge,1958-59,DET,L,57,2,5,7,,18,0.12,0,0,0,0,0,0,,--,,--,--
95,Marc Reaume,1958-59,TOR,D,51,1,5,6,,67,0.12,0,0,0,1,1,0,,--,,--,--
96,Real Chevrefils,1958-59,BOS,L,30,1,5,6,,8,0.20,0,0,0,0,1,0,,--,,--,--
97,Tom McCarthy,1958-59,DET,L,15,2,3,5,,4,0.33,1,1,0,0,0,0,,--,,--,--
98,Forbes Kennedy,1958-59,DET,C,67,1,4,5,,47,0.07,0,0,0,1,0,0,,--,,--,--
99,Phil Maloney,1958-59,CHI,C,24,2,2,4,,4,0.17,0,0,0,0,1,0,,--,,--,--
100,Wally Hergesheimer,1958-59,NYR,R,22,3,0,3,,6,0.14,0,0,0,0,1,0,,--,,--,--
101,Jack Bownass,1958-59,NYR,D,35,1,2,3,,20,0.09,0,0,0,0,1,0,,--,,--,--
102,Ian Cushenan,1958-59,MTL,D,35,1,2,3,,26,0.09,0,0,0,0,0,0,,--,,--,--
103,Earl Ingarfield,1958-59,NYR,C,35,1,2,3,,6,0.09,0,0,0,0,0,0,,--,,--,--
104,Gary Aldcorn,1958-59,TOR,L,5,0,3,3,,2,0.60,0,0,0,0,0,0,,--,,--,--
105,Al Langlois,1958-59,MTL,D,48,0,3,3,,22,0.06,0,0,0,0,0,0,,--,,--,--
106,Chuck Holmes,1958-59,DET,R,15,0,3,3,,6,0.20,0,0,0,0,0,0,,--,,--,--
107,Stu McNeill,1958-59,DET,C,3,1,1,2,,2,0.67,0,0,0,0,0,0,,--,,--,--
108,Rudy Migay,1958-59,TOR,C,19,1,1,2,,4,0.11,0,1,1,1,0,0,,--,,--,--
109,Steve Kraftcheck,1958-59,TOR,D,8,1,0,1,,0,0.13,1,1,0,0,0,0,,--,,--,--
110,Larry Cahan,1958-59,NYR,D,16,1,0,1,,8,0.06,0,0,0,0,0,0,,--,,--,--
111,Howie Glover,1958-59,CHI,R,13,0,1,1,,2,0.08,0,0,0,0,0,0,,--,,--,--
112,Gord Redahl,1958-59,BOS,R,18,0,1,1,,0,0.06,0,0,0,0,0,0,,--,,--,--
113,Cummy Burton,1958-59,DET,R,14,0,1,1,,7,0.07,0,0,0,0,0,0,,--,,--,--
114,Lou Marcon,1958-59,DET,D,21,0,1,1,,12,0.05,0,0,0,0,0,0,,--,,--,--
