,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Joe Malone,1917-18,MTL,C,20,44,4,48,,30,2.40,,,,,4,1,,--,,--,--
2,Cy Denneny,1917-18,SEN,L,21,36,10,46,,80,2.19,,,,,2,0,,--,,--,--
3,Reg Noble,1917-18,TAN,C,20,29,10,39,,35,1.95,,,,,4,0,,--,,--,--
4,Newsy Lalonde,1917-18,MTL,C,14,23,7,30,,51,2.14,,,,,0,0,,--,,--,--
5,Corb Denneny,1917-18,TAN,C,21,20,10,30,,14,1.43,,,,,1,0,,--,,--,--
6,Harry Cameron,1917-18,TAN,D,21,17,10,27,,28,1.29,,,,,1,0,,--,,--,--
7,Didier Pitre,1917-18,MTL,R,20,17,8,25,,29,1.25,,,,,5,0,,--,,--,--
8,Eddie Gerard,1917-18,SEN,L,20,13,8,21,,26,1.05,,,,,0,0,,--,,--,--
9,Harry Meeking,1917-18,TAN,L,21,11,9,20,,28,0.95,,,,,1,0,,--,,--,--
10,Jack Darragh,1917-18,SEN,R,18,14,5,19,,23,1.06,,,,,1,0,,--,,--,--
11,Frank Nighbor,1917-18,SEN,C,10,11,8,19,,6,1.90,,,,,2,0,,--,,--,--
12,Alf Skinner,1917-18,TAN,R,20,13,5,18,,34,0.90,,,,,0,0,,--,,--,--
13,George Boucher,1917-18,SEN,D,21,9,8,17,,46,0.81,,,,,1,0,,--,,--,--
14,Harry Hyland,1917-18,"MWN, SEN",R,17,14,2,16,,65,0.94,,,,,2,0,,--,,--,--
15,Joe Hall,1917-18,MTL,D,21,8,7,15,,100,0.71,,,,,1,0,,--,,--,--
16,Bert Corbeau,1917-18,MTL,D,21,8,7,15,,44,0.71,,,,,0,0,,--,,--,--
17,Jack McDonald,1917-18,"MWN, MTL",L,13,12,2,14,,15,1.08,,,,,2,1,,--,,--,--
18,Ken Randall,1917-18,TAN,R,21,12,2,14,,116,0.67,,,,,4,0,,--,,--,--
19,Dave Ritchie,1917-18,"MWN, SEN",D,17,9,3,12,,21,0.71,,,,,2,0,,--,,--,--
20,Hamby Shore,1917-18,SEN,D,18,3,8,11,,51,0.61,,,,,0,0,,--,,--,--
21,Rusty Crawford,1917-18,"SEN, TAN",L,20,3,4,7,,66,0.35,,,,,0,0,,--,,--,--
22,Harry Mummery,1917-18,TAN,D,18,3,3,6,,41,0.33,,,,,1,0,,--,,--,--
23,Billy Coutu,1917-18,MTL,D,20,2,2,4,,49,0.20,,,,,0,0,,--,,--,--
24,Jack Laviolette,1917-18,MTL,D,18,2,1,3,,6,0.17,,,,,0,0,,--,,--,--
25,Louis Berlinquette,1917-18,MTL,L,20,2,1,3,,12,0.15,,,,,0,0,,--,,--,--
26,Ed Lowrey,1917-18,SEN,C,12,2,1,3,,3,0.25,,,,,0,0,,--,,--,--
27,Jack Coughlin,1917-18,TAN,R,6,2,0,2,,3,0.33,,,,,0,0,,--,,--,--
28,Art Ross,1917-18,MWN,D,3,1,0,1,,12,0.33,,,,,0,0,,--,,--,--
29,Phil Stevens,1917-18,MWN,C,4,1,0,1,,3,0.25,,,,,0,0,,--,,--,--
30,Billy Bell,1917-18,"MWN, MTL",C,9,1,0,1,,6,0.11,,,,,0,0,,--,,--,--
31,Morley Bruce,1917-18,SEN,D,7,0,0,0,,0,--,,,,,0,0,,--,,--,--
32,Jack Marks,1917-18,"MWN, TAN",L,6,0,0,0,,0,--,,,,,0,0,,--,,--,--
33,Evariste Payer,1917-18,MTL,C,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
34,Ken Thompson,1917-18,MWN,L,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
35,Horace Merrill,1917-18,SEN,D,4,0,0,0,,3,--,,,,,0,0,,--,,--,--
36,George O'Grady,1917-18,MWN,D,4,0,0,0,,0,--,,,,,0,0,,--,,--,--
37,Gerry Geran,1917-18,MWN,C,4,0,0,0,,0,--,,,,,0,0,,--,,--,--
38,Raymie Skilton,1917-18,MWN,D,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
39,Jack Adams,1917-18,TAN,C,8,0,0,0,,31,--,,,,,0,0,,--,,--,--
