,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Punch Broadbent,1921-22,SEN,R,24,31,14,45,,28,1.88,,,,,5,2,,--,,--,--
2,Cy Denneny,1921-22,SEN,L,22,28,12,40,,20,1.82,,,,,2,0,,--,,--,--
3,Babe Dye,1921-22,TSP,R,24,31,7,38,,39,1.58,,,,,5,0,,--,,--,--
4,Harry Cameron,1921-22,TSP,D,24,18,17,35,,22,1.46,,,,,3,0,,--,,--,--
5,Joe Malone,1921-22,HAM,C,24,24,7,31,,4,1.29,,,,,3,0,,--,,--,--
6,Corb Denneny,1921-22,TSP,C,24,19,9,28,,28,1.17,,,,,1,0,,--,,--,--
7,Reg Noble,1921-22,TSP,C,24,17,11,28,,19,1.17,,,,,2,0,,--,,--,--
8,Sprague Cleghorn,1921-22,MTL,D,24,17,9,26,,80,1.08,,,,,2,0,,--,,--,--
9,George Boucher,1921-22,SEN,D,23,13,12,25,,12,1.09,,,,,2,0,,--,,--,--
10,Odie Cleghorn,1921-22,MTL,R,24,21,3,24,,26,1.00,,,,,3,0,,--,,--,--
11,Leo Reise Sr.,1921-22,HAM,D,24,9,14,23,,11,0.96,,,,,1,0,,--,,--,--
12,Billy Boucher,1921-22,MTL,R,24,17,5,22,,18,0.92,,,,,3,0,,--,,--,--
13,Goldie Prodgers,1921-22,HAM,C,24,15,7,22,,4,0.92,,,,,0,0,,--,,--,--
14,Mickey Roach,1921-22,HAM,C,24,14,6,20,,9,0.83,,,,,2,1,,--,,--,--
15,Louis Berlinquette,1921-22,MTL,L,24,13,5,18,,10,0.75,,,,,0,0,,--,,--,--
16,Frank Nighbor,1921-22,SEN,C,20,8,10,18,,4,0.90,,,,,4,0,,--,,--,--
17,Eddie Gerard,1921-22,SEN,L,21,7,11,18,,16,0.86,,,,,0,0,,--,,--,--
18,Ken Randall,1921-22,TSP,R,24,10,6,16,,32,0.67,,,,,1,0,,--,,--,--
19,Cully Wilson,1921-22,HAM,R,23,7,9,16,,20,0.70,,,,,0,0,,--,,--,--
20,Newsy Lalonde,1921-22,MTL,C,20,9,6,15,,20,0.75,,,,,1,0,,--,,--,--
21,Amos Arbour,1921-22,HAM,L,23,9,6,15,,8,0.65,,,,,1,0,,--,,--,--
22,Frank Boucher,1921-22,SEN,C,24,8,2,10,,4,0.42,,,,,1,0,,--,,--,--
23,King Clancy,1921-22,SEN,D,24,4,6,10,,21,0.42,,,,,0,0,,--,,--,--
24,Bert Corbeau,1921-22,MTL,D,22,3,7,10,,26,0.45,,,,,0,0,,--,,--,--
25,Billy Stuart,1921-22,TSP,D,24,3,7,10,,16,0.42,,,,,1,0,,--,,--,--
26,Billy Coutu,1921-22,MTL,D,24,4,3,7,,8,0.29,,,,,2,0,,--,,--,--
27,Harry Mummery,1921-22,HAM,D,20,4,2,6,,40,0.30,,,,,0,0,,--,,--,--
28,Joe Matte,1921-22,HAM,D,21,3,3,6,,4,0.29,,,,,0,0,,--,,--,--
29,Didier Pitre,1921-22,MTL,R,23,2,4,6,,12,0.26,,,,,0,0,,--,,--,--
30,Edmond Bouchard,1921-22,MTL,L,18,1,5,6,,4,0.33,,,,,1,0,,--,,--,--
31,Morley Bruce,1921-22,SEN,D,22,4,1,5,,2,0.23,,,,,0,0,,--,,--,--
32,George Carey,1921-22,HAM,R,23,3,2,5,,6,0.22,,,,,0,0,,--,,--,--
33,Billy Bell,1921-22,"MTL, SEN",C,23,2,2,4,,4,0.17,,,,,0,0,,--,,--,--
34,Leth Graham,1921-22,SEN,L,1,2,0,2,,0,2.00,,,,,0,0,,--,,--,--
35,Paddy Nolan,1921-22,TSP,L,2,0,0,0,,0,--,,,,,0,0,,--,,--,--
36,Glenn Smith,1921-22,TSP,D,9,0,0,0,,0,--,,,,,0,0,,--,,--,--
37,Ted Stackhouse,1921-22,TSP,D,13,0,0,0,,2,--,,,,,0,0,,--,,--,--
38,Rod Smylie,1921-22,TSP,L,20,0,0,0,,2,--,,,,,0,0,,--,,--,--
39,Phil Stevens,1921-22,MTL,C,4,0,0,0,,0,--,,,,,0,0,,--,,--,--
40,Lloyd Andrews,1921-22,TSP,L,11,0,0,0,,0,--,,,,,0,0,,--,,--,--
41,Stan Jackson,1921-22,TSP,L,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
42,Jack McDonald,1921-22,MTL,L,3,0,0,0,,0,--,,,,,0,0,,--,,--,--
