,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Bobby Orr,1969-70,BOS,D,76,33,87,120,54,125,1.58,11,51,4,5,3,0,413,8.0,,--,--
2,Phil Esposito,1969-70,BOS,C,76,43,56,99,26,50,1.30,18,44,1,2,5,0,405,10.6,,--,--
3,Stan Mikita,1969-70,CHI,C,76,39,47,86,27,50,1.13,7,26,0,3,8,0,352,11.1,,--,--
4,Phil Goyette,1969-70,STL,C,72,29,49,78,3,16,1.08,13,41,0,0,5,0,152,19.1,,--,--
5,Walt Tkaczuk,1969-70,NYR,C,76,27,50,77,27,38,1.01,5,13,0,0,2,0,203,13.3,,--,--
6,Jean Ratelle,1969-70,NYR,C,75,32,42,74,7,28,0.99,10,23,0,0,6,0,198,16.2,,--,--
7,Red Berenson,1969-70,STL,C,67,33,39,72,-3,38,1.07,16,39,0,1,8,0,282,11.7,,--,--
8,J.P. Parise,1969-70,MNS,L,74,24,48,72,-4,72,0.97,6,16,1,2,1,0,168,14.3,,--,--
9,Gordie Howe,1969-70,DET,R,76,31,40,71,23,58,0.93,11,23,4,4,5,0,268,11.6,,--,--
10,Frank Mahovlich,1969-70,DET,L,74,38,32,70,14,59,0.95,14,26,1,1,5,0,251,15.1,,--,--
11,Dave Balon,1969-70,NYR,L,76,33,37,70,40,100,0.92,5,10,1,2,4,0,202,16.3,,--,--
12,John McKenzie,1969-70,BOS,R,72,29,41,70,20,122,0.97,9,32,1,1,6,0,196,14.8,,--,--
13,Johnny Bucyk,1969-70,BOS,L,76,31,38,69,19,13,0.91,14,31,0,0,6,0,190,16.3,,--,--
14,Alex Delvecchio,1969-70,DET,C,73,21,47,68,26,24,0.93,4,21,0,3,3,0,218,9.6,,--,--
15,Bobby Hull,1969-70,CHI,L,61,38,29,67,20,8,1.10,10,21,2,2,8,0,289,13.1,,--,--
16,Tommy Williams,1969-70,MNS,R,75,15,52,67,-19,18,0.89,2,19,0,0,0,0,165,9.1,,--,--
17,Garry Unger,1969-70,DET,C,76,42,24,66,24,67,0.87,12,16,0,1,4,0,234,17.9,,--,--
18,Bill Goldsworthy,1969-70,MNS,R,75,36,29,65,-12,89,0.87,11,18,0,0,4,0,230,15.7,,--,--
19,Pit Martin,1969-70,CHI,C,73,30,33,63,21,61,0.86,5,14,0,0,1,0,160,18.8,,--,--
20,Yvan Cournoyer,1969-70,MTL,R,72,27,36,63,1,23,0.88,10,27,0,0,4,0,233,11.6,,--,--
21,Dave Keon,1969-70,TOR,C,72,32,30,62,-15,6,0.86,9,24,2,2,4,0,284,11.3,,--,--
22,Jacques Lemaire,1969-70,MTL,C,69,32,28,60,17,16,0.87,12,17,0,0,5,0,237,13.5,,--,--
23,Norm Ullman,1969-70,TOR,C,74,18,42,60,19,37,0.81,5,12,1,1,0,0,207,8.7,,--,--
24,Wayne Connelly,1969-70,DET,C,76,23,36,59,24,10,0.78,5,21,0,0,5,0,242,9.5,,--,--
25,Frank St. Marseille,1969-70,STL,R,74,16,43,59,-4,18,0.80,3,22,0,0,1,0,166,9.6,,--,--
26,Bobby Rousseau,1969-70,MTL,R,72,24,34,58,2,30,0.81,5,17,2,3,4,0,228,10.5,,--,--
27,Fred Stanfield,1969-70,BOS,L,73,23,35,58,7,14,0.79,13,29,0,0,3,0,254,9.0,,--,--
28,Andre Lacroix,1969-70,PHI,C,74,22,36,58,-7,14,0.78,6,21,0,0,4,0,175,12.6,,--,--
29,Danny Grant,1969-70,MNS,L,76,29,28,57,-12,23,0.75,14,29,0,0,2,0,247,11.7,,--,--
30,Bill Fairbairn,1969-70,NYR,R,76,23,33,56,23,23,0.74,3,7,0,0,5,0,153,15.0,,--,--
31,Gary Dornhoefer,1969-70,PHI,R,65,26,29,55,1,96,0.85,4,9,2,2,1,0,146,17.8,,--,--
32,Ab McDonald,1969-70,STL,L,64,25,30,55,12,8,0.86,11,22,0,0,4,0,170,14.7,,--,--
33,Mike Walton,1969-70,TOR,C,58,21,34,55,-11,68,0.95,7,23,0,0,6,0,242,8.7,,--,--
34,Ron Ellis,1969-70,TOR,R,76,35,19,54,8,14,0.71,6,11,1,1,3,0,227,15.4,,--,--
35,Mickey Redmond,1969-70,MTL,R,75,27,27,54,22,61,0.72,4,9,0,0,2,0,279,9.7,,--,--
36,Ken Hodge,1969-70,BOS,R,72,25,29,54,17,87,0.75,6,15,0,0,5,0,198,12.6,,--,--
37,Vic Hadfield,1969-70,NYR,L,71,20,34,54,-3,69,0.76,3,17,0,0,4,0,268,7.5,,--,--
38,Jim Pappin,1969-70,CHI,R,66,28,25,53,16,68,0.80,9,14,0,0,7,0,158,17.7,,--,--
