,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Cy Denneny,1923-24,SEN,L,22,22,2,24,,10,1.09,,,,,7,2,,--,,--,--
2,Billy Boucher,1923-24,MTL,R,23,16,7,23,,48,1.00,,,,,5,1,,--,,--,--
3,Billy Burch,1923-24,HAM,C,24,16,6,22,,6,0.92,,,,,2,0,,--,,--,--
4,George Boucher,1923-24,SEN,D,21,13,9,22,,42,1.05,,,,,2,0,,--,,--,--
5,Babe Dye,1923-24,TSP,R,19,17,4,21,,23,1.11,,,,,3,0,,--,,--,--
6,Aurel Joliat,1923-24,MTL,L,24,15,6,21,,27,0.88,,,,,3,0,,--,,--,--
7,Jack Adams,1923-24,TSP,C,22,13,6,19,,51,0.86,,,,,2,0,,--,,--,--
8,King Clancy,1923-24,SEN,D,24,8,10,18,,18,0.75,,,,,1,0,,--,,--,--
9,Reg Noble,1923-24,TSP,C,24,12,5,17,,79,0.71,,,,,0,0,,--,,--,--
10,Frank Nighbor,1923-24,SEN,C,20,11,6,17,,16,0.85,,,,,1,0,,--,,--,--
11,Howie Morenz,1923-24,MTL,C,24,13,3,16,,32,0.67,,,,,2,0,,--,,--,--
12,Bert Corbeau,1923-24,TSP,D,24,8,8,16,,61,0.67,,,,,4,0,,--,,--,--
13,Punch Broadbent,1923-24,SEN,R,22,9,5,14,,48,0.64,,,,,3,1,,--,,--,--
14,Shorty Green,1923-24,HAM,R,22,7,7,14,,33,0.64,,,,,2,1,,--,,--,--
15,Red Green,1923-24,HAM,L,23,11,2,13,,30,0.57,,,,,0,0,,--,,--,--
16,Goldie Prodgers,1923-24,HAM,C,23,9,4,13,,8,0.57,,,,,2,0,,--,,--,--
17,Ken Randall,1923-24,HAM,R,24,7,6,13,,64,0.54,,,,,3,0,,--,,--,--
18,Sprague Cleghorn,1923-24,MTL,D,23,8,4,12,,47,0.52,,,,,1,1,,--,,--,--
19,Lionel Hitchman,1923-24,SEN,D,24,2,10,12,,32,0.50,,,,,0,0,,--,,--,--
20,Earl Campbell,1923-24,SEN,D,18,5,4,9,,10,0.50,,,,,1,0,,--,,--,--
21,Mickey Roach,1923-24,HAM,C,20,5,4,9,,7,0.45,,,,,0,0,,--,,--,--
22,Billy Stuart,1923-24,TSP,D,24,4,3,7,,22,0.29,,,,,1,0,,--,,--,--
23,Odie Cleghorn,1923-24,MTL,R,22,2,5,7,,20,0.32,,,,,0,0,,--,,--,--
24,Jesse Spring,1923-24,HAM,D,20,3,3,6,,20,0.30,,,,,0,0,,--,,--,--
25,Edmond Bouchard,1923-24,HAM,L,23,5,0,5,,8,0.22,,,,,0,0,,--,,--,--
26,Billy Coutu,1923-24,MTL,D,16,3,1,4,,16,0.25,,,,,2,0,,--,,--,--
27,Amos Arbour,1923-24,TSP,L,21,1,3,4,,4,0.19,,,,,0,0,,--,,--,--
28,Lloyd Andrews,1923-24,TSP,L,12,2,1,3,,2,0.25,,,,,0,0,,--,,--,--
29,Stan Jackson,1923-24,TSP,L,22,1,2,3,,8,0.14,,,,,0,0,,--,,--,--
30,Jack Darragh,1923-24,SEN,R,18,2,0,2,,2,0.11,,,,,1,0,,--,,--,--
31,Sylvio Mantha,1923-24,MTL,D,24,1,1,2,,11,0.08,,,,,0,0,,--,,--,--
32,Rod Smylie,1923-24,SEN,L,13,1,1,2,,8,0.15,,,,,0,0,,--,,--,--
33,Bobby Boucher,1923-24,MTL,C,11,1,0,1,,0,0.09,,,,,0,0,,--,,--,--
34,Harry Helman,1923-24,SEN,R,19,1,0,1,,2,0.05,,,,,0,0,,--,,--,--
35,Albert Holway,1923-24,TSP,D,5,1,0,1,,2,0.20,,,,,0,0,,--,,--,--
36,Billy Cameron,1923-24,MTL,R,18,0,1,1,,4,0.06,,,,,0,0,,--,,--,--
37,Frank Finnigan,1923-24,SEN,R,3,0,1,1,,0,0.33,,,,,0,0,,--,,--,--
38,Billy Bell,1923-24,MTL,C,11,0,1,1,,0,0.09,,,,,0,0,,--,,--,--
39,Joe Malone,1923-24,MTL,C,10,0,1,1,,0,0.10,,,,,0,0,,--,,--,--
40,Leo Reise Sr.,1923-24,HAM,D,4,0,0,0,,4,--,,,,,0,0,,--,,--,--
41,Charles Fraser,1923-24,HAM,D,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
42,Ganton Scott,1923-24,"TSP, HAM",R,12,0,0,0,,0,--,,,,,0,0,,--,,--,--
43,George Carey,1923-24,TSP,R,4,0,0,0,,0,--,,,,,0,0,,--,,--,--
44,Leth Graham,1923-24,SEN,L,3,0,0,0,,0,--,,,,,0,0,,--,,--,--
45,Wilf Loughlin,1923-24,TSP,D,14,0,0,0,,2,--,,,,,0,0,,--,,--,--
46,Corb Denneny,1923-24,HAM,C,23,0,0,0,,8,--,,,,,0,0,,--,,--,--
47,Chris Speyer,1923-24,TSP,D,3,0,0,0,,0,--,,,,,0,0,,--,,--,--
