,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Bryan Trottier,1978-79,NYI,C,76,47,87,134,76,50,1.76,15,44,0,0,8,0,187,25.1,,--,--
2,Marcel Dionne,1978-79,LAK,C,80,59,71,130,22,30,1.63,19,49,0,1,7,0,362,16.3,,--,--
3,Guy Lafleur,1978-79,MTL,R,80,52,77,129,55,28,1.61,13,45,0,1,13,0,342,15.2,,--,--
4,Mike Bossy,1978-79,NYI,R,80,69,57,126,63,25,1.57,27,50,0,0,9,0,279,24.7,,--,--
5,Bob MacMillan,1978-79,AFM,R,79,37,71,108,34,14,1.37,8,27,1,2,4,0,193,19.2,,--,--
6,Guy Chouinard,1978-79,AFM,C,80,50,57,107,23,14,1.34,11,26,0,0,5,0,229,21.8,,--,--
7,Denis Potvin,1978-79,NYI,D,73,31,70,101,71,58,1.38,12,42,3,4,2,0,237,13.1,,--,--
8,Bernie Federko,1978-79,STL,C,74,31,64,95,-15,14,1.28,7,31,0,0,1,0,156,19.9,,--,--
9,Dave Taylor,1978-79,LAK,R,78,43,48,91,27,124,1.17,13,27,0,0,4,0,238,18.1,,--,--
10,Clark Gillies,1978-79,NYI,L,75,35,56,91,57,68,1.21,11,29,0,0,5,0,210,16.7,,--,--
11,Dennis Maruk,1978-79,"MNS, WSH",C,78,31,59,90,-15,71,1.15,6,26,2,2,3,0,191,16.2,,--,--
12,Darryl Sittler,1978-79,TOR,C,70,36,51,87,9,69,1.24,12,27,0,0,4,0,290,12.4,,--,--
13,Butch Goring,1978-79,LAK,C,80,36,51,87,-20,16,1.09,13,38,4,5,2,0,217,16.6,,--,--
14,Rick Middleton,1978-79,BOS,R,71,38,48,86,32,7,1.21,12,20,1,4,5,0,152,25.0,,--,--
15,Lanny McDonald,1978-79,TOR,R,79,43,42,85,11,32,1.08,16,29,0,0,2,0,314,13.7,,--,--
16,Gilbert Perreault,1978-79,BUF,C,79,27,58,85,12,20,1.08,6,23,0,0,4,0,172,15.7,,--,--
17,Eric Vail,1978-79,AFM,L,80,35,48,83,25,53,1.04,5,17,1,1,5,0,203,17.2,,--,--
18,Brian Sutter,1978-79,STL,L,77,41,39,80,-2,165,1.04,12,20,0,0,3,0,177,23.2,,--,--
19,Peter McNab,1978-79,BOS,C,76,35,45,80,28,10,1.05,4,11,0,0,4,0,200,17.5,,--,--
20,Bill Barber,1978-79,PHI,L,79,34,46,80,20,22,1.01,10,30,6,8,4,0,258,13.2,,--,--
