,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Newsy Lalonde,1920-21,MTL,C,24,33,10,43,,36,1.79,,,,,6,0,,--,,--,--
2,Cy Denneny,1920-21,SEN,L,24,34,7,41,,10,1.71,,,,,4,0,,--,,--,--
3,Babe Dye,1920-21,"HAM, TSP",R,24,35,5,40,,32,1.67,,,,,6,0,,--,,--,--
4,Joe Malone,1920-21,HAM,C,20,28,9,37,,6,1.85,,,,,1,1,,--,,--,--
5,Frank Nighbor,1920-21,SEN,C,24,19,10,29,,10,1.21,,,,,3,1,,--,,--,--
6,Reg Noble,1920-21,TSP,C,24,19,8,27,,54,1.13,,,,,1,0,,--,,--,--
7,Harry Cameron,1920-21,TSP,D,24,18,9,27,,35,1.13,,,,,5,1,,--,,--,--
8,Goldie Prodgers,1920-21,HAM,C,24,18,9,27,,8,1.13,,,,,1,0,,--,,--,--
9,Corb Denneny,1920-21,TSP,C,20,19,7,26,,29,1.30,,,,,1,1,,--,,--,--
10,Jack Darragh,1920-21,SEN,R,24,11,14,25,,20,1.04,,,,,3,0,,--,,--,--
11,Didier Pitre,1920-21,MTL,R,23,16,5,21,,25,0.91,,,,,1,0,,--,,--,--
12,Harry Mummery,1920-21,MTL,D,24,14,6,20,,67,0.83,,,,,2,0,,--,,--,--
13,Louis Berlinquette,1920-21,MTL,L,24,11,9,20,,28,0.83,,,,,3,0,,--,,--,--
14,Mickey Roach,1920-21,"TSP, HAM",C,23,10,9,19,,2,0.83,,,,,2,0,,--,,--,--
15,Amos Arbour,1920-21,MTL,L,24,15,3,18,,40,0.75,,,,,0,0,,--,,--,--
16,George Boucher,1920-21,SEN,D,23,11,7,18,,53,0.78,,,,,2,0,,--,,--,--
17,Eddie Gerard,1920-21,SEN,L,24,11,4,15,,18,0.63,,,,,1,0,,--,,--,--
18,Joe Matte,1920-21,HAM,D,21,6,9,15,,29,0.71,,,,,0,0,,--,,--,--
19,Bert Corbeau,1920-21,MTL,D,24,11,2,13,,84,0.54,,,,,1,0,,--,,--,--
20,Sprague Cleghorn,1920-21,"SEN, TSP",D,16,5,8,13,,40,0.81,,,,,1,0,,--,,--,--
21,Billy Coutu,1920-21,HAM,D,24,8,4,12,,117,0.50,,,,,1,1,,--,,--,--
22,Thomas McCarthy,1920-21,HAM,R,23,10,1,11,,10,0.48,,,,,0,0,,--,,--,--
23,Cully Wilson,1920-21,"TSP, MTL",R,19,8,3,11,,51,0.58,,,,,0,0,,--,,--,--
24,Odie Cleghorn,1920-21,MTL,R,21,6,5,11,,8,0.52,,,,,0,0,,--,,--,--
25,Ken Randall,1920-21,TSP,R,22,6,5,11,,74,0.50,,,,,1,0,,--,,--,--
26,George Carey,1920-21,HAM,R,20,6,1,7,,8,0.35,,,,,0,0,,--,,--,--
27,Punch Broadbent,1920-21,SEN,R,9,4,1,5,,10,0.56,,,,,1,0,,--,,--,--
28,Morley Bruce,1920-21,SEN,D,21,3,1,4,,23,0.19,,,,,0,0,,--,,--,--
29,Billy Stuart,1920-21,TSP,D,19,2,1,3,,4,0.16,,,,,1,0,,--,,--,--
30,Rod Smylie,1920-21,TSP,L,23,2,1,3,,2,0.13,,,,,0,0,,--,,--,--
31,Jack MacKell,1920-21,SEN,R,22,2,1,3,,26,0.14,,,,,0,0,,--,,--,--
32,Ed Carpenter,1920-21,HAM,D,21,2,1,3,,17,0.14,,,,,0,0,,--,,--,--
33,Moylan McDonnell,1920-21,HAM,D,22,1,2,3,,2,0.14,,,,,0,0,,--,,--,--
34,Leo Reise Sr.,1920-21,HAM,D,6,2,0,2,,10,0.33,,,,,0,0,,--,,--,--
35,Jack McDonald,1920-21,"MTL, TSP",L,12,0,1,1,,2,0.08,,,,,0,0,,--,,--,--
36,Billy Bell,1920-21,MTL,C,4,0,0,0,,2,--,,,,,0,0,,--,,--,--
37,Dave Campbell,1920-21,MTL,D,2,0,0,0,,0,--,,,,,0,0,,--,,--,--
38,Dave Ritchie,1920-21,MTL,D,6,0,0,0,,2,--,,,,,0,0,,--,,--,--
