,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Gordie Howe,1950-51,DET,R,70,43,43,86,,74,1.23,5,16,0,0,9,0,,--,,--,--
2,Maurice Richard,1950-51,MTL,R,65,42,24,66,,97,1.02,9,14,2,2,8,0,,--,,--,--
3,Max Bentley,1950-51,TOR,C,67,21,41,62,,34,0.93,7,29,0,0,3,0,,--,,--,--
4,Sid Abel,1950-51,DET,C,69,23,38,61,,30,0.88,6,10,0,1,4,0,,--,,--,--
5,Milt Schmidt,1950-51,BOS,C,62,22,39,61,,33,0.98,3,13,0,0,5,0,,--,,--,--
6,Ted Kennedy,1950-51,TOR,C,63,18,43,61,,32,0.97,8,22,1,2,4,0,,--,,--,--
7,Ted Lindsay,1950-51,DET,L,67,24,35,59,,110,0.88,2,8,1,1,5,0,,--,,--,--
8,Tod Sloan,1950-51,TOR,C,70,31,25,56,,105,0.80,10,19,0,0,3,0,,--,,--,--
9,Red Kelly,1950-51,DET,D,70,17,37,54,,24,0.77,4,14,0,0,3,0,,--,,--,--
10,Sid Smith,1950-51,TOR,L,70,30,21,51,,10,0.73,12,15,0,0,7,0,,--,,--,--
11,Cal Gardner,1950-51,TOR,C,66,23,28,51,,42,0.77,2,5,0,0,7,0,,--,,--,--
12,Roy Conacher,1950-51,CHI,L,70,26,24,50,,14,0.71,3,6,0,0,2,0,,--,,--,--
13,Elmer Lach,1950-51,MTL,C,65,21,24,45,,48,0.69,4,11,1,1,3,0,,--,,--,--
14,Woody Dumart,1950-51,BOS,L,70,20,21,41,,7,0.59,3,6,0,0,2,0,,--,,--,--
15,Bert Olmstead,1950-51,"CHI, MTL",L,54,18,23,41,,50,0.76,5,9,0,0,2,0,,--,,--,--
16,Reg Sinclair,1950-51,NYR,R,70,18,21,39,,70,0.56,4,7,1,1,2,0,,--,,--,--
17,Don Raleigh,1950-51,NYR,C,64,15,24,39,,18,0.61,1,4,0,0,4,0,,--,,--,--
