,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Wayne Gretzky,1990-91,LAK,C,78,41,122,163,30,16,2.09,8,59,0,1,5,0,212,19.3,,--,--
2,Brett Hull,1990-91,STL,R,78,86,45,131,23,22,1.68,29,45,0,0,11,1,389,22.1,,--,--
3,Adam Oates,1990-91,STL,C,61,25,90,115,15,29,1.89,3,41,1,1,3,0,139,18.0,,--,--
4,Mark Recchi,1990-91,PIT,R,78,40,73,113,0,48,1.45,12,40,0,1,9,1,184,21.7,,--,--
5,John Cullen,1990-91,"PIT, HFD",C,78,39,71,110,-6,101,1.41,14,43,0,0,3,0,205,19.0,,--,--
6,Joe Sakic,1990-91,QUE,C,80,48,61,109,-26,24,1.36,12,34,3,4,7,1,245,19.6,,--,--
7,Steve Yzerman,1990-91,DET,C,80,51,57,108,-2,34,1.35,12,33,6,7,4,0,326,15.6,,--,--
8,Theo Fleury,1990-91,CGY,R,79,51,53,104,48,136,1.32,9,32,7,7,9,0,249,20.5,,--,--
9,Al MacInnis,1990-91,CGY,D,78,28,75,103,42,90,1.32,17,63,0,3,1,0,305,9.2,,--,--
10,Steve Larmer,1990-91,CHI,R,80,44,57,101,37,79,1.26,17,43,2,8,9,1,231,19.0,,--,--
11,Jeremy Roenick,1990-91,CHI,C,79,41,53,94,38,80,1.19,15,38,4,5,10,1,194,21.1,,--,--
12,Ray Bourque,1990-91,BOS,D,76,21,73,94,33,75,1.24,7,45,0,0,3,0,323,6.5,,--,--
13,Paul Coffey,1990-91,PIT,D,76,24,69,93,-18,128,1.22,8,42,0,0,3,0,240,10.0,,--,--
14,Craig Janney,1990-91,BOS,C,77,26,66,92,15,8,1.19,9,34,1,1,5,0,133,19.5,,--,--
15,Cam Neely,1990-91,BOS,R,69,51,40,91,26,98,1.32,18,28,1,2,8,1,262,19.5,,--,--
16,Luc Robitaille,1990-91,LAK,L,76,45,46,91,28,68,1.20,11,23,0,0,5,1,229,19.7,,--,--
17,Tomas Sandstrom,1990-91,LAK,R,68,45,44,89,27,106,1.31,16,28,0,0,6,1,221,20.4,,--,--
18,Dale Hawerchuk,1990-91,BUF,C,80,31,58,89,2,32,1.11,12,34,0,0,1,0,194,16.0,,--,--
19,Brian Leetch,1990-91,NYR,D,80,16,72,88,2,42,1.10,6,51,0,1,4,0,206,7.8,,--,--
20,Ron Francis,1990-91,"HFD, PIT",C,81,23,64,87,-2,72,1.07,10,29,1,1,7,0,174,13.2,,--,--
21,Kevin Stevens,1990-91,PIT,L,80,40,46,86,-1,133,1.07,18,38,0,0,6,1,253,15.8,,--,--
22,Joe Nieuwendyk,1990-91,CGY,C,79,45,40,85,19,36,1.08,22,36,4,4,1,0,222,20.3,,--,--
23,Pat LaFontaine,1990-91,NYI,C,75,41,44,85,-6,42,1.13,12,33,2,2,5,0,225,18.2,,--,--
24,Pat Verbeek,1990-91,HFD,R,80,43,39,82,0,246,1.02,15,36,0,1,5,0,247,17.4,,--,--
25,Dave Gagner,1990-91,MNS,C,73,40,42,82,9,114,1.12,20,34,0,0,5,0,223,17.9,,--,--
26,Doug Gilmour,1990-91,CGY,C,78,20,61,81,27,144,1.04,2,17,2,5,5,0,135,14.8,,--,--
27,Pierre Turgeon,1990-91,BUF,C,78,32,47,79,14,26,1.01,13,21,2,3,3,0,174,18.4,,--,--
28,Sergei Fedorov,1990-91,DET,C,77,31,48,79,11,66,1.03,11,27,3,4,5,0,259,12.0,,--,--
29,Sergei Makarov,1990-91,CGY,R,78,30,49,79,15,44,1.01,9,24,0,0,5,0,93,32.3,,--,--
30,John MacLean,1990-91,NJD,R,78,45,33,78,8,150,1.00,19,26,2,4,7,0,292,15.4,,--,--
31,Russ Courtnall,1990-91,MTL,R,79,26,50,76,5,29,0.96,5,17,1,3,5,0,279,9.3,,--,--
32,Phil Housley,1990-91,WIN,D,78,23,53,76,-13,24,0.97,12,37,1,2,3,0,206,11.2,,--,--
33,Brian Bellows,1990-91,MNS,L,80,35,40,75,-13,43,0.94,17,33,0,0,4,0,296,11.8,,--,--
34,Kevin Hatcher,1990-91,WSH,D,79,24,50,74,-10,69,0.94,9,33,2,5,3,0,267,9.0,,--,--
35,Brian Propp,1990-91,MNS,L,79,26,47,73,7,58,0.92,9,33,0,3,1,0,171,15.2,,--,--
36,Vincent Damphousse,1990-91,TOR,C,79,26,47,73,-31,65,0.92,10,25,1,2,4,0,247,10.5,,--,--
37,Bernie Nicholls,1990-91,NYR,C,71,25,48,73,5,96,1.03,8,30,0,0,2,1,163,15.3,,--,--
38,Rick Tocchet,1990-91,PHI,R,70,40,31,71,2,150,1.01,8,16,0,0,5,0,217,18.4,,--,--
39,Eddie Olczyk,1990-91,"TOR, WIN",R,79,30,41,71,-27,82,0.90,14,27,0,1,2,0,226,13.3,,--,--
40,Mike Ridley,1990-91,WSH,C,79,23,48,71,9,26,0.90,6,16,5,8,4,1,155,14.8,,--,--
41,Trevor Linden,1990-91,VAN,C,80,33,37,70,-25,65,0.88,16,30,2,2,4,0,229,14.4,,--,--
42,Michal Pivonka,1990-91,WSH,C,79,20,50,70,3,34,0.89,6,22,0,3,4,0,172,11.6,,--,--
43,Kirk Muller,1990-91,NJD,L,80,19,51,70,1,76,0.88,7,26,0,5,3,0,221,8.6,,--,--
44,Gary Suter,1990-91,CGY,D,79,12,58,70,26,102,0.89,6,38,0,0,1,0,258,4.7,,--,--
45,Mike Gartner,1990-91,NYR,R,79,49,20,69,-9,53,0.87,22,27,1,1,4,0,262,18.7,,--,--
46,Dave Andreychuk,1990-91,BUF,L,80,36,33,69,11,32,0.86,13,27,0,0,4,2,234,15.4,,--,--
47,Esa Tikkanen,1990-91,EDM,L,79,27,42,69,22,85,0.87,3,16,2,4,6,0,235,11.5,,--,--
48,Pelle Eklund,1990-91,PHI,C,73,19,50,69,-2,14,0.95,8,28,0,1,4,0,131,14.5,,--,--
49,Neal Broten,1990-91,MNS,C,79,13,56,69,-3,26,0.87,1,25,2,5,0,0,191,6.8,,--,--
50,Petr Klima,1990-91,EDM,R,70,40,28,68,24,113,0.97,7,16,1,1,5,1,204,19.6,,--,--
51,Darren Turcotte,1990-91,NYR,C,74,26,41,67,-5,37,0.91,15,34,2,4,3,0,212,12.3,,--,--
52,Thomas Steen,1990-91,WIN,C,58,19,48,67,-3,49,1.16,7,26,0,1,3,0,125,15.2,,--,--
53,Brendan Shanahan,1990-91,NJD,L,75,29,37,66,4,141,0.88,7,19,0,0,2,0,195,14.9,,--,--
54,Murray Craven,1990-91,PHI,L,77,19,47,66,-2,53,0.86,6,21,0,0,0,0,170,11.2,,--,--
55,Geoff Courtnall,1990-91,"STL, VAN",L,77,33,32,65,16,64,0.84,12,17,0,0,8,3,263,12.5,,--,--
56,Pat Elynuik,1990-91,WIN,R,80,31,34,65,-13,73,0.81,16,31,0,0,4,1,150,20.7,,--,--
57,Michel Goulet,1990-91,CHI,L,74,27,38,65,27,65,0.88,9,20,0,0,1,0,167,16.2,,--,--
58,Alexander Mogilny,1990-91,BUF,R,62,30,34,64,14,16,1.03,3,8,3,5,5,0,201,14.9,,--,--
59,Tony Granato,1990-91,LAK,R,68,30,34,64,22,154,0.94,11,19,1,1,3,1,197,15.2,,--,--
60,Mike Modano,1990-91,MNS,C,79,28,36,64,2,61,0.81,9,24,0,0,2,0,232,12.1,,--,--
61,Mark Messier,1990-91,EDM,C,53,12,52,64,15,34,1.21,3,21,1,1,2,1,109,11.0,,--,--
62,Chris Chelios,1990-91,CHI,D,77,12,52,64,23,192,0.83,5,34,2,7,2,0,187,6.4,,--,--
63,Joe Murphy,1990-91,EDM,R,80,27,35,62,2,35,0.78,4,16,1,3,4,1,141,19.1,,--,--
64,Steve Duchesne,1990-91,LAK,D,78,21,41,62,19,66,0.79,8,22,0,1,3,0,171,12.3,,--,--
65,Brian Mullen,1990-91,NYR,R,79,19,43,62,12,44,0.78,4,15,0,1,3,0,188,10.1,,--,--
66,Stephane Richer,1990-91,MTL,R,75,31,30,61,0,53,0.81,9,19,0,1,4,0,221,14.0,,--,--
67,Dan Quinn,1990-91,"VAN, STL",C,78,22,38,60,-33,66,0.77,12,30,0,0,5,0,183,12.0,,--,--
68,Peter Stastny,1990-91,NJD,C,77,18,42,60,0,53,0.78,4,27,0,1,3,0,117,15.4,,--,--
69,Ken Hodge Jr.,1990-91,BOS,C,70,30,29,59,11,20,0.84,12,18,2,2,4,1,137,21.9,,--,--
70,Denis Savard,1990-91,MTL,C,70,28,31,59,-1,52,0.84,7,19,2,2,0,0,187,15.0,,--,--
71,Mats Sundin,1990-91,QUE,C,80,23,36,59,-24,58,0.74,4,12,0,0,0,0,155,14.8,,--,--
72,Jeff Brown,1990-91,STL,D,67,12,47,59,4,39,0.88,6,30,1,1,0,0,176,6.8,,--,--
73,James Patrick,1990-91,NYR,D,74,10,49,59,-5,58,0.80,6,37,0,1,2,0,138,7.2,,--,--
74,Rob Brown,1990-91,"PIT, HFD",R,69,24,34,58,-7,132,0.84,12,22,0,0,2,0,126,19.0,,--,--
75,John Druce,1990-91,WSH,R,80,22,36,58,4,46,0.72,7,18,1,2,4,1,209,10.5,,--,--
76,Todd Elik,1990-91,LAK,L,74,21,37,58,20,58,0.78,2,8,0,0,4,0,153,13.7,,--,--
77,Craig Simpson,1990-91,EDM,L,75,30,27,57,-8,66,0.76,15,24,0,0,5,0,143,21.0,,--,--
78,Jaromir Jagr,1990-91,PIT,R,80,27,30,57,-4,42,0.71,7,13,0,0,4,0,136,19.9,,--,--
79,David Volek,1990-91,NYI,L,77,22,34,56,-10,57,0.73,6,15,0,2,1,0,224,9.8,,--,--
80,Glenn Anderson,1990-91,EDM,R,74,24,31,55,-7,59,0.74,8,17,0,1,4,0,193,12.4,,--,--
