,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Bobby Hull,1965-66,CHI,L,65,54,43,97,19,66,1.49,22,41,1,2,7,0,351,15.4,,--,--
2,Stan Mikita,1965-66,CHI,C,68,30,48,78,6,58,1.15,11,36,1,1,1,0,244,12.3,,--,--
3,Bobby Rousseau,1965-66,MTL,R,70,30,48,78,10,20,1.11,10,40,0,0,3,0,256,11.7,,--,--
4,Jean Beliveau,1965-66,MTL,C,67,29,48,77,10,50,1.15,13,29,0,0,8,0,267,10.9,,--,--
5,Gordie Howe,1965-66,DET,R,70,29,46,75,19,83,1.07,7,24,0,3,3,0,274,10.6,,--,--
6,Norm Ullman,1965-66,DET,C,70,31,41,72,2,35,1.03,7,16,0,0,2,0,259,12.0,,--,--
7,Alex Delvecchio,1965-66,DET,C,70,31,38,69,19,16,0.99,9,22,4,5,6,0,238,13.0,,--,--
8,Bob Nevin,1965-66,NYR,R,69,29,33,62,-7,10,0.90,8,23,1,1,2,0,221,13.1,,--,--
9,Henri Richard,1965-66,MTL,C,62,22,39,61,6,47,0.98,3,12,0,0,7,0,240,9.2,,--,--
10,Murray Oliver,1965-66,BOS,C,70,18,42,60,-23,30,0.86,5,14,0,0,3,0,218,8.3,,--,--
11,Johnny Bucyk,1965-66,BOS,L,63,27,30,57,-1,12,0.90,3,9,0,0,5,0,186,14.5,,--,--
12,Frank Mahovlich,1965-66,TOR,L,68,32,24,56,3,68,0.82,10,17,0,0,6,0,245,13.1,,--,--
13,Bob Pulford,1965-66,TOR,L,70,28,28,56,9,51,0.80,11,12,2,2,2,0,238,11.8,,--,--
14,Claude Provost,1965-66,MTL,R,70,19,36,55,22,38,0.79,3,7,0,0,5,0,202,9.4,,--,--
15,Donnie Marshall,1965-66,NYR,L,69,26,28,54,-9,6,0.78,10,17,0,1,3,0,164,15.8,,--,--
16,Dave Keon,1965-66,TOR,C,69,24,30,54,6,4,0.78,6,15,0,2,6,0,246,9.8,,--,--
17,Phil Esposito,1965-66,CHI,C,69,27,26,53,21,49,0.77,7,10,0,0,6,0,172,15.7,,--,--
18,Jean Ratelle,1965-66,NYR,C,67,21,30,51,-11,10,0.76,4,11,0,0,2,0,156,13.5,,--,--
19,Bill Hay,1965-66,CHI,C,68,20,31,51,2,20,0.75,4,10,2,3,3,0,151,13.2,,--,--
20,George Armstrong,1965-66,TOR,R,70,16,35,51,11,12,0.73,3,13,2,2,3,0,186,8.6,,--,--
21,Doug Mohns,1965-66,CHI,L,70,22,27,49,-1,63,0.70,10,20,0,1,4,0,180,12.2,,--,--
22,Floyd Smith,1965-66,DET,R,66,21,28,49,9,20,0.74,2,8,0,0,3,0,156,13.5,,--,--
23,Gilles Tremblay,1965-66,MTL,L,70,27,21,48,26,24,0.69,5,9,0,0,4,0,171,15.8,,--,--
24,Chico Maki,1965-66,CHI,R,68,17,31,48,22,41,0.71,2,6,2,2,2,0,135,12.6,,--,--
25,Andy Bathgate,1965-66,DET,R,70,15,32,47,-5,25,0.67,4,17,0,0,3,0,216,6.9,,--,--
26,Paul Henderson,1965-66,DET,L,69,22,24,46,4,34,0.67,5,9,0,1,9,0,173,12.7,,--,--
27,Dick Duff,1965-66,MTL,L,63,21,24,45,2,80,0.71,5,14,0,0,2,0,156,13.5,,--,--
28,Dean Prentice,1965-66,"BOS, DET",L,69,13,31,44,-23,18,0.64,3,11,1,1,2,0,165,7.9,,--,--
29,Kenny Wharram,1965-66,CHI,R,69,26,17,43,-3,28,0.62,9,14,0,0,7,0,174,14.9,,--,--
30,Eddie Shack,1965-66,TOR,L,63,26,17,43,11,88,0.68,2,6,0,0,6,0,179,14.5,,--,--
31,Ralph Backstrom,1965-66,MTL,C,67,22,20,42,26,12,0.63,1,2,0,0,3,0,196,11.2,,--,--
32,Ron Ellis,1965-66,TOR,R,70,19,23,42,-2,24,0.60,3,10,0,0,1,0,146,13.0,,--,--
33,Phil Goyette,1965-66,NYR,C,60,11,31,42,-4,4,0.70,4,11,0,0,0,0,139,7.9,,--,--
34,Eric Nesterenko,1965-66,CHI,R,67,15,25,40,-1,58,0.60,1,5,0,1,2,0,102,14.7,,--,--
35,Tommy Williams,1965-66,BOS,R,70,16,22,38,-22,31,0.54,1,3,0,0,3,0,168,9.5,,--,--
36,Ron Stewart,1965-66,BOS,R,70,20,16,36,-20,19,0.51,4,9,0,1,2,0,205,9.8,,--,--
37,Earl Ingarfield,1965-66,NYR,C,68,20,16,36,-20,37,0.53,2,5,0,0,3,0,158,12.7,,--,--
38,Pierre Pilote,1965-66,CHI,D,51,2,34,36,23,60,0.71,1,15,0,1,0,0,47,4.3,,--,--
39,Vic Hadfield,1965-66,NYR,L,69,16,19,35,-21,117,0.51,1,4,0,0,1,0,177,9.0,,--,--
40,J.C. Tremblay,1965-66,MTL,D,60,6,29,35,16,10,0.58,2,11,0,0,1,0,125,4.8,,--,--
41,Bruce MacGregor,1965-66,DET,C,70,20,14,34,-2,26,0.49,1,4,1,1,2,0,135,14.8,,--,--
42,Reg Fleming,1965-66,"BOS, NYR",D,69,14,20,34,-31,166,0.49,4,7,0,1,3,0,151,9.3,,--,--
