,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Jaromir Jagr,1999-00,PIT,R,63,42,54,96,25,50,1.52,10,29,0,0,5,1,290,14.5,23:12,21.5,22.2
2,Pavel Bure,1999-00,FLA,R,74,58,36,94,25,16,1.27,11,20,2,2,14,1,360,16.1,24:23,24.9,0.0
3,Mark Recchi,1999-00,PHI,R,82,28,63,91,20,50,1.11,7,39,1,2,5,1,223,12.6,21:43,23.2,49.6
4,Paul Kariya,1999-00,ANA,L,74,42,44,86,22,24,1.16,11,31,3,3,3,0,324,13.0,24:22,26.4,39.4
5,Teemu Selanne,1999-00,ANA,R,79,33,52,85,6,12,1.08,8,31,0,0,6,1,236,14.0,22:44,24.1,23.1
6,Owen Nolan,1999-00,SJS,R,78,44,40,84,-1,110,1.08,18,33,4,8,6,0,261,16.9,21:07,22.3,50.7
7,Tony Amonte,1999-00,CHI,R,82,43,41,84,10,48,1.02,11,19,5,6,2,0,260,16.5,21:54,25.2,22.7
8,Mike Modano,1999-00,DAL,C,77,38,43,81,0,48,1.05,11,27,1,5,8,0,188,20.2,22:55,27.7,51.4
9,Joe Sakic,1999-00,COL,C,60,28,53,81,30,28,1.35,5,22,1,1,5,1,242,11.6,23:16,28.4,53.8
10,Steve Yzerman,1999-00,DET,C,78,35,44,79,28,34,1.01,15,29,2,4,6,0,234,14.9,21:07,22.9,56.8
11,Brendan Shanahan,1999-00,DET,L,78,41,37,78,24,105,1.00,13,29,1,3,9,1,283,14.5,18:35,20.9,50.0
12,Jeremy Roenick,1999-00,PHX,C,75,34,44,78,11,102,1.04,6,19,3,4,12,1,192,17.7,20:51,22.9,50.0
13,John LeClair,1999-00,PHI,L,82,40,37,77,8,36,0.94,13,24,0,0,7,1,249,16.1,20:18,21.7,28.6
14,Valeri Bure,1999-00,CGY,R,82,35,40,75,-7,50,0.91,13,31,0,0,6,2,308,11.4,20:58,21.8,25.0
15,Pavol Demitra,1999-00,STL,R,71,28,47,75,34,8,1.06,8,23,0,0,4,2,241,11.6,19:13,21.6,39.0
16,Luc Robitaille,1999-00,LAK,L,71,36,38,74,11,68,1.04,13,26,0,0,7,0,221,16.3,18:34,20.6,30.0
17,Mats Sundin,1999-00,TOR,C,73,32,41,73,16,46,1.00,10,19,2,3,7,4,184,17.4,20:11,21.2,50.8
18,Doug Gilmour,1999-00,"CHI, BUF",C,74,25,48,73,-9,63,0.99,10,23,0,0,3,2,113,22.1,19:50,22.2,53.6
19,Ron Francis,1999-00,CAR,C,78,23,50,73,10,18,0.94,7,29,0,0,4,0,150,15.3,21:58,24.4,53.3
20,Nicklas Lidstrom,1999-00,DET,D,81,20,53,73,19,18,0.90,9,31,4,5,3,0,218,9.2,28:45,27.2,0.0
21,Milan Hejduk,1999-00,COL,R,82,36,36,72,14,16,0.88,13,27,0,1,9,2,228,15.8,19:58,25.9,100.0
22,Patrik Elias,1999-00,NJD,C,72,35,37,72,16,58,1.00,9,24,0,0,9,1,183,19.1,17:28,19.6,45.5
23,Doug Weight,1999-00,EDM,C,77,21,51,72,6,54,0.94,3,25,1,1,4,0,167,12.6,20:35,21.7,50.4
24,Ray Whitney,1999-00,FLA,L,81,29,42,71,16,35,0.88,5,22,0,0,3,0,198,14.6,18:41,21.5,49.0
25,Adam Oates,1999-00,WSH,C,82,15,56,71,13,14,0.87,5,21,0,0,6,2,93,16.1,22:20,23.6,56.8
26,Mariusz Czerkawski,1999-00,NYI,R,79,35,35,70,-16,34,0.89,16,29,0,0,4,1,276,12.7,17:45,20.2,25.0
27,Vincent Damphousse,1999-00,SJS,C,82,21,49,70,4,58,0.85,3,30,1,6,1,0,204,10.3,20:26,21.8,49.0
28,Scott Gomez,1999-00,NJD,C,82,19,51,70,14,78,0.85,7,27,0,0,1,0,204,9.3,16:21,17.6,44.6
29,Viktor Kozlov,1999-00,FLA,C,80,17,53,70,24,16,0.88,6,21,0,0,2,0,223,7.6,19:27,23.5,42.9
30,Petr Sykora,1999-00,NJD,R,79,25,43,68,24,26,0.86,5,18,1,1,4,0,222,11.3,17:06,18.5,61.7
31,Petr Nedved,1999-00,NYR,C,76,24,44,68,2,40,0.89,6,21,2,3,4,0,201,11.9,19:54,21.1,54.0
32,Miroslav Satan,1999-00,BUF,R,81,33,34,67,16,32,0.83,5,12,3,4,5,0,265,12.4,20:35,22.2,14.3
33,Vincent Lecavalier,1999-00,TBL,C,80,25,42,67,-25,43,0.84,6,28,0,0,3,0,166,15.1,19:18,20.9,44.4
34,Chris Drury,1999-00,COL,C,82,20,47,67,8,42,0.82,7,23,0,0,2,0,213,9.4,18:33,24.9,53.1
35,Ziggy Palffy,1999-00,LAK,R,64,27,39,66,18,32,1.03,4,21,0,0,3,0,186,14.5,19:39,21.4,42.9
36,Alex Kovalev,1999-00,PIT,R,82,26,40,66,-3,94,0.80,9,26,2,5,4,0,254,10.2,22:53,21.7,47.4
37,Pierre Turgeon,1999-00,STL,C,52,26,40,66,30,8,1.27,8,24,0,1,3,0,139,18.7,19:13,21.8,53.1
38,Markus Naslund,1999-00,VAN,L,82,27,38,65,-5,64,0.79,6,25,2,3,3,0,271,10.0,20:13,24.7,46.2
39,Robert Lang,1999-00,PIT,C,78,23,42,65,-9,14,0.83,13,26,0,0,5,1,142,16.2,19:22,20.8,50.7
40,Steve Sullivan,1999-00,"TOR, CHI",L,80,22,43,65,19,56,0.81,2,15,1,1,6,1,180,12.2,17:32,21.1,48.0
41,Theo Fleury,1999-00,NYR,R,80,15,49,64,-4,68,0.80,1,21,0,0,1,1,246,6.1,19:41,22.1,56.5
