,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Max Bentley,1946-47,CHI,C,60,29,43,72,,12,1.20,10,24,0,0,3,0,,--,,--,--
2,Maurice Richard,1946-47,MTL,R,60,45,26,71,,69,1.18,12,16,0,0,10,0,,--,,--,--
3,Billy Taylor Sr.,1946-47,DET,C,60,17,46,63,,35,1.05,4,22,0,0,3,0,,--,,--,--
4,Milt Schmidt,1946-47,BOS,C,59,27,35,62,,40,1.05,4,13,0,0,3,0,,--,,--,--
5,Ted Kennedy,1946-47,TOR,C,60,28,32,60,,27,1.00,5,9,0,1,0,0,,--,,--,--
6,Doug Bentley,1946-47,CHI,L,52,21,34,55,,18,1.06,4,16,0,1,3,0,,--,,--,--
7,Roy Conacher,1946-47,DET,L,60,30,24,54,,6,0.90,10,20,0,0,2,0,,--,,--,--
8,Bobby Bauer,1946-47,BOS,R,58,30,24,54,,4,0.93,7,13,0,0,3,0,,--,,--,--
9,Bill Mosienko,1946-47,CHI,R,59,25,27,52,,2,0.88,4,9,1,1,0,0,,--,,--,--
10,Woody Dumart,1946-47,BOS,L,60,24,28,52,,12,0.87,5,11,0,0,3,0,,--,,--,--
11,Toe Blake,1946-47,MTL,L,60,21,29,50,,6,0.83,5,11,0,0,4,0,,--,,--,--
12,Syl Apps,1946-47,TOR,C,54,25,24,49,,6,0.91,2,4,0,0,3,0,,--,,--,--
13,Adam Brown,1946-47,"DET, CHI",L,64,19,30,49,,87,0.77,6,15,0,1,5,0,,--,,--,--
14,Sid Abel,1946-47,DET,C,60,19,29,48,,29,0.80,7,17,0,0,2,0,,--,,--,--
15,Howie Meeker,1946-47,TOR,R,55,27,18,45,,76,0.82,5,6,0,0,8,0,,--,,--,--
16,Alex Kaleta,1946-47,CHI,L,57,24,20,44,,37,0.77,5,7,1,1,0,0,,--,,--,--
17,Ted Lindsay,1946-47,DET,L,59,27,15,42,,57,0.71,5,8,1,1,4,0,,--,,--,--
18,Billy Reay,1946-47,MTL,C,59,22,20,42,,17,0.71,1,3,0,0,3,0,,--,,--,--
19,Tony Leswick,1946-47,NYR,L,59,27,14,41,,51,0.69,3,5,0,0,3,0,,--,,--,--
20,Red Hamill,1946-47,CHI,L,60,21,19,40,,12,0.67,4,11,0,1,2,0,,--,,--,--
