,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Cooney Weiland,1929-30,BOS,C,44,43,30,73,,29,1.66,,,,,14,1,,--,,--,--
2,Frank Boucher,1929-30,NYR,C,42,26,36,62,,16,1.48,,,,,1,1,,--,,--,--
3,Dit Clapper,1929-30,BOS,R,44,41,20,61,,38,1.39,,,,,7,1,,--,,--,--
4,Bill Cook,1929-30,NYR,R,44,29,30,59,,56,1.34,,,,,3,1,,--,,--,--
5,Hec Kilrea,1929-30,SEN,L,44,36,22,58,,70,1.32,,,,,3,1,,--,,--,--
6,Nels Stewart,1929-30,MMR,C,44,39,16,55,,85,1.25,,,,,7,3,,--,,--,--
7,Howie Morenz,1929-30,MTL,C,44,40,13,53,,72,1.20,,,,,5,4,,--,,--,--
8,Normie Himes,1929-30,NYA,C,44,28,22,50,,15,1.14,,,,,4,2,,--,,--,--
9,Joe Lamb,1929-30,SEN,R,44,29,20,49,,119,1.11,,,,,5,1,,--,,--,--
10,Dutch Gainor,1929-30,BOS,C,42,18,31,49,,39,1.17,,,,,2,0,,--,,--,--
11,Ace Bailey,1929-30,TOR,R,43,22,21,43,,69,1.00,,,,,4,0,,--,,--,--
12,Fred Cook,1929-30,NYR,L,43,24,18,42,,59,0.98,,,,,5,0,,--,,--,--
13,King Clancy,1929-30,SEN,D,44,17,23,40,,83,0.91,,,,,1,0,,--,,--,--
14,Baldy Cotton,1929-30,TOR,L,41,21,17,38,,47,0.93,,,,,4,2,,--,,--,--
15,Frank Finnigan,1929-30,SEN,R,43,21,15,36,,48,0.84,,,,,5,4,,--,,--,--
16,Carson Cooper,1929-30,DCG,R,44,18,18,36,,14,0.82,,,,,3,0,,--,,--,--
17,Ebbie Goodfellow,1929-30,DCG,C,44,17,17,34,,54,0.77,,,,,2,1,,--,,--,--
18,Pit Lepine,1929-30,MTL,C,44,24,9,33,,47,0.75,,,,,4,0,,--,,--,--
19,Marty Barry,1929-30,BOS,C,44,18,15,33,,34,0.75,,,,,0,0,,--,,--,--
20,George Hay,1929-30,DCG,L,44,18,15,33,,8,0.75,,,,,2,0,,--,,--,--
21,Babe Siebert,1929-30,MMR,L,41,14,19,33,,94,0.80,,,,,0,0,,--,,--,--
22,Aurel Joliat,1929-30,MTL,L,42,19,13,32,,40,0.76,,,,,2,0,,--,,--,--
23,Harold Darragh,1929-30,PIR,L,42,15,17,32,,8,0.76,,,,,0,0,,--,,--,--
24,Eddie Shore,1929-30,BOS,D,42,12,19,31,,109,0.74,,,,,3,1,,--,,--,--
25,Hooley Smith,1929-30,MMR,C,42,21,9,30,,87,0.71,,,,,2,0,,--,,--,--
26,Herbie Lewis,1929-30,DCG,L,44,19,11,30,,34,0.68,,,,,1,0,,--,,--,--
27,Gerry Lowrey,1929-30,PIR,L,44,16,14,30,,50,0.68,,,,,1,0,,--,,--,--
28,Tom Cook,1929-30,CHI,C,41,14,16,30,,18,0.73,,,,,1,0,,--,,--,--
29,Charlie Conacher,1929-30,TOR,R,39,20,9,29,,46,0.74,,,,,2,1,,--,,--,--
30,Johnny Sheppard,1929-30,NYA,L,43,14,15,29,,32,0.67,,,,,2,1,,--,,--,--
31,Charley McVeigh,1929-30,NYA,C,40,14,14,28,,32,0.70,,,,,3,0,,--,,--,--
32,Dave Trottier,1929-30,MMR,L,41,17,10,27,,79,0.66,,,,,2,0,,--,,--,--
33,Butch Keeling,1929-30,NYR,L,43,19,7,26,,34,0.60,,,,,3,1,,--,,--,--
34,Wildor Larochelle,1929-30,MTL,R,44,14,12,26,,28,0.59,,,,,3,1,,--,,--,--
35,Joe Primeau,1929-30,TOR,C,43,5,21,26,,22,0.60,,,,,2,0,,--,,--,--
36,Johnny Gottselig,1929-30,CHI,L,39,21,4,25,,30,0.64,,,,,4,1,,--,,--,--
37,Murray Murdoch,1929-30,NYR,L,44,13,12,25,,22,0.57,,,,,0,0,,--,,--,--
38,Sylvio Mantha,1929-30,MTL,D,44,13,11,24,,108,0.55,,,,,4,1,,--,,--,--
39,Hib Milks,1929-30,PIR,L,41,13,11,24,,36,0.59,,,,,0,0,,--,,--,--
40,Art Somers,1929-30,CHI,C,44,11,13,24,,76,0.55,,,,,1,0,,--,,--,--
41,Merlyn Phillips,1929-30,MMR,C,44,13,10,23,,44,0.52,,,,,5,0,,--,,--,--
42,Nick Wasnie,1929-30,MTL,R,44,12,11,23,,66,0.52,,,,,1,0,,--,,--,--
43,Harry Oliver,1929-30,BOS,R,41,16,5,21,,12,0.51,,,,,8,0,,--,,--,--
44,Andy Blair,1929-30,TOR,C,42,11,10,21,,25,0.50,,,,,1,0,,--,,--,--
45,Joe Simpson,1929-30,NYA,D,44,8,13,21,,41,0.48,,,,,0,0,,--,,--,--
46,Hap Day,1929-30,TOR,D,43,7,14,21,,77,0.49,,,,,0,0,,--,,--,--
47,Larry Aurie,1929-30,DCG,R,43,14,5,19,,30,0.44,,,,,3,0,,--,,--,--
48,James Jarvis,1929-30,PIR,L,44,11,8,19,,32,0.43,,,,,0,0,,--,,--,--
49,Paul Thompson,1929-30,NYR,L,44,7,12,19,,36,0.43,,,,,2,0,,--,,--,--
50,Busher Jackson,1929-30,TOR,L,31,12,6,18,,31,0.58,,,,,1,0,,--,,--,--
51,Jimmy Ward,1929-30,MMR,R,44,10,8,18,,54,0.41,,,,,4,1,,--,,--,--
52,Ty Arbour,1929-30,CHI,L,42,10,8,18,,26,0.43,,,,,2,0,,--,,--,--
53,George Patterson,1929-30,NYA,L,39,13,4,17,,26,0.44,,,,,2,1,,--,,--,--
54,John McKinnon,1929-30,PIR,D,41,10,7,17,,42,0.41,,,,,2,0,,--,,--,--
55,Duke Dutkowski,1929-30,CHI,D,44,7,10,17,,44,0.39,,,,,3,0,,--,,--,--
56,Earl Miller,1929-30,CHI,L,28,11,5,16,,50,0.57,,,,,4,0,,--,,--,--
57,Vic Ripley,1929-30,CHI,L,38,8,8,16,,35,0.42,,,,,1,0,,--,,--,--
58,Rosie Couture,1929-30,CHI,R,43,8,8,16,,67,0.37,,,,,1,0,,--,,--,--
59,Percy Galbraith,1929-30,BOS,L,44,7,9,16,,38,0.36,,,,,0,0,,--,,--,--
60,Frank Ingram,1929-30,CHI,R,37,6,10,16,,28,0.43,,,,,1,0,,--,,--,--
61,Red Dutton,1929-30,MMR,D,43,3,13,16,,102,0.37,,,,,0,0,,--,,--,--
62,Mush March,1929-30,CHI,R,43,8,7,15,,50,0.35,,,,,0,0,,--,,--,--
63,Albert Leduc,1929-30,MTL,D,44,6,9,15,,94,0.34,,,,,1,1,,--,,--,--
64,Bill Touhey,1929-30,SEN,L,44,10,3,13,,24,0.30,,,,,1,0,,--,,--,--
65,George Owen,1929-30,BOS,D,42,9,4,13,,31,0.31,,,,,2,0,,--,,--,--
66,Billy Boyd,1929-30,NYA,R,44,7,6,13,,16,0.30,,,,,1,0,,--,,--,--
67,Leo Bourgeault,1929-30,NYR,D,44,7,6,13,,56,0.30,,,,,1,0,,--,,--,--
