,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Phil Esposito,1970-71,BOS,C,78,76,76,152,69,71,1.95,24,51,1,2,16,0,550,13.8,,--,--
2,Bobby Orr,1970-71,BOS,D,78,37,102,139,124,91,1.78,5,49,3,13,5,0,392,9.4,,--,--
3,Johnny Bucyk,1970-71,BOS,L,78,51,65,116,37,8,1.49,22,48,0,0,5,0,225,22.7,,--,--
4,Ken Hodge,1970-71,BOS,R,78,43,62,105,69,113,1.35,5,12,0,0,7,0,232,18.5,,--,--
5,Bobby Hull,1970-71,CHI,L,78,44,52,96,35,32,1.23,11,32,0,2,11,0,378,11.6,,--,--
6,Norm Ullman,1970-71,TOR,C,73,34,51,85,14,24,1.16,11,23,1,2,4,0,226,15.0,,--,--
7,Wayne Cashman,1970-71,BOS,L,77,21,58,79,59,100,1.03,4,10,0,0,3,0,175,12.0,,--,--
8,John McKenzie,1970-71,BOS,R,65,31,46,77,27,120,1.18,11,31,0,0,3,0,151,20.5,,--,--
9,Dave Keon,1970-71,TOR,C,76,38,38,76,25,4,1.00,5,18,8,11,9,0,277,13.7,,--,--
10,Jean Beliveau,1970-71,MTL,C,70,25,51,76,24,42,1.09,7,24,0,0,4,0,172,14.5,,--,--
11,Fred Stanfield,1970-71,BOS,L,75,24,52,76,31,12,1.01,9,32,0,0,3,0,267,9.0,,--,--
12,Walt Tkaczuk,1970-71,NYR,C,77,26,49,75,18,48,0.97,5,17,1,1,4,0,213,12.2,,--,--
13,Yvan Cournoyer,1970-71,MTL,R,65,37,36,73,18,21,1.12,18,34,0,0,5,0,197,18.8,,--,--
14,Frank Mahovlich,1970-71,"DET, MTL",L,73,31,42,73,9,41,1.00,10,23,2,3,4,0,204,15.2,,--,--
15,Gilbert Perreault,1970-71,BUF,C,78,38,34,72,-38,19,0.92,14,29,0,0,5,0,210,18.1,,--,--
16,Jean Ratelle,1970-71,NYR,C,78,26,46,72,27,14,0.92,6,19,1,1,3,0,203,12.8,,--,--
17,Stan Mikita,1970-71,CHI,C,74,24,48,72,20,85,0.97,7,22,0,0,4,0,220,10.9,,--,--
18,Jude Drouin,1970-71,MNS,C,75,16,52,68,4,49,0.91,4,23,0,0,2,0,208,7.7,,--,--
19,Tom Webster,1970-71,DET,R,78,30,37,67,-48,40,0.86,7,23,0,0,5,0,183,16.4,,--,--
20,Dennis Hull,1970-71,CHI,L,78,40,26,66,27,16,0.85,10,20,0,0,7,0,229,17.5,,--,--
21,Andre Boudrias,1970-71,VAN,L,77,25,41,66,14,16,0.86,7,17,1,2,2,0,254,9.8,,--,--
22,Bill Goldsworthy,1970-71,MNS,R,77,34,31,65,-13,85,0.84,5,16,1,1,7,0,295,11.5,,--,--
23,Juha Widing,1970-71,LAK,C,78,25,40,65,-11,24,0.83,5,11,0,0,4,0,202,12.4,,--,--
24,Derek Sanderson,1970-71,BOS,C,71,29,34,63,39,130,0.89,1,1,6,12,0,0,217,13.4,,--,--
25,Bobby Clarke,1970-71,PHI,C,77,27,36,63,9,78,0.82,10,17,1,1,5,0,185,14.6,,--,--
26,Bob Berry,1970-71,LAK,L,77,25,38,63,-6,52,0.82,4,9,0,0,2,0,149,16.8,,--,--
27,Wayne Maki,1970-71,VAN,L,78,25,38,63,-14,99,0.81,8,17,0,0,2,0,184,13.6,,--,--
28,J.C. Tremblay,1970-71,MTL,D,76,11,52,63,16,23,0.83,5,34,0,0,4,0,122,9.0,,--,--
29,Rosaire Paiement,1970-71,VAN,C,78,34,28,62,13,152,0.79,4,11,1,1,4,0,248,13.7,,--,--
30,Peter Mahovlich,1970-71,MTL,C,78,35,26,61,25,181,0.78,12,21,3,3,5,0,189,18.5,,--,--
31,Rod Gilbert,1970-71,NYR,R,78,30,31,61,20,65,0.78,8,18,0,0,5,0,226,13.3,,--,--
32,Phil Goyette,1970-71,BUF,C,60,15,46,61,-17,6,1.02,9,28,0,0,1,0,119,12.6,,--,--
33,Dave Balon,1970-71,NYR,L,78,36,24,60,14,34,0.77,9,13,0,0,7,0,176,20.4,,--,--
34,Paul Henderson,1970-71,TOR,L,72,30,30,60,13,34,0.83,8,18,0,0,2,0,213,14.1,,--,--
35,Ed Westfall,1970-71,BOS,R,78,25,34,59,57,48,0.76,0,0,7,16,5,0,149,16.8,,--,--
36,Red Berenson,1970-71,"STL, DET",C,69,21,38,59,-14,16,0.85,7,27,1,1,2,0,225,9.3,,--,--
37,Murray Hall,1970-71,VAN,R,77,21,38,59,-17,22,0.77,5,17,0,0,1,0,127,16.5,,--,--
38,Danny Grant,1970-71,MNS,L,78,34,23,57,6,46,0.73,12,19,0,0,1,0,283,12.0,,--,--
39,Jacques Lemaire,1970-71,MTL,C,78,28,28,56,-1,18,0.72,6,11,0,0,3,0,252,11.1,,--,--
40,Garry Unger,1970-71,"DET, STL",C,79,28,28,56,-36,104,0.71,7,18,0,0,4,0,279,10.0,,--,--
41,Dale Tallon,1970-71,VAN,D,78,14,42,56,-25,58,0.72,5,17,0,0,1,0,232,6.0,,--,--
42,Gerry Meehan,1970-71,BUF,C,77,24,31,55,-10,8,0.71,5,8,0,0,1,0,163,14.7,,--,--
43,Pit Martin,1970-71,CHI,C,62,22,33,55,18,40,0.89,6,16,0,0,5,0,126,17.5,,--,--
44,Alex Delvecchio,1970-71,DET,C,77,21,34,55,-20,6,0.71,6,17,0,2,2,0,171,12.3,,--,--
45,Bryan Campbell,1970-71,CHI,C,78,17,37,54,22,26,0.69,3,7,0,0,1,0,155,11.0,,--,--
46,Ross Lonsberry,1970-71,LAK,L,76,25,28,53,-35,80,0.70,5,13,2,3,0,0,238,10.5,,--,--
47,Ron Ellis,1970-71,TOR,R,78,24,29,53,20,10,0.68,2,10,0,0,2,0,234,10.3,,--,--
48,Christian Bordeleau,1970-71,STL,C,78,21,32,53,15,48,0.68,3,11,2,3,7,0,187,11.2,,--,--
49,Orland Kurtenbach,1970-71,VAN,C,52,21,32,53,-3,84,1.02,8,17,1,1,4,0,129,16.3,,--,--
50,Tim Ecclestone,1970-71,"STL, DET",L,74,19,34,53,-22,47,0.72,7,21,0,0,4,0,205,9.3,,--,--
51,Gordie Howe,1970-71,DET,R,63,23,29,52,-3,38,0.83,7,16,1,1,3,0,195,11.8,,--,--
52,Dennis Hextall,1970-71,CGS,C,78,21,31,52,-21,217,0.67,1,3,0,1,3,0,153,13.7,,--,--
53,Serge Bernier,1970-71,PHI,C,77,23,28,51,-7,77,0.66,2,8,0,0,1,0,204,11.3,,--,--
54,Frank St. Marseille,1970-71,STL,R,77,19,32,51,4,26,0.66,3,15,0,0,5,0,217,8.8,,--,--
55,Pat Stapleton,1970-71,CHI,D,76,7,44,51,48,30,0.67,4,19,0,1,0,0,131,5.3,,--,--
56,Cliff Koroll,1970-71,CHI,R,72,16,34,50,27,85,0.69,4,13,0,0,3,0,124,12.9,,--,--
57,Mike Corrigan,1970-71,VAN,L,76,21,28,49,-21,103,0.64,5,13,0,0,1,0,164,12.8,,--,--
58,Donnie Marshall,1970-71,BUF,L,62,20,29,49,-13,6,0.79,9,22,0,0,1,0,112,17.8,,--,--
59,Marc Tardif,1970-71,MTL,L,76,19,30,49,25,133,0.64,4,13,0,0,2,0,144,13.2,,--,--
60,Pete Stemkowski,1970-71,"DET, NYR",C,78,18,31,49,16,69,0.63,5,10,0,2,2,0,275,6.5,,--,--
61,Henri Richard,1970-71,MTL,C,75,12,37,49,13,46,0.65,1,5,0,0,1,0,226,5.3,,--,--
62,Chico Maki,1970-71,CHI,R,72,22,26,48,29,18,0.67,2,9,2,2,3,0,110,20.0,,--,--
63,Bryan Hextall Jr.,1970-71,PIT,C,76,16,32,48,-25,133,0.63,6,20,0,0,2,0,181,8.8,,--,--
64,Ernie Hicke,1970-71,CGS,L,78,22,25,47,-36,62,0.60,7,12,0,0,1,0,202,10.9,,--,--
65,Bruce MacGregor,1970-71,"DET, NYR",C,74,18,29,47,3,22,0.64,2,8,1,1,3,0,128,14.1,,--,--
66,Eddie Shack,1970-71,"LAK, BUF",L,67,27,19,46,-32,101,0.69,10,19,0,0,5,0,207,13.0,,--,--
67,Wayne Carleton,1970-71,BOS,L,69,22,24,46,37,44,0.67,0,1,0,0,5,0,164,13.4,,--,--
68,Bob Nevin,1970-71,NYR,R,78,21,25,46,17,10,0.59,3,7,0,1,3,0,154,13.6,,--,--
69,Mike Byers,1970-71,LAK,R,72,27,18,45,-6,14,0.63,4,6,0,0,5,0,179,15.1,,--,--
70,Jim Pappin,1970-71,CHI,R,58,22,23,45,10,40,0.78,7,14,0,0,2,0,113,19.5,,--,--
71,Jean Pronovost,1970-71,PIT,R,78,21,24,45,6,35,0.58,4,8,0,0,2,0,225,9.3,,--,--
72,Jim Johnson,1970-71,PHI,C,66,16,29,45,-10,16,0.68,2,6,0,0,2,0,122,13.1,,--,--
73,Dallas Smith,1970-71,BOS,D,73,7,38,45,98,68,0.62,0,1,2,6,1,0,159,4.4,,--,--
74,Vic Hadfield,1970-71,NYR,L,63,22,22,44,16,38,0.70,8,15,0,0,1,0,194,11.3,,--,--
75,Guy Lapointe,1970-71,MTL,D,78,15,29,44,27,107,0.56,5,14,0,0,1,0,228,6.6,,--,--
76,Andy Bathgate,1970-71,PIT,R,76,15,29,44,-12,34,0.58,7,19,0,0,3,0,209,7.2,,--,--
77,Brad Park,1970-71,NYR,D,68,7,37,44,26,114,0.65,3,17,0,1,0,0,199,3.5,,--,--
78,Mickey Redmond,1970-71,"MTL, DET",R,61,20,23,43,7,42,0.70,4,12,0,0,2,0,184,10.9,,--,--
79,Bob Pulford,1970-71,LAK,L,59,17,26,43,-13,53,0.73,6,12,1,2,2,0,170,10.0,,--,--
80,Gary Croteau,1970-71,CGS,R,74,15,28,43,-23,12,0.58,2,8,0,0,1,0,182,8.2,,--,--
81,Andre Lacroix,1970-71,PHI,C,78,20,22,42,-8,12,0.54,9,18,0,0,4,0,180,11.1,,--,--
82,Wayne Connelly,1970-71,"DET, STL",C,79,13,29,42,-29,21,0.53,4,19,0,0,2,0,217,6.0,,--,--
83,Ted Green,1970-71,BOS,D,78,5,37,42,38,60,0.54,0,0,0,3,0,0,103,4.9,,--,--
84,Billy MacMillan,1970-71,TOR,R,76,22,19,41,8,42,0.54,3,8,1,2,4,0,156,14.1,,--,--
85,Eddie Joyal,1970-71,LAK,C,68,20,21,41,-11,14,0.60,3,9,0,0,1,0,168,11.9,,--,--
86,Wally Boyer,1970-71,PIT,C,68,11,30,41,10,30,0.60,3,10,0,1,0,0,111,9.9,,--,--
87,Gary Dornhoefer,1970-71,PHI,R,57,20,20,40,2,93,0.70,5,10,0,0,2,0,96,20.8,,--,--
88,Jim Lorentz,1970-71,STL,C,76,19,21,40,6,34,0.53,6,12,0,0,2,0,160,11.9,,--,--
89,Tommy Williams,1970-71,"MNS, CGS",R,59,17,23,40,-17,24,0.68,5,8,0,0,2,0,105,16.2,,--,--
90,Ron Schock,1970-71,PIT,C,71,14,26,40,1,20,0.56,2,6,2,3,1,0,148,9.4,,--,--
91,Ted Hampson,1970-71,"CGS, MNS",C,78,14,26,40,-23,18,0.51,2,7,4,5,2,0,158,8.9,,--,--
