,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Mario Lemieux,1987-88,PIT,C,77,70,98,168,23,92,2.18,22,80,10,14,7,2,382,18.3,,--,--
2,Wayne Gretzky,1987-88,EDM,C,64,40,109,149,39,24,2.33,9,49,5,9,3,0,211,18.9,,--,--
3,Denis Savard,1987-88,CHI,C,80,44,87,131,4,95,1.64,14,62,7,13,6,1,270,16.3,,--,--
4,Dale Hawerchuk,1987-88,WIN,C,80,44,77,121,-9,59,1.51,20,59,3,5,4,2,292,15.1,,--,--
5,Luc Robitaille,1987-88,LAK,L,80,53,58,111,-9,82,1.39,17,42,0,0,6,0,220,24.1,,--,--
6,Peter Stastny,1987-88,QUE,C,76,46,65,111,2,69,1.46,20,57,0,2,2,0,199,23.1,,--,--
7,Mark Messier,1987-88,EDM,C,77,37,74,111,21,103,1.44,12,33,3,8,7,0,182,20.3,,--,--
8,Jimmy Carson,1987-88,LAK,C,80,55,52,107,-19,45,1.34,22,48,0,0,7,0,264,20.8,,--,--
9,Hakan Loob,1987-88,CGY,R,80,50,56,106,41,47,1.32,9,35,8,13,4,1,198,25.3,,--,--
10,Michel Goulet,1987-88,QUE,L,80,48,58,106,-31,56,1.32,29,54,1,1,4,0,284,16.9,,--,--
11,Mike Bullard,1987-88,CGY,C,79,48,55,103,25,68,1.30,21,47,0,0,3,0,230,20.9,,--,--
12,Steve Yzerman,1987-88,DET,C,64,50,52,102,30,44,1.59,10,34,6,7,6,0,242,20.7,,--,--
13,Jari Kurri,1987-88,EDM,R,80,43,53,96,25,30,1.20,10,29,3,6,5,1,207,20.8,,--,--
14,Kirk Muller,1987-88,NJD,L,80,37,57,94,19,114,1.18,17,37,2,2,1,0,215,17.2,,--,--
15,Bobby Smith,1987-88,MTL,C,78,27,66,93,13,78,1.19,8,33,0,0,4,0,198,13.6,,--,--
16,Joe Nieuwendyk,1987-88,CGY,C,75,51,41,92,20,23,1.23,31,45,3,5,8,0,212,24.1,,--,--
17,Pat LaFontaine,1987-88,NYI,C,75,47,45,92,12,52,1.23,15,31,0,0,7,1,242,19.4,,--,--
18,Gary Suter,1987-88,CGY,D,75,21,70,91,39,124,1.21,6,43,1,3,3,0,204,10.3,,--,--
19,Craig Simpson,1987-88,"PIT, EDM",L,80,56,34,90,20,77,1.13,22,32,0,1,8,1,177,31.6,,--,--
20,Steve Larmer,1987-88,CHI,R,80,41,48,89,-5,42,1.11,21,40,7,11,0,0,245,16.7,,--,--
21,Bernie Federko,1987-88,STL,C,79,20,69,89,-12,52,1.13,9,43,0,0,2,0,119,16.8,,--,--
22,Glenn Anderson,1987-88,EDM,R,80,38,50,88,5,58,1.10,16,31,1,1,3,0,255,14.9,,--,--
23,Walt Poddubny,1987-88,NYR,L,77,38,50,88,2,76,1.14,13,40,0,0,4,0,202,18.8,,--,--
24,Dino Ciccarelli,1987-88,MNS,R,67,41,45,86,-29,79,1.28,13,34,1,2,2,0,262,15.6,,--,--
