,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Bernie Geoffrion,1954-55,MTL,R,70,38,37,75,,57,1.07,13,32,0,0,8,0,,--,,--,--
2,Maurice Richard,1954-55,MTL,R,67,38,36,74,,125,1.10,11,24,0,0,5,0,,--,,--,--
3,Jean Beliveau,1954-55,MTL,C,70,37,36,73,,58,1.04,14,26,0,0,7,0,,--,,--,--
4,Dutch Reibel,1954-55,DET,C,70,25,41,66,,15,0.94,8,24,0,1,6,0,,--,,--,--
5,Gordie Howe,1954-55,DET,R,64,29,33,62,,68,0.97,7,18,2,2,5,0,,--,,--,--
6,Red Sullivan,1954-55,CHI,C,70,19,42,61,,51,0.87,9,23,0,0,1,0,,--,,--,--
7,Bert Olmstead,1954-55,MTL,L,70,10,48,58,,103,0.83,4,22,0,0,3,0,,--,,--,--
8,Sid Smith,1954-55,TOR,L,70,33,21,54,,12,0.77,11,19,0,0,5,0,,--,,--,--
9,Ken Mosdell,1954-55,MTL,C,70,22,32,54,,82,0.77,3,7,0,2,0,0,,--,,--,--
10,Danny Lewicki,1954-55,NYR,L,70,29,24,53,,8,0.76,4,13,0,0,6,0,,--,,--,--
11,Ted Kennedy,1954-55,TOR,C,70,10,42,52,,74,0.74,5,16,0,1,0,0,,--,,--,--
12,Ed Litzenberger,1954-55,"MTL, CHI",C,73,23,28,51,,40,0.70,5,15,0,0,3,0,,--,,--,--
13,Doug Harvey,1954-55,MTL,D,70,6,43,49,,58,0.70,3,28,0,0,1,0,,--,,--,--
14,Alex Delvecchio,1954-55,DET,C,70,17,31,48,,37,0.69,3,15,0,0,3,0,,--,,--,--
15,Red Kelly,1954-55,DET,D,70,15,30,45,,28,0.64,6,13,3,5,3,0,,--,,--,--
16,Nick Mickoski,1954-55,"NYR, CHI",L,70,10,33,43,,48,0.61,4,16,0,0,2,0,,--,,--,--
17,Leo Labine,1954-55,BOS,R,67,24,18,42,,75,0.63,8,14,0,0,4,0,,--,,--,--
18,Don McKenney,1954-55,BOS,C,69,22,20,42,,32,0.61,7,11,0,0,2,0,,--,,--,--
19,Andy Bathgate,1954-55,NYR,R,70,20,20,40,,37,0.57,8,14,0,0,1,0,,--,,--,--
20,Real Chevrefils,1954-55,BOS,L,64,18,22,40,,30,0.63,5,12,0,0,0,0,,--,,--,--
21,Don Raleigh,1954-55,NYR,C,69,8,32,40,,19,0.58,3,11,0,0,0,0,,--,,--,--
22,Ted Lindsay,1954-55,DET,L,49,19,19,38,,85,0.78,7,12,0,0,8,0,,--,,--,--
23,Cal Gardner,1954-55,BOS,C,70,16,22,38,,40,0.54,3,9,0,0,3,0,,--,,--,--
24,Marcel Bonin,1954-55,DET,L,69,16,20,36,,53,0.52,2,4,0,0,2,0,,--,,--,--
25,Dickie Moore,1954-55,MTL,L,67,16,20,36,,32,0.54,1,4,0,0,6,0,,--,,--,--
26,Calum MacKay,1954-55,MTL,L,50,14,21,35,,39,0.70,2,4,0,0,3,0,,--,,--,--
27,Fleming MacKell,1954-55,BOS,C,60,11,24,35,,76,0.58,1,9,0,1,2,0,,--,,--,--
28,Lorne Ferguson,1954-55,BOS,L,69,20,14,34,,24,0.49,5,6,0,0,3,0,,--,,--,--
29,Ed Sandford,1954-55,BOS,L,61,14,20,34,,38,0.56,0,3,0,0,3,0,,--,,--,--
30,Marcel Pronovost,1954-55,DET,D,70,9,25,34,,88,0.49,1,6,0,1,2,0,,--,,--,--
31,Jack LeClair,1954-55,MTL,C,59,11,22,33,,12,0.56,2,3,0,0,2,0,,--,,--,--
32,Harry Watson,1954-55,"TOR, CHI",L,51,15,17,32,,4,0.63,3,12,0,0,1,0,,--,,--,--
33,Doug Mohns,1954-55,BOS,L,70,14,18,32,,82,0.46,2,8,0,0,3,0,,--,,--,--
34,Dean Prentice,1954-55,NYR,L,70,16,15,31,,20,0.44,1,7,0,0,2,0,,--,,--,--
35,Marty Pavelich,1954-55,DET,L,70,15,15,30,,59,0.43,0,2,1,2,3,0,,--,,--,--
36,Eric Nesterenko,1954-55,TOR,R,62,15,15,30,,99,0.48,2,5,2,2,3,0,,--,,--,--
37,Glen Skov,1954-55,DET,C,70,14,16,30,,53,0.43,1,3,0,0,3,0,,--,,--,--
38,Ron Murphy,1954-55,NYR,L,66,14,16,30,,36,0.45,3,5,0,0,0,0,,--,,--,--
39,Jack McIntyre,1954-55,CHI,L,65,16,13,29,,40,0.45,5,7,0,0,1,0,,--,,--,--
40,Metro Prystai,1954-55,"DET, CHI",C,69,13,16,29,,37,0.42,3,11,1,1,0,0,,--,,--,--
41,Tod Sloan,1954-55,TOR,C,63,13,15,28,,89,0.44,1,11,0,1,1,0,,--,,--,--
42,Larry Popein,1954-55,NYR,C,70,11,17,28,,27,0.40,0,4,0,0,0,0,,--,,--,--
43,George Armstrong,1954-55,TOR,R,66,10,18,28,,80,0.42,4,8,0,0,0,0,,--,,--,--
44,Johnny Wilson,1954-55,DET,L,70,12,15,27,,14,0.39,5,12,0,0,2,0,,--,,--,--
45,Bill Mosienko,1954-55,CHI,R,64,12,15,27,,24,0.42,3,4,0,0,1,0,,--,,--,--
46,Tony Leswick,1954-55,DET,L,70,10,17,27,,137,0.39,0,1,1,2,1,0,,--,,--,--
47,Jerry Toppazzini,1954-55,CHI,R,70,9,18,27,,59,0.39,1,4,2,3,1,0,,--,,--,--
48,Allan Stanley,1954-55,"NYR, CHI",D,64,10,16,26,,24,0.41,2,8,0,0,0,0,,--,,--,--
49,Tom Johnson,1954-55,MTL,D,70,6,19,25,,74,0.36,0,3,1,1,1,0,,--,,--,--
50,Bill Gadsby,1954-55,"CHI, NYR",D,70,11,13,24,,61,0.34,2,6,1,1,2,0,,--,,--,--
51,Rudy Migay,1954-55,TOR,C,67,8,16,24,,66,0.36,0,2,2,2,3,0,,--,,--,--
52,Pete Conacher,1954-55,"CHI, NYR",L,70,12,11,23,,12,0.33,0,5,0,0,2,0,,--,,--,--
53,Larry Wilson,1954-55,CHI,C,63,12,11,23,,37,0.36,3,5,0,0,0,0,,--,,--,--
54,Bill Quackenbush,1954-55,BOS,D,68,2,20,22,,8,0.32,0,6,0,0,0,0,,--,,--,--
55,Floyd Curry,1954-55,MTL,R,68,11,10,21,,34,0.31,2,2,3,3,3,0,,--,,--,--
56,Hugh Bolton,1954-55,TOR,D,69,2,19,21,,55,0.30,1,8,0,1,2,0,,--,,--,--
57,Ron Stewart,1954-55,TOR,R,53,14,5,19,,20,0.36,1,1,1,3,3,0,,--,,--,--
58,Bill Dineen,1954-55,DET,R,69,10,9,19,,36,0.28,3,4,0,0,3,0,,--,,--,--
59,Vic Stasiuk,1954-55,DET,L,59,8,11,19,,67,0.32,3,6,0,0,1,0,,--,,--,--
60,Fern Flaman,1954-55,BOS,D,70,4,14,18,,150,0.26,1,3,0,0,1,0,,--,,--,--
61,Butch Bouchard,1954-55,MTL,D,70,2,16,18,,83,0.26,0,0,0,1,0,0,,--,,--,--
62,Warren Godfrey,1954-55,BOS,D,64,1,17,18,,60,0.28,0,1,0,0,0,0,,--,,--,--
63,Dave Creighton,1954-55,"TOR, CHI",C,63,9,8,17,,14,0.27,1,3,0,0,3,0,,--,,--,--
64,Leo Boivin,1954-55,"TOR, BOS",D,66,6,11,17,,113,0.26,2,3,0,0,0,0,,--,,--,--
65,Jim Morrison,1954-55,TOR,D,70,5,12,17,,84,0.24,0,3,1,1,1,0,,--,,--,--
