,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Howie Morenz,1927-28,MTL,C,43,33,18,51,,66,1.19,,,,,9,0,,--,,--,--
2,Aurel Joliat,1927-28,MTL,L,44,28,11,39,,103,0.89,,,,,10,1,,--,,--,--
3,Frank Boucher,1927-28,NYR,C,44,23,12,35,,12,0.80,,,,,5,0,,--,,--,--
4,George Hay,1927-28,DCG,L,42,22,13,35,,22,0.83,,,,,4,1,,--,,--,--
5,Nels Stewart,1927-28,MMR,C,41,27,7,34,,106,0.83,,,,,10,0,,--,,--,--
6,Art Gagne,1927-28,MTL,R,44,20,10,30,,73,0.68,,,,,3,0,,--,,--,--
7,Fred Cook,1927-28,NYR,L,44,14,14,28,,45,0.64,,,,,2,0,,--,,--,--
8,Bill Carson,1927-28,TOR,C,32,20,6,26,,34,0.81,,,,,4,0,,--,,--,--
9,Frank Finnigan,1927-28,SEN,R,38,20,6,26,,34,0.68,,,,,4,0,,--,,--,--
10,Bill Cook,1927-28,NYR,R,43,18,6,24,,42,0.56,,,,,4,0,,--,,--,--
11,Duke Keats,1927-28,"DCG, CHI",C,37,14,10,24,,58,0.65,,,,,2,0,,--,,--,--
12,Hec Kilrea,1927-28,SEN,L,43,19,4,23,,66,0.53,,,,,6,1,,--,,--,--
13,Hib Milks,1927-28,PIR,L,44,18,3,21,,34,0.48,,,,,4,0,,--,,--,--
14,Mickey MacKay,1927-28,CHI,C,36,17,4,21,,23,0.58,,,,,2,0,,--,,--,--
15,Johnny Sheppard,1927-28,DCG,L,44,10,10,20,,42,0.45,,,,,2,0,,--,,--,--
16,Jimmy Herberts,1927-28,"BOS, TOR",C,43,15,4,19,,64,0.44,,,,,4,0,,--,,--,--
17,Hooley Smith,1927-28,MMR,C,34,14,5,19,,74,0.56,,,,,5,2,,--,,--,--
18,Normie Himes,1927-28,NYA,C,44,14,5,19,,24,0.43,,,,,0,0,,--,,--,--
19,Harry Oliver,1927-28,BOS,R,43,13,5,18,,20,0.42,,,,,3,0,,--,,--,--
20,Carson Cooper,1927-28,DCG,R,43,15,2,17,,36,0.40,,,,,4,1,,--,,--,--
21,Lionel Conacher,1927-28,NYA,D,35,11,6,17,,82,0.49,,,,,3,0,,--,,--,--
22,Eddie Shore,1927-28,BOS,D,43,11,6,17,,165,0.40,,,,,4,0,,--,,--,--
23,Butch Keeling,1927-28,TOR,L,43,10,7,17,,52,0.40,,,,,1,0,,--,,--,--
24,Hap Day,1927-28,TOR,D,27,9,8,17,,50,0.63,,,,,4,0,,--,,--,--
25,Babe Siebert,1927-28,MMR,L,39,8,9,17,,119,0.44,,,,,1,0,,--,,--,--
26,Larry Aurie,1927-28,DCG,R,44,13,3,16,,43,0.36,,,,,2,0,,--,,--,--
27,Ivan Johnson,1927-28,NYR,D,42,10,6,16,,146,0.38,,,,,2,0,,--,,--,--
28,Harold Darragh,1927-28,PIR,L,44,13,2,15,,8,0.34,,,,,7,0,,--,,--,--
29,Danny Cox,1927-28,TOR,L,41,9,6,15,,27,0.37,,,,,2,0,,--,,--,--
30,King Clancy,1927-28,SEN,D,39,8,7,15,,73,0.38,,,,,1,0,,--,,--,--
31,Reg Noble,1927-28,DCG,C,44,6,9,15,,62,0.34,,,,,1,0,,--,,--,--
32,Sylvio Mantha,1927-28,MTL,D,43,4,11,15,,63,0.35,,,,,0,0,,--,,--,--
33,Frank Fredrickson,1927-28,BOS,C,41,10,4,14,,85,0.34,,,,,3,0,,--,,--,--
