,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Evgeni Malkin,2011-12,PIT,C,75,50,59,109,18,70,1.45,12,34,0,0,9,1,339,14.7,21:01,21.9,47.5
2,Steven Stamkos,2011-12,TBL,C,82,60,37,97,7,66,1.18,12,25,0,0,12,5,303,19.8,22:01,24.6,45.5
3,Claude Giroux,2011-12,PHI,C,77,28,65,93,6,29,1.21,6,38,0,2,5,2,242,11.6,21:33,25.3,53.7
4,Jason Spezza,2011-12,OTT,C,80,34,50,84,11,36,1.05,10,24,0,0,2,0,232,14.6,19:55,26.1,53.5
5,Ilya Kovalchuk,2011-12,NJD,L,77,37,46,83,-9,33,1.08,10,29,3,5,5,0,310,11.9,24:26,25.0,35.1
6,Phil Kessel,2011-12,TOR,R,82,37,45,82,-10,20,1.00,10,23,0,0,6,0,295,12.5,20:03,22.9,32.1
7,James Neal,2011-12,PIT,L,80,40,41,81,6,87,1.01,18,30,0,0,4,0,329,12.2,19:08,21.0,26.7
8,John Tavares,2011-12,NYI,C,82,31,50,81,-6,26,0.99,7,25,0,0,8,1,286,10.8,20:34,21.7,51.3
9,Henrik Sedin,2011-12,VAN,C,82,14,67,81,23,52,0.99,8,27,0,0,6,0,113,12.4,19:05,24.8,50.1
10,Patrik Elias,2011-12,NJD,C,81,26,52,78,-8,16,0.96,8,29,2,4,3,0,164,15.8,19:51,25.6,44.1
11,Erik Karlsson,2011-12,OTT,D,81,19,59,78,16,42,0.96,3,28,0,0,5,0,261,7.3,25:19,27.2,0.0
12,Marian Hossa,2011-12,CHI,R,81,29,48,77,18,20,0.95,9,20,2,3,4,0,248,11.7,19:58,26.1,33.3
13,Ray Whitney,2011-12,PHX,L,82,24,53,77,26,28,0.94,8,20,0,0,1,0,185,13.0,18:39,20.9,26.7
14,Joe Thornton,2011-12,SJS,C,82,18,59,77,17,31,0.94,4,23,0,1,2,0,156,11.5,20:28,27.0,56.1
15,Marian Gaborik,2011-12,NYR,R,82,41,35,76,15,34,0.93,10,21,0,0,7,3,276,14.8,19:31,22.5,0.0
16,Jordan Eberle,2011-12,EDM,R,78,34,42,76,4,10,0.97,10,20,0,0,4,0,180,18.9,17:36,21.7,44.4
17,Anze Kopitar,2011-12,LAK,C,82,25,51,76,12,20,0.93,8,26,2,4,2,0,230,10.9,21:20,25.1,53.8
18,Martin St. Louis,2011-12,TBL,R,77,25,49,74,-3,16,0.96,4,16,0,0,3,1,185,13.5,22:38,24.0,43.9
