,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Bryan Hextall Sr.,1941-42,NYR,R,48,24,32,56,,30,1.17,4,8,1,3,3,2,,--,,--,--
2,Lynn Patrick,1941-42,NYR,C,47,32,23,55,,18,1.17,4,6,0,1,6,1,,--,,--,--
3,Don Grosso,1941-42,DET,L,48,23,30,53,,13,1.10,3,7,1,1,1,0,,--,,--,--
4,Phil Watson,1941-42,NYR,R,48,15,37,52,,58,1.08,2,5,1,3,1,0,,--,,--,--
5,Sid Abel,1941-42,DET,C,48,18,31,49,,45,1.02,1,3,0,0,3,2,,--,,--,--
6,Toe Blake,1941-42,MTL,L,48,17,28,45,,39,0.94,3,9,1,1,1,0,,--,,--,--
7,Bill Thoms,1941-42,CHI,C,48,15,30,45,,8,0.94,2,5,0,1,1,0,,--,,--,--
8,Gordie Drillon,1941-42,TOR,R,48,23,18,41,,6,0.85,5,7,0,0,1,0,,--,,--,--
9,Syl Apps,1941-42,TOR,C,38,18,23,41,,0,1.08,4,7,0,0,1,0,,--,,--,--
10,Tom Anderson,1941-42,BRK,L,48,12,29,41,,64,0.85,1,9,0,1,0,0,,--,,--,--
11,Billy Taylor Sr.,1941-42,TOR,C,48,12,26,38,,20,0.79,1,4,1,1,5,0,,--,,--,--
12,Eddie Wares,1941-42,DET,R,43,9,29,38,,31,0.88,1,5,0,0,1,0,,--,,--,--
13,Roy Conacher,1941-42,BOS,L,43,24,13,37,,12,0.86,4,6,0,0,6,2,,--,,--,--
14,Mel Hill,1941-42,BRK,R,47,14,23,37,,10,0.79,5,10,0,1,1,0,,--,,--,--
15,Red Hamill,1941-42,"BOS, CHI",L,43,24,12,36,,33,0.84,5,7,0,0,4,3,,--,,--,--
16,Joe Benoit,1941-42,MTL,R,46,20,16,36,,27,0.78,7,9,0,0,3,1,,--,,--,--
17,Sweeney Schriner,1941-42,TOR,L,47,20,16,36,,21,0.77,3,3,2,3,0,0,,--,,--,--
18,Syd Howe,1941-42,DET,C,48,16,19,35,,6,0.73,2,7,0,0,4,0,,--,,--,--
19,Milt Schmidt,1941-42,BOS,C,36,14,21,35,,34,0.97,0,2,1,1,2,1,,--,,--,--
20,Bobby Bauer,1941-42,BOS,R,36,13,22,35,,11,0.97,3,5,0,1,3,1,,--,,--,--
21,Clint Smith,1941-42,NYR,C,47,10,25,35,,4,0.74,0,4,0,0,3,0,,--,,--,--
22,Alex Shibicky,1941-42,NYR,R,45,20,14,34,,16,0.76,4,5,0,1,3,1,,--,,--,--
23,Terry Reardon,1941-42,MTL,C,33,17,17,34,,24,1.03,5,8,0,0,2,0,,--,,--,--
