,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Babe Dye,1922-23,TSP,R,22,27,12,39,,21,1.77,,,,,5,2,,--,,--,--
2,Cy Denneny,1922-23,SEN,L,24,21,12,33,,28,1.38,,,,,4,0,,--,,--,--
3,Jack Adams,1922-23,TSP,C,23,18,12,30,,66,1.30,,,,,1,0,,--,,--,--
4,Billy Boucher,1922-23,MTL,R,24,23,6,29,,55,1.21,,,,,5,0,,--,,--,--
5,Odie Cleghorn,1922-23,MTL,R,24,19,8,27,,14,1.13,,,,,0,0,,--,,--,--
6,Mickey Roach,1922-23,HAM,C,24,17,9,26,,8,1.08,,,,,0,0,,--,,--,--
7,George Boucher,1922-23,SEN,D,24,15,10,25,,60,1.04,,,,,4,0,,--,,--,--
8,Reg Noble,1922-23,TSP,C,24,12,12,24,,46,1.00,,,,,1,1,,--,,--,--
9,Aurel Joliat,1922-23,MTL,L,24,13,10,23,,31,0.96,,,,,4,0,,--,,--,--
10,Cully Wilson,1922-23,HAM,R,23,16,5,21,,46,0.91,,,,,1,0,,--,,--,--
11,Goldie Prodgers,1922-23,HAM,C,23,13,7,20,,15,0.87,,,,,1,1,,--,,--,--
12,Edmond Bouchard,1922-23,"MTL, HAM",L,24,5,15,20,,44,0.83,,,,,2,0,,--,,--,--
13,Jack Darragh,1922-23,SEN,R,24,7,12,19,,10,0.79,,,,,1,0,,--,,--,--
14,Frank Nighbor,1922-23,SEN,C,22,11,7,18,,14,0.82,,,,,1,0,,--,,--,--
15,Sprague Cleghorn,1922-23,MTL,D,24,9,8,17,,34,0.71,,,,,1,0,,--,,--,--
16,Eddie Gerard,1922-23,SEN,L,23,6,11,17,,30,0.74,,,,,0,0,,--,,--,--
17,Harry Cameron,1922-23,TSP,D,23,9,7,16,,25,0.70,,,,,3,0,,--,,--,--
18,Leo Reise Sr.,1922-23,HAM,D,24,6,10,16,,35,0.67,,,,,0,0,,--,,--,--
19,Bert Corbeau,1922-23,HAM,D,21,10,5,15,,42,0.71,,,,,0,0,,--,,--,--
20,Punch Broadbent,1922-23,SEN,R,24,14,0,14,,32,0.58,,,,,3,1,,--,,--,--
21,Billy Stuart,1922-23,TSP,D,23,7,3,10,,16,0.43,,,,,0,0,,--,,--,--
22,Ken Randall,1922-23,TSP,R,24,3,7,10,,58,0.42,,,,,0,0,,--,,--,--
23,Billy Burch,1922-23,HAM,C,10,6,3,9,,2,0.90,,,,,0,0,,--,,--,--
24,Billy Coutu,1922-23,MTL,D,24,5,4,9,,37,0.38,,,,,1,0,,--,,--,--
25,Lloyd Andrews,1922-23,TSP,L,24,5,4,9,,10,0.38,,,,,3,0,,--,,--,--
26,Amos Arbour,1922-23,HAM,L,23,6,1,7,,10,0.30,,,,,2,1,,--,,--,--
27,King Clancy,1922-23,SEN,D,24,3,2,5,,20,0.21,,,,,1,0,,--,,--,--
28,Louis Berlinquette,1922-23,MTL,L,24,2,3,5,,4,0.21,,,,,1,0,,--,,--,--
29,Didier Pitre,1922-23,MTL,R,22,1,2,3,,0,0.14,,,,,0,0,,--,,--,--
30,George Carey,1922-23,HAM,R,5,1,1,2,,0,0.40,,,,,0,0,,--,,--,--
31,Corb Denneny,1922-23,TSP,C,1,1,0,1,,0,1.00,,,,,0,0,,--,,--,--
32,Joe Malone,1922-23,MTL,C,20,1,0,1,,2,0.05,,,,,1,0,,--,,--,--
33,Leth Graham,1922-23,HAM,L,5,1,0,1,,0,0.20,,,,,0,0,,--,,--,--
34,Lionel Hitchman,1922-23,SEN,D,3,0,1,1,,12,0.33,,,,,0,0,,--,,--,--
35,Harry Helman,1922-23,SEN,R,24,0,0,0,,5,--,,,,,0,0,,--,,--,--
36,Ganton Scott,1922-23,TSP,R,17,0,0,0,,0,--,,,,,0,0,,--,,--,--
37,Gerry Denoird,1922-23,TSP,C,1,0,0,0,,0,--,,,,,0,0,,--,,--,--
38,Harry Mummery,1922-23,HAM,D,7,0,0,0,,4,--,,,,,0,0,,--,,--,--
39,Billy Bell,1922-23,MTL,C,19,0,0,0,,0,--,,,,,0,0,,--,,--,--
40,Rod Smylie,1922-23,TSP,L,2,0,0,0,,0,--,,,,,0,0,,--,,--,--
