,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Henrik Sedin,2009-10,VAN,C,82,29,83,112,35,48,1.37,4,27,2,2,5,0,166,17.5,19:41,25.1,49.5
2,Sidney Crosby,2009-10,PIT,C,81,51,58,109,15,71,1.35,13,34,2,3,6,1,298,17.1,21:57,23.5,55.9
3,Alex Ovechkin,2009-10,WSH,L,72,50,59,109,45,89,1.51,13,36,0,0,7,0,368,13.6,21:48,19.7,45.5
4,Nicklas Backstrom,2009-10,WSH,C,82,33,68,101,37,50,1.23,11,37,0,0,4,1,222,14.9,20:27,21.5,49.9
5,Steven Stamkos,2009-10,TBL,C,82,51,44,95,-2,38,1.16,24,41,1,1,5,1,297,17.2,20:33,25.3,47.9
6,Martin St. Louis,2009-10,TBL,R,82,29,65,94,-8,12,1.15,7,37,1,1,7,2,242,12.0,21:49,26.1,45.2
7,Brad Richards,2009-10,DAL,C,80,24,67,91,-12,14,1.14,13,40,0,0,2,0,284,8.5,20:52,24.1,51.5
8,Joe Thornton,2009-10,SJS,C,79,20,69,89,17,54,1.13,4,29,1,3,2,0,141,14.2,19:51,25.7,53.9
9,Patrick Kane,2009-10,CHI,R,82,30,58,88,16,20,1.07,9,29,0,1,6,0,261,11.5,19:12,23.3,40.9
10,Marian Gaborik,2009-10,NYR,R,76,42,44,86,15,37,1.13,14,26,1,2,4,0,272,15.4,21:15,24.7,28.6
11,Ilya Kovalchuk,2009-10,"ATL, NJD",L,76,41,44,85,10,53,1.12,12,27,0,0,4,1,290,14.1,22:02,20.6,23.3
12,Daniel Sedin,2009-10,VAN,L,63,29,56,85,36,28,1.35,8,21,0,0,8,1,225,12.9,19:08,24.9,33.3
13,Alexander Semin,2009-10,WSH,R,73,40,44,84,36,66,1.15,8,27,2,2,5,0,278,14.4,19:07,20.5,37.5
14,Patrick Marleau,2009-10,SJS,C,82,44,39,83,21,22,1.01,12,25,4,4,6,0,274,16.1,21:13,27.1,51.4
15,Dany Heatley,2009-10,SJS,L,82,39,43,82,14,54,1.00,18,30,1,1,9,1,280,13.9,20:14,25.2,40.0
16,Zach Parise,2009-10,NJD,L,81,38,44,82,24,32,1.01,9,26,1,1,5,1,347,10.9,19:46,25.0,37.5
17,Anze Kopitar,2009-10,LAK,C,82,34,47,81,6,16,0.99,14,38,1,1,2,0,259,13.1,21:47,25.8,49.7
18,Paul Stastny,2009-10,COL,C,81,20,59,79,2,50,0.98,9,25,0,0,2,0,199,10.1,21:24,27.2,50.0
19,Evgeni Malkin,2009-10,PIT,C,67,28,49,77,-6,100,1.15,13,28,2,3,7,2,268,10.4,20:51,21.0,40.0
20,Corey Perry,2009-10,ANA,R,82,27,49,76,0,111,0.93,6,23,1,2,2,0,270,10.0,21:04,24.7,21.4
21,Mike Green,2009-10,WSH,D,75,19,57,76,39,54,1.01,10,35,0,1,4,1,205,9.3,25:29,24.5,0.0
22,Ryan Kesler,2009-10,VAN,C,82,25,50,75,1,104,0.91,12,26,1,3,5,0,214,11.7,19:38,25.3,55.1
23,Loui Eriksson,2009-10,DAL,L,82,29,42,71,-4,26,0.87,6,12,2,3,4,0,214,13.6,19:46,25.1,36.4
24,Mikko Koivu,2009-10,MIN,C,80,22,49,71,-2,50,0.89,8,28,1,1,2,0,246,8.9,20:45,26.2,56.9
25,Daniel Alfredsson,2009-10,OTT,R,70,20,51,71,8,22,1.01,4,31,1,4,5,0,168,11.9,19:40,22.1,35.0
26,Eric Staal,2009-10,CAR,C,70,29,41,70,4,68,1.00,13,23,0,0,5,0,277,10.5,20:43,25.1,41.8
27,Pavel Datsyuk,2009-10,DET,C,80,27,43,70,17,18,0.88,9,25,0,0,3,0,203,13.3,20:21,25.7,55.1
28,Tomas Plekanec,2009-10,MTL,C,82,25,45,70,5,50,0.85,3,24,1,1,4,2,216,11.6,19:58,27.1,49.0
29,Vincent Lecavalier,2009-10,TBL,C,82,24,46,70,-16,63,0.85,5,25,0,0,3,0,295,8.1,19:47,24.7,53.2
30,Henrik Zetterberg,2009-10,DET,C,74,23,47,70,12,26,0.95,3,22,0,1,6,1,309,7.4,20:04,25.2,49.5
31,Jarome Iginla,2009-10,CGY,R,82,32,37,69,-2,58,0.84,10,21,0,0,5,1,257,12.4,20:36,23.7,47.0
32,Derek Roy,2009-10,BUF,C,80,26,43,69,9,48,0.86,10,25,1,1,6,3,215,12.1,19:23,23.8,50.4
