,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Patrick Kane,2015-16,CHI,R,82,46,60,106,17,30,1.29,17,37,0,0,9,1,287,16.0,20:25,24.0,21.6
2,Jamie Benn,2015-16,DAL,L,82,41,48,89,7,64,1.09,17,30,2,5,5,1,247,16.6,20:01,26.7,47.3
3,Sidney Crosby,2015-16,PIT,C,80,36,49,85,19,42,1.06,10,24,0,0,9,2,248,14.5,20:28,26.4,51.7
4,Joe Thornton,2015-16,SJS,C,82,19,63,82,25,54,1.00,8,29,0,0,6,0,121,15.7,18:22,23.9,53.0
5,Erik Karlsson,2015-16,OTT,D,82,16,66,82,-2,50,1.00,1,26,0,0,3,2,248,6.5,28:58,27.1,0.0
6,Joe Pavelski,2015-16,SJS,C,82,38,40,78,25,30,0.95,12,28,0,0,11,1,224,17.0,19:49,25.2,55.0
7,Johnny Gaudreau,2015-16,CGY,L,79,30,48,78,4,20,0.99,6,21,0,0,6,3,217,13.8,19:56,24.9,40.0
8,Blake Wheeler,2015-16,WPG,R,82,26,52,78,8,49,0.95,3,17,2,4,5,2,256,10.2,19:47,25.6,35.7
9,Artemi Panarin,2015-16,CHI,L,80,30,47,77,8,32,0.96,8,24,0,0,7,1,187,16.0,18:31,22.8,0.0
10,Evgeny Kuznetsov,2015-16,WSH,C,82,20,57,77,27,32,0.94,5,18,0,0,4,2,193,10.4,17:25,20.7,47.8
11,Brent Burns,2015-16,SJS,D,82,27,48,75,-5,53,0.91,7,30,1,2,4,1,353,7.6,25:52,27.5,100.0
12,Vladimir Tarasenko,2015-16,STL,R,80,40,34,74,7,37,0.93,12,24,0,0,7,2,292,13.7,18:38,26.6,0.0
13,Anze Kopitar,2015-16,LAK,C,81,25,49,74,34,16,0.91,5,18,1,3,8,4,177,14.1,20:52,25.1,53.5
14,Tyler Seguin,2015-16,DAL,C,72,33,40,73,2,16,1.01,7,24,0,0,6,1,278,11.9,19:27,24.2,55.5
15,Alex Ovechkin,2015-16,WSH,L,79,50,21,71,21,53,0.90,19,24,0,0,8,2,398,12.6,20:19,21.7,0.0
16,John Tavares,2015-16,NYI,C,78,33,37,70,6,38,0.90,7,19,0,0,5,0,250,13.2,20:00,22.4,54.1
17,Nicklas Backstrom,2015-16,WSH,C,75,20,50,70,17,36,0.93,3,30,0,0,4,0,129,15.5,19:11,23.2,48.6
18,Patrice Bergeron,2015-16,BOS,C,80,32,36,68,12,49,0.85,12,25,1,3,6,0,282,11.3,19:50,26.0,57.1
19,Claude Giroux,2015-16,PHI,C,78,22,45,67,-8,53,0.86,6,27,1,2,5,2,241,9.1,20:33,27.2,57.5
20,Kris Letang,2015-16,PIT,D,71,16,51,67,9,66,0.94,5,27,0,3,2,1,218,7.3,26:57,31.0,0.0
21,Nikita Kucherov,2015-16,TBL,R,77,30,36,66,9,30,0.86,9,25,0,0,4,1,209,14.3,18:13,20.9,0.0
22,Jaromir Jagr,2015-16,FLA,R,79,27,39,66,23,48,0.84,5,11,0,0,4,0,143,18.9,17:05,20.5,0.0
23,Taylor Hall,2015-16,EDM,L,82,26,39,65,-4,54,0.79,4,12,0,0,6,1,286,9.1,19:12,23.9,35.9
24,Steven Stamkos,2015-16,TBL,C,77,36,28,64,3,38,0.83,14,23,1,3,8,0,216,16.7,19:45,22.5,49.9
25,Filip Forsberg,2015-16,NSH,L,82,33,31,64,1,47,0.78,8,23,1,1,3,0,247,13.4,19:03,25.0,22.2
26,Max Pacioretty,2015-16,MTL,L,82,30,34,64,-10,34,0.78,8,17,1,1,6,0,303,9.9,18:32,25.7,46.2
27,Kyle Okposo,2015-16,NYI,R,79,22,42,64,-4,51,0.81,7,23,0,0,4,2,202,10.9,18:12,21.6,36.5
28,Jason Spezza,2015-16,DAL,C,75,33,30,63,4,22,0.84,9,24,0,0,7,0,202,16.3,16:31,21.8,54.8
29,Loui Eriksson,2015-16,BOS,L,82,30,33,63,13,12,0.77,10,17,2,3,5,1,184,16.3,19:29,23.6,57.1
30,Sean Monahan,2015-16,CGY,C,81,27,36,63,-6,18,0.78,7,20,0,0,5,1,197,13.7,19:10,26.3,51.0
31,David Krejci,2015-16,BOS,C,72,17,46,63,4,32,0.88,4,18,0,3,3,0,143,11.9,20:18,24.1,50.1
32,Ryan Getzlaf,2015-16,ANA,C,77,13,50,63,14,55,0.82,6,22,0,1,5,1,178,7.3,19:30,24.5,49.4
33,Corey Perry,2015-16,ANA,R,82,34,28,62,2,68,0.76,12,24,0,0,6,0,215,15.8,17:42,22.1,20.0
34,Jeff Carter,2015-16,LAK,C,77,24,38,62,18,20,0.81,4,12,1,2,6,3,242,9.9,18:23,23.2,48.7
35,Brad Marchand,2015-16,BOS,L,77,37,24,61,21,90,0.79,6,8,4,6,6,2,250,14.8,18:36,25.1,37.5
36,Mark Scheifele,2015-16,WPG,C,71,29,32,61,16,48,0.86,7,11,0,0,3,1,194,14.9,18:33,23.1,44.2
37,Daniel Sedin,2015-16,VAN,L,82,28,33,61,7,36,0.74,8,19,0,1,6,1,258,10.8,18:20,23.5,26.3
38,Mats Zuccarello,2015-16,NYR,R,81,26,35,61,2,34,0.75,7,18,0,0,4,1,166,15.7,18:29,23.5,45.5
39,Mark Stone,2015-16,OTT,R,75,23,38,61,-4,38,0.81,5,15,1,3,1,1,151,15.2,20:07,23.9,42.1
40,Roman Josi,2015-16,NSH,D,81,14,47,61,-3,43,0.75,6,24,1,2,3,1,198,7.1,25:29,29.9,0.0
41,Wayne Simmonds,2015-16,PHI,R,81,32,28,60,-7,147,0.74,13,21,0,0,5,0,229,14.0,17:14,22.6,71.4
42,Ryan O'Reilly,2015-16,BUF,C,71,21,39,60,-16,8,0.84,8,22,1,1,2,1,157,13.4,21:44,25.8,56.5
43,Jussi Jokinen,2015-16,FLA,L,81,18,42,60,25,42,0.74,5,12,1,2,1,0,153,11.8,18:17,23.7,51.5
44,Ryan Johansen,2015-16,"CBJ, NSH",C,80,14,46,60,6,61,0.75,4,22,0,0,2,0,185,7.6,17:34,21.8,52.3
45,Matt Duchene,2015-16,COL,C,76,30,29,59,-8,24,0.78,8,15,0,0,6,0,200,15.0,18:35,23.0,57.9
46,Mike Hoffman,2015-16,OTT,L,78,29,30,59,1,18,0.76,9,13,0,0,3,1,242,12.0,17:33,21.5,44.4
47,Aleksander Barkov,2015-16,FLA,C,66,28,31,59,18,8,0.89,9,16,1,2,8,0,171,16.4,19:26,23.0,49.2
48,Brayden Schenn,2015-16,PHI,C,80,26,33,59,3,33,0.74,11,22,0,0,5,0,178,14.6,16:54,21.5,44.8
49,Phil Kessel,2015-16,PIT,R,82,26,33,59,9,18,0.72,4,17,0,0,5,1,274,9.5,18:23,23.0,40.0
50,Jonathan Huberdeau,2015-16,FLA,L,76,20,39,59,17,43,0.78,4,13,1,1,2,0,174,11.5,18:09,21.6,38.9
51,James Neal,2015-16,NSH,L,82,31,27,58,27,65,0.71,4,14,0,0,3,0,268,11.6,19:04,23.5,29.6
52,Tyler Toffoli,2015-16,LAK,R,82,31,27,58,35,20,0.71,9,11,1,1,4,0,213,14.5,17:19,22.7,0.0
53,Jonathan Toews,2015-16,CHI,C,80,28,30,58,16,62,0.72,6,9,4,7,8,5,179,15.6,19:15,25.4,58.6
54,Derick Brassard,2015-16,NYR,C,80,27,31,58,12,30,0.72,8,22,0,0,5,0,182,14.8,17:53,23.4,50.2
55,Evgeni Malkin,2015-16,PIT,C,57,27,31,58,1,65,1.02,11,27,0,0,6,2,162,16.7,19:22,23.7,42.0
56,John Klingberg,2015-16,DAL,D,76,10,48,58,22,30,0.76,2,22,0,0,4,3,171,5.8,22:41,27.1,0.0
57,Kyle Palmieri,2015-16,NJD,R,82,30,27,57,3,39,0.70,11,23,0,0,4,2,222,13.5,17:48,22.3,37.0
58,Alex Galchenyuk,2015-16,MTL,C,82,30,26,56,-8,20,0.68,9,16,0,0,4,1,201,14.9,16:16,22.3,47.9
59,Jack Eichel,2015-16,BUF,C,81,24,32,56,-16,22,0.69,8,21,0,0,5,1,238,10.1,19:07,22.2,41.0
60,Bobby Ryan,2015-16,OTT,R,81,22,34,56,-9,28,0.69,6,16,0,0,2,1,183,12.0,17:10,21.7,27.3
61,Mark Giordano,2015-16,CGY,D,82,21,35,56,-5,54,0.68,9,19,1,3,2,1,212,9.9,24:48,30.5,0.0
62,Mikko Koivu,2015-16,MIN,C,82,17,39,56,6,40,0.68,10,20,1,2,2,0,141,12.0,19:56,24.0,56.1
63,Oliver Ekman-Larsson,2015-16,ARI,D,75,21,34,55,-6,96,0.73,12,27,0,0,8,2,228,9.2,24:46,28.4,0.0
64,Milan Lucic,2015-16,LAK,L,81,20,35,55,26,79,0.68,2,8,0,0,5,0,124,16.1,17:14,21.2,35.0
65,Patrick Sharp,2015-16,DAL,L,76,20,35,55,-3,27,0.72,7,24,0,0,6,0,226,8.8,17:37,22.9,48.5
66,Henrik Sedin,2015-16,VAN,C,74,11,44,55,0,24,0.74,5,20,1,1,0,0,99,11.1,18:23,23.3,46.0
67,Jakub Voracek,2015-16,PHI,R,73,11,44,55,-5,38,0.75,1,23,0,0,2,2,213,5.2,18:35,24.4,50.0
68,Tomas Plekanec,2015-16,MTL,C,82,14,40,54,4,36,0.66,1,13,0,0,1,0,189,7.4,18:32,26.8,49.8
69,Brandon Saad,2015-16,CBJ,L,78,31,22,53,1,14,0.68,6,8,0,1,7,0,233,13.3,17:13,22.6,55.9
70,Cam Atkinson,2015-16,CBJ,R,81,27,26,53,-8,22,0.65,4,10,2,2,3,1,226,11.9,17:48,23.6,50.0
71,Vincent Trocheck,2015-16,FLA,C,76,25,28,53,15,44,0.70,4,13,1,1,4,0,174,14.4,17:46,21.3,49.5
72,Zach Parise,2015-16,MIN,L,70,25,28,53,-3,36,0.76,7,18,0,0,7,0,234,10.7,19:18,23.3,0.0
73,Derek Stepan,2015-16,NYR,C,72,22,31,53,5,20,0.74,5,14,3,3,5,0,192,11.5,17:45,24.4,46.7
74,Ryan Kesler,2015-16,ANA,C,79,21,32,53,5,78,0.67,5,15,1,1,4,0,164,12.8,19:32,27.0,58.5
75,Gabriel Landeskog,2015-16,COL,L,75,20,33,53,-5,69,0.71,4,14,1,3,2,1,169,11.8,18:56,23.8,55.4
76,Dustin Byfuglien,2015-16,WPG,D,81,19,34,53,4,119,0.65,3,17,1,2,6,0,247,7.7,25:12,27.5,0.0
77,Justin Williams,2015-16,WSH,R,82,22,30,52,15,36,0.63,3,9,0,1,3,1,201,10.9,16:39,20.7,52.3
78,Nathan MacKinnon,2015-16,COL,C,72,21,31,52,-4,20,0.72,7,16,0,1,6,0,245,8.6,18:52,23.6,48.4
79,Frans Nielsen,2015-16,NYI,C,81,20,32,52,1,12,0.64,7,20,2,2,2,0,181,11.0,17:43,24.1,50.1
80,Max Domi,2015-16,ARI,C,81,18,34,52,3,72,0.64,3,15,0,1,0,0,156,11.5,16:22,21.6,36.4
81,Alexander Steen,2015-16,STL,L,67,17,35,52,3,48,0.78,2,21,1,1,2,1,172,9.9,20:22,29.1,44.5
82,Jeff Skinner,2015-16,CAR,L,82,28,23,51,-2,38,0.62,4,7,0,0,7,1,258,10.8,16:17,20.9,42.5
83,T.J. Oshie,2015-16,WSH,R,80,26,25,51,16,34,0.64,11,17,0,0,5,0,185,14.1,18:58,23.2,52.7
84,Patric Hornqvist,2015-16,PIT,R,82,22,29,51,15,36,0.62,9,15,0,0,3,0,257,8.6,16:51,22.8,62.5
85,Mika Zibanejad,2015-16,OTT,C,81,21,30,51,-2,18,0.63,2,11,2,2,7,0,184,11.4,17:46,23.6,50.4
86,Shea Weber,2015-16,NSH,D,78,20,31,51,-7,27,0.65,14,26,0,1,1,0,189,10.6,25:23,29.9,0.0
87,Leon Draisaitl,2015-16,EDM,C,72,19,32,51,-2,20,0.71,5,9,0,0,2,0,133,14.3,18:04,23.0,48.4
88,Lee Stempniak,2015-16,"NJD, BOS",R,82,19,32,51,4,38,0.62,3,12,1,1,4,2,146,13.0,17:57,23.5,15.4
89,Mikkel Boedker,2015-16,"ARI, COL",L,80,17,34,51,-33,12,0.64,3,19,0,0,5,3,166,10.2,18:32,22.4,33.3
90,Drew Doughty,2015-16,LAK,D,82,14,37,51,24,52,0.62,9,24,1,2,3,0,197,7.1,28:01,33.3,0.0
91,Carl Soderberg,2015-16,COL,C,82,12,39,51,-7,32,0.62,3,14,1,2,0,0,163,7.4,18:01,22.8,47.1
92,Ryan Suter,2015-16,MIN,D,82,8,43,51,10,30,0.62,3,21,1,2,2,0,188,4.3,28:36,31.6,0.0
93,P.K. Subban,2015-16,MTL,D,68,6,45,51,4,75,0.75,2,24,0,0,0,0,176,3.4,26:22,28.3,0.0
94,Adam Henrique,2015-16,NJD,C,80,30,20,50,10,23,0.63,7,12,2,3,8,2,149,20.1,19:50,25.4,44.7
95,Reilly Smith,2015-16,FLA,R,82,25,25,50,19,31,0.61,5,11,0,1,3,0,173,14.4,18:37,23.9,0.0
