,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Guy Lafleur,1975-76,MTL,R,80,56,69,125,67,36,1.56,18,38,0,0,12,0,303,18.5,,--,--
2,Bobby Clarke,1975-76,PHI,C,76,30,89,119,83,136,1.57,10,38,4,6,2,0,194,15.5,,--,--
3,Gilbert Perreault,1975-76,BUF,C,80,44,69,113,17,36,1.41,14,43,0,0,4,0,237,18.6,,--,--
4,Bill Barber,1975-76,PHI,L,80,50,62,112,74,104,1.40,15,38,4,7,10,0,380,13.2,,--,--
5,Pierre Larouche,1975-76,PIT,C,76,53,58,111,3,33,1.46,18,32,0,0,3,0,319,16.6,,--,--
6,Jean Ratelle,1975-76,"NYR, BOS",C,80,36,69,105,20,18,1.31,17,42,1,2,4,0,214,16.8,,--,--
7,Peter Mahovlich,1975-76,MTL,C,80,34,71,105,72,76,1.31,8,26,1,1,7,0,200,17.0,,--,--
8,Jean Pronovost,1975-76,PIT,R,80,52,52,104,16,24,1.30,13,37,2,2,3,0,299,17.4,,--,--
9,Darryl Sittler,1975-76,TOR,C,79,41,59,100,12,90,1.27,11,23,1,3,2,0,346,11.8,,--,--
10,Syl Apps Jr.,1975-76,PIT,C,80,32,67,99,17,24,1.24,7,27,1,3,4,0,210,15.2,,--,--
11,Denis Potvin,1975-76,NYI,D,78,31,67,98,12,100,1.26,18,54,0,2,4,0,256,12.1,,--,--
12,Bryan Trottier,1975-76,NYI,C,80,32,63,95,27,21,1.19,11,41,1,1,5,0,178,18.0,,--,--
13,Marcel Dionne,1975-76,LAK,C,80,40,54,94,4,38,1.18,7,22,1,2,6,0,329,12.2,,--,--
14,Lanny McDonald,1975-76,TOR,R,75,37,56,93,24,70,1.24,6,26,5,5,4,0,270,13.7,,--,--
15,Reggie Leach,1975-76,PHI,R,80,61,30,91,72,41,1.14,10,23,0,0,11,0,335,18.2,,--,--
16,Rene Robert,1975-76,BUF,R,72,35,52,87,16,53,1.21,11,34,0,0,4,0,273,12.8,,--,--
17,Richard Martin,1975-76,BUF,L,80,49,37,86,23,67,1.07,18,29,0,0,7,0,327,15.0,,--,--
18,Rod Gilbert,1975-76,NYR,R,70,36,50,86,-8,32,1.23,9,29,0,0,4,0,211,17.1,,--,--
19,Chuck Lefley,1975-76,STL,R,75,43,42,85,15,41,1.13,4,22,8,13,9,0,207,20.8,,--,--
20,Garry Unger,1975-76,STL,C,80,39,44,83,2,95,1.04,13,30,0,3,3,0,357,10.9,,--,--
21,Johnny Bucyk,1975-76,BOS,L,77,36,47,83,22,20,1.08,13,33,0,0,9,0,151,23.8,,--,--
22,Phil Esposito,1975-76,"BOS, NYR",C,74,35,48,83,-39,36,1.12,19,40,1,1,2,0,274,12.8,,--,--
23,Steve Vickers,1975-76,NYR,L,80,30,53,83,-16,40,1.04,10,29,0,0,4,0,202,14.8,,--,--
24,Tom Lysiak,1975-76,AFM,C,80,31,51,82,3,60,1.02,9,30,1,1,5,0,233,13.3,,--,--
25,Walt McKechnie,1975-76,DET,C,80,26,56,82,8,85,1.02,2,21,3,7,7,0,186,14.0,,--,--
26,Errol Thompson,1975-76,TOR,L,75,43,37,80,28,26,1.07,13,20,1,2,7,0,210,20.5,,--,--
27,Steve Shutt,1975-76,MTL,L,80,45,34,79,73,47,0.99,7,12,0,0,7,0,223,20.2,,--,--
28,Rick Kehoe,1975-76,PIT,R,71,29,47,76,9,6,1.07,5,13,0,0,2,0,180,16.1,,--,--
29,Orest Kindrachuk,1975-76,PHI,C,76,26,49,75,33,101,0.99,5,19,2,3,2,0,181,14.4,,--,--
30,Gregg Sheppard,1975-76,BOS,C,70,31,43,74,24,28,1.06,5,22,2,3,4,0,222,14.0,,--,--
31,Danny Gare,1975-76,BUF,R,79,50,23,73,32,129,0.92,8,12,1,1,9,0,303,16.5,,--,--
32,Butch Goring,1975-76,LAK,C,80,33,40,73,0,8,0.91,5,24,5,5,2,0,193,17.1,,--,--
33,Lowell MacDonald,1975-76,PIT,L,69,30,43,73,15,12,1.06,12,29,0,0,3,0,181,16.6,,--,--
34,Jean Potvin,1975-76,NYI,D,78,17,55,72,16,74,0.92,9,46,1,1,2,0,167,10.2,,--,--
35,Dennis Ververgaert,1975-76,VAN,R,80,37,34,71,-1,53,0.89,11,16,0,0,4,0,207,17.9,,--,--
36,Pit Martin,1975-76,CHI,C,80,32,39,71,6,44,0.89,8,23,2,6,4,0,188,17.0,,--,--
37,Wayne Cashman,1975-76,BOS,L,80,28,43,71,30,87,0.89,9,16,0,0,6,0,169,16.6,,--,--
38,Guy Charron,1975-76,KCS,C,78,27,44,71,-51,12,0.91,9,20,0,0,4,0,226,11.9,,--,--
39,Craig Ramsay,1975-76,BUF,L,80,22,49,71,44,34,0.89,1,6,1,2,0,0,134,16.4,,--,--
40,Ron Stackhouse,1975-76,PIT,D,80,11,60,71,19,76,0.89,1,23,0,1,2,0,228,4.8,,--,--
41,Billy Harris,1975-76,NYI,R,80,32,38,70,22,54,0.88,16,34,0,2,4,0,228,14.0,,--,--
42,Don Luce,1975-76,BUF,C,77,21,49,70,37,42,0.91,2,7,2,3,2,0,214,9.8,,--,--
43,Yvan Cournoyer,1975-76,MTL,R,71,32,36,68,38,20,0.96,8,25,0,0,12,0,163,19.6,,--,--
44,Mike Murphy,1975-76,LAK,R,80,26,42,68,0,61,0.85,7,19,1,2,5,0,205,12.7,,--,--
45,Guy Lapointe,1975-76,MTL,D,77,21,47,68,64,78,0.88,8,29,1,1,1,0,317,6.6,,--,--
46,Yvon Lambert,1975-76,MTL,L,80,32,35,67,10,28,0.84,12,21,0,0,4,0,156,20.5,,--,--
47,Wayne Merrick,1975-76,"STL, CGS",C,75,32,35,67,-3,36,0.89,8,20,0,0,4,0,246,13.0,,--,--
48,Derek Sanderson,1975-76,"NYR, STL",C,73,24,43,67,5,63,0.92,6,18,6,9,1,0,200,12.0,,--,--
49,Dennis Hull,1975-76,CHI,L,80,27,39,66,-17,28,0.82,1,10,4,6,4,0,225,12.0,,--,--
50,Dan Maloney,1975-76,DET,L,77,27,39,66,-1,203,0.86,6,15,2,3,3,0,254,10.6,,--,--
51,Curt Bennett,1975-76,AFM,R,80,34,31,65,1,61,0.81,8,18,0,1,8,0,221,15.4,,--,--
52,Vic Hadfield,1975-76,PIT,L,76,30,35,65,0,46,0.86,3,17,0,0,2,0,203,14.8,,--,--
53,Don Lever,1975-76,VAN,C,80,25,40,65,-3,93,0.81,8,17,0,1,1,0,166,15.1,,--,--
54,Al MacAdam,1975-76,CGS,R,80,32,31,63,-10,49,0.79,8,17,4,7,5,0,177,18.1,,--,--
55,Gary Dornhoefer,1975-76,PHI,R,74,28,35,63,13,128,0.85,13,25,0,1,3,0,152,18.4,,--,--
56,Dennis Maruk,1975-76,CGS,C,80,30,32,62,-6,44,0.78,7,16,5,7,3,0,233,12.9,,--,--
57,Ivan Boldirev,1975-76,CHI,C,78,28,34,62,-24,33,0.79,5,16,0,0,4,0,178,15.7,,--,--
58,Bobby Schmautz,1975-76,BOS,R,75,28,34,62,13,116,0.83,7,22,0,0,7,0,243,11.5,,--,--
59,Jude Drouin,1975-76,NYI,C,76,21,41,62,18,58,0.82,10,23,0,0,2,0,153,13.7,,--,--
60,Ron Schock,1975-76,PIT,C,80,18,44,62,3,28,0.78,2,5,1,2,3,0,161,11.2,,--,--
61,Chris Oddleifson,1975-76,VAN,C,80,16,46,62,15,88,0.78,3,17,2,3,1,0,133,12.0,,--,--
62,Dale Tallon,1975-76,CHI,D,80,15,47,62,-11,101,0.78,7,28,1,4,5,0,161,9.3,,--,--
63,Clark Gillies,1975-76,NYI,L,80,34,27,61,20,96,0.76,15,26,0,0,6,0,210,16.2,,--,--
64,Ken Hodge,1975-76,BOS,R,72,25,36,61,19,42,0.85,8,23,0,0,5,0,161,15.5,,--,--
65,Dennis Hextall,1975-76,"MNS, DET",C,76,16,44,60,-27,164,0.79,2,16,0,0,1,0,125,12.8,,--,--
66,Michel Bergeron,1975-76,DET,R,72,32,27,59,2,48,0.82,12,18,0,0,4,0,190,16.8,,--,--
67,John Gould,1975-76,VAN,R,70,32,27,59,6,16,0.84,6,14,1,2,5,0,225,14.2,,--,--
68,Brad Park,1975-76,"NYR, BOS",D,56,18,41,59,19,118,1.05,7,26,1,1,3,0,191,9.4,,--,--
69,Cliff Koroll,1975-76,CHI,R,80,25,33,58,6,29,0.72,11,20,1,1,2,0,185,13.5,,--,--
70,Gerry Meehan,1975-76,"AFM, WSH",C,80,23,35,58,-8,18,0.72,5,14,0,0,1,0,151,15.2,,--,--
71,J.P. Parise,1975-76,NYI,L,80,22,35,57,12,80,0.71,5,15,2,2,4,0,152,14.5,,--,--
72,Carol Vadnais,1975-76,"BOS, NYR",D,76,22,35,57,-15,121,0.75,8,26,0,0,1,0,230,9.6,,--,--
73,Borje Salming,1975-76,TOR,D,78,16,41,57,31,70,0.73,8,24,0,1,1,0,194,8.2,,--,--
74,Stan Mikita,1975-76,CHI,C,48,16,41,57,-4,37,1.19,6,26,0,1,1,0,159,10.1,,--,--
75,Ed Westfall,1975-76,NYI,R,80,25,31,56,18,27,0.70,6,15,2,6,3,0,154,16.2,,--,--
76,Rick Blight,1975-76,VAN,R,74,25,31,56,-4,29,0.76,10,18,0,0,3,0,212,11.8,,--,--
77,Peter McNab,1975-76,BUF,C,79,24,32,56,18,16,0.71,3,7,0,0,3,0,125,19.2,,--,--
78,Ian Turnbull,1975-76,TOR,D,76,20,36,56,24,90,0.74,7,22,1,2,3,0,262,7.6,,--,--
79,Bob Kelly,1975-76,PIT,R,77,25,30,55,2,149,0.71,5,6,0,0,4,0,193,13.0,,--,--
