,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Stan Mikita,1966-67,CHI,C,70,35,62,97,40,12,1.39,8,30,1,2,5,0,279,12.5,,--,--
2,Bobby Hull,1966-67,CHI,L,66,52,28,80,28,52,1.21,18,23,2,3,3,0,320,16.3,,--,--
3,Norm Ullman,1966-67,DET,C,68,26,44,70,-8,26,1.03,5,19,1,3,3,0,243,10.7,,--,--
4,Kenny Wharram,1966-67,CHI,R,70,31,34,65,35,21,0.93,8,21,0,0,2,0,169,18.3,,--,--
5,Gordie Howe,1966-67,DET,R,69,25,40,65,-3,53,0.94,8,22,1,2,1,0,293,8.5,,--,--
6,Bobby Rousseau,1966-67,MTL,R,68,19,44,63,-1,58,0.93,5,27,0,0,2,0,207,9.2,,--,--
7,Phil Esposito,1966-67,CHI,C,69,21,40,61,34,40,0.88,2,8,1,1,3,0,192,10.9,,--,--
8,Phil Goyette,1966-67,NYR,C,70,12,49,61,14,6,0.87,1,14,0,0,1,0,163,7.4,,--,--
9,Doug Mohns,1966-67,CHI,L,62,25,35,60,33,58,0.97,4,15,2,2,5,0,151,16.6,,--,--
10,Henri Richard,1966-67,MTL,C,65,21,34,55,2,28,0.85,2,9,0,0,1,0,247,8.5,,--,--
11,Alex Delvecchio,1966-67,DET,C,70,17,38,55,-18,10,0.79,4,21,1,1,2,0,225,7.5,,--,--
12,Dave Keon,1966-67,TOR,C,66,19,33,52,-7,2,0.79,5,19,1,1,2,0,212,9.0,,--,--
13,Pierre Pilote,1966-67,CHI,D,70,6,46,52,54,90,0.74,4,17,0,3,2,0,70,8.6,,--,--
14,Johnny Bucyk,1966-67,BOS,L,59,18,30,48,-5,12,0.81,4,10,1,1,1,0,150,12.0,,--,--
15,Ted Hampson,1966-67,DET,C,65,13,35,48,6,4,0.74,1,8,0,0,2,0,110,11.8,,--,--
16,Bruce MacGregor,1966-67,DET,C,70,28,19,47,-7,14,0.67,8,9,1,1,4,0,159,17.6,,--,--
17,Rod Gilbert,1966-67,NYR,R,64,28,18,46,-2,12,0.72,5,12,0,0,5,0,168,16.7,,--,--
18,Donnie Marshall,1966-67,NYR,L,70,24,22,46,13,4,0.66,8,11,0,0,4,0,175,13.7,,--,--
19,Frank Mahovlich,1966-67,TOR,L,63,18,28,46,0,42,0.73,4,11,0,0,3,0,173,10.4,,--,--
20,Dean Prentice,1966-67,DET,L,68,23,22,45,-12,18,0.66,5,9,1,1,1,0,166,13.9,,--,--
21,Ron Ellis,1966-67,TOR,R,67,22,23,45,2,14,0.67,4,8,2,4,7,0,147,15.0,,--,--
22,Bob Pulford,1966-67,TOR,L,67,17,28,45,10,28,0.67,1,8,1,2,1,0,195,8.7,,--,--
23,Bob Nevin,1966-67,NYR,R,67,20,24,44,14,6,0.66,2,10,0,0,4,0,199,10.1,,--,--
24,Dennis Hull,1966-67,CHI,L,70,25,17,42,7,33,0.60,1,4,0,1,5,0,172,14.5,,--,--
25,Pit Martin,1966-67,BOS,C,70,20,22,42,-16,40,0.60,4,11,0,0,1,0,157,12.7,,--,--
26,John Ferguson,1966-67,MTL,L,67,20,22,42,-1,177,0.63,5,9,0,0,2,0,150,13.3,,--,--
27,Bernie Geoffrion,1966-67,NYR,R,58,17,25,42,-2,42,0.72,5,16,0,0,2,0,155,11.0,,--,--
28,Ralph Backstrom,1966-67,MTL,C,69,14,27,41,-3,39,0.59,1,5,0,0,0,0,188,7.4,,--,--
29,Bobby Orr,1966-67,BOS,D,61,13,28,41,1,102,0.67,3,15,1,3,0,0,262,5.0,,--,--
30,Yvan Cournoyer,1966-67,MTL,R,69,25,15,40,-11,4,0.58,20,28,0,0,7,0,130,19.2,,--,--
31,Paul Henderson,1966-67,DET,L,46,21,19,40,6,10,0.87,6,11,1,1,5,0,102,20.6,,--,--
32,Harry Howell,1966-67,NYR,D,70,12,28,40,4,54,0.57,2,14,0,0,0,0,200,6.0,,--,--
33,Red Kelly,1966-67,TOR,D,61,14,24,38,0,4,0.62,2,10,0,0,0,0,132,10.6,,--,--
34,Jean Beliveau,1966-67,MTL,C,53,12,26,38,3,22,0.72,2,15,0,0,0,0,166,7.2,,--,--
35,Chico Maki,1966-67,CHI,R,56,9,29,38,32,14,0.68,1,5,1,2,5,0,75,12.0,,--,--
36,Eric Nesterenko,1966-67,CHI,R,68,14,23,37,6,38,0.54,1,4,3,3,1,0,111,12.6,,--,--
37,John McKenzie,1966-67,BOS,R,70,17,19,36,-35,98,0.51,3,7,1,2,5,0,167,10.2,,--,--
38,Ed Westfall,1966-67,BOS,R,70,12,24,36,1,26,0.51,1,8,0,0,0,0,147,8.2,,--,--
39,Orland Kurtenbach,1966-67,NYR,C,60,11,25,36,0,58,0.60,5,6,1,3,3,0,156,7.0,,--,--
40,Claude Larose,1966-67,MTL,R,69,19,16,35,-4,82,0.51,2,2,0,0,3,0,166,11.4,,--,--
41,Pete Stemkowski,1966-67,TOR,C,68,13,22,35,16,75,0.51,1,2,0,0,4,0,158,8.2,,--,--
42,Ken Hodge,1966-67,CHI,R,68,10,25,35,16,59,0.51,0,3,0,0,3,0,124,8.1,,--,--
43,Murray Oliver,1966-67,BOS,C,65,9,26,35,-18,14,0.54,1,7,0,0,2,0,155,5.8,,--,--
44,Gary Bergman,1966-67,DET,D,70,5,30,35,-3,129,0.50,1,3,0,1,1,0,130,3.8,,--,--
45,Earl Ingarfield,1966-67,NYR,C,67,12,22,34,-14,10,0.51,0,2,1,1,3,0,159,7.5,,--,--
46,J.C. Tremblay,1966-67,MTL,D,60,8,26,34,-10,14,0.57,3,15,0,0,1,0,134,6.0,,--,--
47,Pat Stapleton,1966-67,CHI,D,70,3,31,34,32,52,0.49,0,5,0,0,1,0,143,2.1,,--,--
48,Vic Hadfield,1966-67,NYR,L,69,13,20,33,-8,80,0.48,3,9,0,0,1,0,184,7.1,,--,--
49,George Armstrong,1966-67,TOR,R,70,9,24,33,-2,26,0.47,3,11,0,0,3,0,155,5.8,,--,--
50,Jim Pappin,1966-67,TOR,R,64,21,11,32,9,89,0.50,6,9,0,0,7,0,137,15.3,,--,--
51,Gilles Tremblay,1966-67,MTL,L,62,13,19,32,0,19,0.52,3,7,1,1,2,0,160,8.1,,--,--
52,Reg Fleming,1966-67,NYR,D,61,15,16,31,-6,146,0.51,2,2,0,0,1,0,115,13.0,,--,--
53,Andy Bathgate,1966-67,DET,R,60,8,23,31,-15,24,0.52,0,11,0,0,1,0,157,5.1,,--,--
54,Wayne Connelly,1966-67,BOS,C,64,13,17,30,-15,10,0.47,1,3,0,0,1,0,126,10.3,,--,--
55,Ron Schock,1966-67,BOS,C,66,10,20,30,-12,8,0.45,2,4,0,0,1,0,122,8.2,,--,--
56,Larry Jeffrey,1966-67,TOR,L,56,11,17,28,1,27,0.50,1,5,1,3,1,0,85,12.9,,--,--
57,Brian Conacher,1966-67,TOR,L,66,14,13,27,6,47,0.41,1,1,0,0,1,0,137,10.2,,--,--
58,Ron Murphy,1966-67,BOS,L,39,11,16,27,-10,6,0.69,0,4,0,0,1,0,94,11.7,,--,--
59,Doug Jarrett,1966-67,CHI,D,70,5,21,26,43,76,0.37,1,1,0,1,1,0,147,3.4,,--,--
60,Floyd Smith,1966-67,DET,R,54,11,14,25,-20,8,0.46,6,11,0,0,0,0,109,10.1,,--,--
61,Eddie Shack,1966-67,TOR,L,63,11,14,25,-4,56,0.40,0,1,0,0,2,0,114,9.6,,--,--
62,Tim Horton,1966-67,TOR,D,70,8,17,25,-2,70,0.36,3,7,0,0,1,0,113,7.1,,--,--
63,Ron Stewart,1966-67,BOS,R,56,14,10,24,-14,31,0.43,5,6,0,0,1,0,113,12.4,,--,--
64,Claude Provost,1966-67,MTL,R,64,11,13,24,-3,16,0.38,3,4,0,2,3,0,135,8.1,,--,--
65,Dick Duff,1966-67,MTL,L,51,12,11,23,-7,23,0.45,3,8,0,0,2,0,98,12.2,,--,--
66,Larry Hillman,1966-67,TOR,D,56,4,19,23,10,38,0.41,0,2,0,2,0,0,84,4.8,,--,--
67,Tommy Williams,1966-67,BOS,R,29,8,13,21,-9,0,0.72,2,5,0,0,2,0,47,17.0,,--,--
68,Leo Boivin,1966-67,DET,D,69,4,17,21,-19,78,0.30,0,1,0,2,1,0,134,3.0,,--,--
69,Bill Hay,1966-67,CHI,C,36,7,13,20,3,12,0.56,0,1,0,1,1,0,68,10.3,,--,--
70,Jacques Laperriere,1966-67,MTL,D,61,0,20,20,-17,48,0.33,0,8,0,0,0,0,109,0.0,,--,--
71,Dave Balon,1966-67,MTL,L,48,11,8,19,3,31,0.40,0,0,0,0,5,0,65,16.9,,--,--
72,Ed Van Impe,1966-67,CHI,D,61,8,11,19,29,111,0.31,0,0,0,0,3,0,87,9.2,,--,--
73,Lou Angotti,1966-67,CHI,C,63,6,12,18,4,17,0.29,2,4,0,1,0,0,49,12.2,,--,--
