,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Bill Cook,1926-27,NYR,R,44,33,4,37,,56,0.84,,,,,7,1,,--,,--,--
2,Dick Irvin,1926-27,CHI,C,44,18,18,36,,34,0.82,,,,,2,0,,--,,--,--
3,Howie Morenz,1926-27,MTL,C,44,25,7,32,,51,0.73,,,,,5,0,,--,,--,--
4,Frank Fredrickson,1926-27,"DCG, BOS",C,44,18,13,31,,50,0.70,,,,,3,0,,--,,--,--
5,Babe Dye,1926-27,CHI,R,41,25,5,30,,14,0.73,,,,,2,1,,--,,--,--
6,Ace Bailey,1926-27,TSP,R,42,15,13,28,,80,0.67,,,,,4,1,,--,,--,--
7,Frank Boucher,1926-27,NYR,C,44,13,15,28,,17,0.64,,,,,2,0,,--,,--,--
8,Billy Burch,1926-27,NYA,C,43,19,8,27,,42,0.63,,,,,6,1,,--,,--,--
9,Fred Cook,1926-27,NYR,L,44,14,11,25,,42,0.57,,,,,4,0,,--,,--,--
10,Harry Oliver,1926-27,BOS,R,43,18,6,24,,17,0.56,,,,,4,1,,--,,--,--
11,George Hay,1926-27,CHI,L,35,14,10,24,,12,0.69,,,,,2,0,,--,,--,--
12,Cy Denneny,1926-27,SEN,L,42,17,6,23,,14,0.55,,,,,9,2,,--,,--,--
13,Duke Keats,1926-27,"BOS, DCG",C,42,15,8,23,,56,0.55,,,,,4,1,,--,,--,--
14,Hib Milks,1926-27,PIR,L,44,16,6,22,,16,0.50,,,,,4,1,,--,,--,--
15,Bill Carson,1926-27,TSP,C,40,16,6,22,,41,0.55,,,,,3,0,,--,,--,--
16,Jimmy Herberts,1926-27,BOS,C,34,15,7,22,,51,0.65,,,,,4,2,,--,,--,--
17,Johnny Sheppard,1926-27,DCG,L,43,14,8,22,,60,0.51,,,,,0,0,,--,,--,--
18,Mickey MacKay,1926-27,CHI,C,34,14,8,22,,23,0.65,,,,,4,1,,--,,--,--
19,Nels Stewart,1926-27,MMR,C,43,17,4,21,,129,0.49,,,,,7,2,,--,,--,--
20,Gord Fraser,1926-27,CHI,D,44,14,6,20,,93,0.45,,,,,5,1,,--,,--,--
21,King Clancy,1926-27,SEN,D,43,10,10,20,,78,0.47,,,,,3,0,,--,,--,--
22,Art Gagne,1926-27,MTL,R,44,14,4,18,,44,0.41,,,,,3,0,,--,,--,--
23,Aurel Joliat,1926-27,MTL,L,43,14,4,18,,79,0.42,,,,,7,1,,--,,--,--
