,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Phil Esposito,1971-72,BOS,C,76,66,67,133,54,76,1.75,27,52,2,4,16,0,426,15.5,,--,--
2,Bobby Orr,1971-72,BOS,D,76,37,80,117,83,106,1.54,11,35,4,9,4,0,353,10.5,,--,--
3,Jean Ratelle,1971-72,NYR,C,63,46,63,109,61,4,1.73,5,26,1,1,6,0,183,25.1,,--,--
4,Vic Hadfield,1971-72,NYR,L,78,50,56,106,60,142,1.36,23,34,0,0,7,0,242,20.7,,--,--
5,Rod Gilbert,1971-72,NYR,R,73,43,54,97,50,64,1.33,6,23,0,0,4,0,238,18.1,,--,--
6,Frank Mahovlich,1971-72,MTL,L,76,43,53,96,42,36,1.26,14,31,4,6,4,0,261,16.5,,--,--
7,Bobby Hull,1971-72,CHI,L,78,50,43,93,53,24,1.19,8,23,3,4,9,0,336,14.9,,--,--
8,Yvan Cournoyer,1971-72,MTL,R,73,47,36,83,24,15,1.14,17,32,0,0,5,0,208,22.6,,--,--
9,Johnny Bucyk,1971-72,BOS,L,78,32,51,83,15,4,1.06,13,45,0,0,7,0,174,18.4,,--,--
10,Bobby Clarke,1971-72,PHI,C,78,35,46,81,24,87,1.04,11,20,1,1,3,0,225,15.6,,--,--
11,Jacques Lemaire,1971-72,MTL,C,77,32,49,81,37,26,1.05,8,23,0,0,7,0,266,12.0,,--,--
12,Fred Stanfield,1971-72,BOS,L,78,23,56,79,19,14,1.01,5,27,0,0,4,0,169,13.6,,--,--
13,Marcel Dionne,1971-72,DET,C,78,28,49,77,0,14,0.99,7,25,0,0,2,0,268,10.4,,--,--
14,Pit Martin,1971-72,CHI,C,78,24,51,75,45,56,0.96,5,12,1,1,7,0,170,14.1,,--,--
15,Richard Martin,1971-72,BUF,L,73,44,30,74,-39,36,1.01,19,32,0,0,5,0,266,16.5,,--,--
16,Gilbert Perreault,1971-72,BUF,C,76,26,48,74,-41,24,0.97,11,36,0,0,1,0,218,11.9,,--,--
17,Brad Park,1971-72,NYR,D,75,24,49,73,63,130,0.97,8,24,2,3,4,0,263,9.1,,--,--
18,Norm Ullman,1971-72,TOR,C,77,23,50,73,7,26,0.95,9,19,0,0,1,0,204,11.3,,--,--
19,Mickey Redmond,1971-72,DET,R,78,42,29,71,-15,34,0.91,10,22,0,0,5,0,271,15.5,,--,--
20,Garry Unger,1971-72,STL,C,78,36,34,70,-7,104,0.90,14,21,1,1,4,0,321,11.2,,--,--
21,Dennis Hull,1971-72,CHI,L,78,30,39,69,21,10,0.88,8,16,1,1,2,0,270,11.1,,--,--
22,Red Berenson,1971-72,DET,C,78,28,41,69,-8,16,0.88,6,21,2,2,2,0,218,12.8,,--,--
23,John McKenzie,1971-72,BOS,R,77,22,47,69,20,128,0.90,10,31,0,0,3,0,133,16.5,,--,--
24,Peter Mahovlich,1971-72,MTL,C,75,35,32,67,15,103,0.89,7,16,4,5,6,0,207,16.9,,--,--
25,Walt Tkaczuk,1971-72,NYR,C,76,24,42,66,33,65,0.87,3,11,2,6,2,0,231,10.4,,--,--
26,Stan Mikita,1971-72,CHI,C,74,26,39,65,16,46,0.88,5,16,0,1,6,0,185,14.1,,--,--
27,Alex Delvecchio,1971-72,DET,C,75,20,45,65,-17,22,0.87,9,18,0,0,5,0,123,16.3,,--,--
28,Guy Lafleur,1971-72,MTL,R,73,29,35,64,27,48,0.88,5,13,0,0,5,0,187,15.5,,--,--
29,Bill Goldsworthy,1971-72,MNS,R,78,31,31,62,11,59,0.79,6,18,0,0,8,0,295,10.5,,--,--
30,Andre Boudrias,1971-72,VAN,L,78,27,34,61,-34,26,0.78,6,17,0,0,5,0,224,12.0,,--,--
31,Orland Kurtenbach,1971-72,VAN,C,78,24,37,61,-1,48,0.78,5,18,3,3,1,0,160,15.0,,--,--
32,Bill Fairbairn,1971-72,NYR,R,78,22,37,59,35,53,0.76,2,6,4,6,6,0,139,15.8,,--,--
33,Syl Apps Jr.,1971-72,PIT,C,72,15,44,59,17,78,0.82,3,14,1,1,1,0,164,9.1,,--,--
34,Derek Sanderson,1971-72,BOS,C,78,25,33,58,25,108,0.74,0,0,7,12,2,0,198,12.6,,--,--
35,Paul Henderson,1971-72,TOR,L,73,38,19,57,11,32,0.78,12,15,1,1,5,0,191,19.9,,--,--
36,Bobby Rousseau,1971-72,NYR,R,78,21,36,57,9,12,0.73,4,20,1,2,6,0,180,11.7,,--,--
37,J.C. Tremblay,1971-72,MTL,D,76,6,51,57,53,24,0.75,3,28,0,2,2,0,130,4.6,,--,--
38,Mike Walton,1971-72,BOS,C,76,28,28,56,23,45,0.74,6,11,0,0,4,0,236,11.9,,--,--
39,Murray Oliver,1971-72,MNS,C,77,27,29,56,9,16,0.73,7,18,0,0,4,0,191,14.1,,--,--
40,Ken Hodge,1971-72,BOS,R,60,16,40,56,39,81,0.93,0,4,1,2,2,0,140,11.4,,--,--
41,Jude Drouin,1971-72,MNS,C,63,13,43,56,4,31,0.89,3,19,0,0,5,0,213,6.1,,--,--
42,Juha Widing,1971-72,LAK,C,78,27,28,55,-35,26,0.71,3,13,0,0,3,0,192,14.1,,--,--
43,Gerry Pinder,1971-72,CGS,L,74,23,31,54,-18,59,0.73,7,18,1,1,1,0,140,16.4,,--,--
44,Nick Libett,1971-72,DET,L,77,31,22,53,7,50,0.69,6,11,3,3,5,0,219,14.1,,--,--
45,Marc Tardif,1971-72,MTL,L,75,31,22,53,15,81,0.71,9,16,0,0,4,0,203,15.3,,--,--
46,Jean Pronovost,1971-72,PIT,R,68,30,23,53,13,12,0.78,3,9,1,2,3,0,214,14.0,,--,--
47,Tim Ecclestone,1971-72,DET,L,72,18,35,53,-21,33,0.74,10,21,0,0,1,0,189,9.5,,--,--
48,Ralph Backstrom,1971-72,LAK,C,76,23,29,52,-22,22,0.68,7,12,1,3,4,0,181,12.7,,--,--
49,Wayne Cashman,1971-72,BOS,L,74,23,29,52,41,103,0.70,1,3,0,0,3,0,150,15.3,,--,--
50,Frank St. Marseille,1971-72,STL,R,78,16,36,52,5,34,0.67,1,9,0,0,1,0,228,7.0,,--,--
51,Jocelyn Guevremont,1971-72,VAN,D,75,13,38,51,-28,44,0.68,3,15,0,1,1,0,210,6.2,,--,--
52,Butch Goring,1971-72,LAK,C,74,21,29,50,-11,2,0.68,3,11,0,0,2,0,137,15.3,,--,--
53,Greg Polis,1971-72,PIT,R,76,30,19,49,-3,38,0.64,8,10,0,0,0,0,208,14.4,,--,--
54,Jack Egers,1971-72,"NYR, STL",R,80,23,26,49,8,48,0.61,6,16,0,0,2,0,223,10.3,,--,--
55,Lou Nanne,1971-72,MNS,D,78,21,28,49,-6,27,0.63,7,14,0,0,6,0,154,13.6,,--,--
56,Gary Dornhoefer,1971-72,PHI,R,75,17,32,49,-15,183,0.65,2,12,3,4,2,0,167,10.2,,--,--
57,Guy Lapointe,1971-72,MTL,D,69,11,38,49,13,58,0.71,4,19,0,1,4,0,227,4.8,,--,--
58,Jim Pappin,1971-72,CHI,R,64,27,21,48,4,38,0.75,1,4,1,3,5,0,145,18.6,,--,--
59,Dave Keon,1971-72,TOR,C,72,18,30,48,1,4,0.67,2,16,2,2,5,0,265,6.8,,--,--
60,Dave Balon,1971-72,"NYR, VAN",L,75,23,24,47,-9,23,0.63,7,16,0,1,4,0,133,17.3,,--,--
61,Ron Ellis,1971-72,TOR,R,78,23,24,47,6,17,0.60,4,11,0,0,7,0,191,12.0,,--,--
62,Wayne Maki,1971-72,VAN,L,76,22,25,47,-4,41,0.62,5,10,0,0,3,0,160,13.8,,--,--
63,Dean Prentice,1971-72,MNS,L,71,20,27,47,5,14,0.66,7,12,0,0,1,0,206,9.7,,--,--
