,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Daniel Sedin,2010-11,VAN,L,82,41,63,104,30,32,1.27,18,42,0,0,10,0,266,15.4,18:33,24.3,23.5
2,Martin St. Louis,2010-11,TBL,R,82,31,68,99,0,12,1.21,4,41,0,0,7,1,254,12.2,20:59,24.3,38.2
3,Corey Perry,2010-11,ANA,R,82,50,48,98,9,104,1.20,14,31,4,5,11,2,290,17.2,22:19,26.5,40.9
4,Henrik Sedin,2010-11,VAN,C,82,19,75,94,26,40,1.15,8,35,0,0,4,0,157,12.1,19:16,24.6,52.0
5,Steven Stamkos,2010-11,TBL,C,82,45,46,91,3,74,1.11,17,36,0,0,8,1,272,16.5,20:12,23.7,46.5
6,Jarome Iginla,2010-11,CGY,R,82,43,43,86,0,40,1.05,14,30,0,0,6,1,289,14.9,20:56,23.2,54.0
7,Alex Ovechkin,2010-11,WSH,L,79,32,53,85,24,41,1.08,7,24,0,0,11,3,367,8.7,21:22,21.7,33.3
8,Teemu Selanne,2010-11,ANA,R,73,31,49,80,6,49,1.10,16,34,0,0,5,0,213,14.5,17:56,22.7,44.5
9,Henrik Zetterberg,2010-11,DET,C,80,24,56,80,-1,40,1.00,10,30,0,1,3,2,306,7.8,19:35,23.6,52.4
10,Brad Richards,2010-11,DAL,C,72,28,49,77,1,24,1.07,7,29,0,0,3,0,272,10.3,21:43,23.3,50.6
11,Eric Staal,2010-11,CAR,C,81,33,43,76,-10,72,0.94,12,29,3,3,8,0,296,11.1,21:56,27.5,48.0
12,Jonathan Toews,2010-11,CHI,C,80,32,44,76,25,26,0.95,10,25,1,2,8,1,233,13.7,20:46,27.4,56.7
13,Claude Giroux,2010-11,PHI,C,82,25,51,76,20,47,0.93,8,19,3,7,5,0,169,14.8,19:24,25.2,50.0
14,Ryan Getzlaf,2010-11,ANA,C,67,19,57,76,14,35,1.13,7,27,0,0,4,2,117,16.2,21:51,25.8,45.8
15,Ryan Kesler,2010-11,VAN,C,82,41,32,73,24,66,0.89,15,30,3,4,7,1,260,15.8,20:30,26.0,57.4
16,Patrick Marleau,2010-11,SJS,C,82,37,36,73,-3,16,0.89,11,26,2,3,9,3,279,13.3,20:47,27.0,52.4
17,Thomas Vanek,2010-11,BUF,L,80,32,41,73,2,24,0.91,11,28,0,0,5,2,238,13.4,17:21,21.3,30.8
18,Loui Eriksson,2010-11,DAL,L,79,27,46,73,10,8,0.92,10,25,1,3,6,2,179,15.1,20:34,24.3,25.0
19,Patrick Kane,2010-11,CHI,R,73,27,46,73,7,28,1.00,5,24,0,0,2,0,216,12.5,19:17,24.0,14.3
20,Anze Kopitar,2010-11,LAK,C,75,25,48,73,25,20,0.97,6,18,1,1,6,1,233,10.7,21:35,25.6,49.9
21,Patrick Sharp,2010-11,CHI,L,74,34,37,71,-1,38,0.96,12,26,2,3,6,1,268,12.7,19:25,25.3,48.0
22,Bobby Ryan,2010-11,ANA,R,82,34,37,71,15,61,0.87,5,10,1,1,5,1,270,12.6,20:11,25.7,39.7
23,Mike Ribeiro,2010-11,DAL,C,82,19,52,71,-4,28,0.87,7,23,0,0,4,1,161,11.8,19:58,23.6,46.6
24,Joe Thornton,2010-11,SJS,C,80,21,49,70,4,47,0.88,9,33,2,2,3,0,149,14.1,19:52,25.9,54.4
25,Alex Tanguay,2010-11,CGY,L,79,22,47,69,0,24,0.87,3,20,0,0,2,0,120,18.3,19:46,23.5,39.3
26,Daniel Briere,2010-11,PHI,C,77,34,34,68,20,87,0.88,6,15,0,0,6,0,246,13.8,18:19,22.4,48.2
