,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Edmonton Oilers,1985-86,80,56,17,7,,119,0,.744,426,310,0,5.33,3.88,26.3,81.1,33.1,34.7,--
1,2,Philadelphia Flyers,1985-86,80,53,23,4,,110,0,.688,335,241,0,4.19,3.01,23.6,82.8,34.1,28.9,--
2,3,Washington Capitals,1985-86,80,50,23,7,,107,0,.669,315,272,0,3.94,3.40,22.8,81.0,30.3,27.7,--
3,4,Quebec Nordiques,1985-86,80,43,31,6,,92,0,.575,330,289,0,4.13,3.61,23.6,81.3,32.4,29.9,--
4,5,New York Islanders,1985-86,80,39,29,12,,90,0,.563,327,284,0,4.09,3.55,22.7,78.4,29.4,33.2,--
5,6,Calgary Flames,1985-86,80,40,31,9,,89,0,.556,354,315,0,4.42,3.94,24.3,76.2,34.6,31.4,--
6,7,Montréal Canadiens,1985-86,80,40,33,7,,87,0,.544,330,280,0,4.13,3.50,25.2,79.3,29.4,27.1,--
7,8,Chicago Blackhawks,1985-86,80,39,33,8,,86,0,.538,351,349,0,4.39,4.36,25.9,77.9,32.4,34.9,--
8,9,Boston Bruins,1985-86,80,37,31,12,,86,0,.538,311,288,0,3.89,3.60,22.6,76.0,30.8,27.3,--
9,10,Minnesota North Stars,1985-86,80,38,33,9,,85,0,.531,327,305,0,4.09,3.81,24.4,79.3,32.0,33.6,--
10,11,Hartford Whalers,1985-86,80,40,36,4,,84,0,.525,332,302,0,4.15,3.77,22.1,80.4,29.6,28.7,--
11,12,St. Louis Blues,1985-86,80,37,34,9,,83,0,.519,302,291,0,3.77,3.64,21.5,77.2,31.4,32.3,--
12,13,Buffalo Sabres,1985-86,80,37,37,6,,80,0,.500,296,291,0,3.70,3.64,21.6,80.5,30.0,29.9,--
13,14,New York Rangers,1985-86,80,36,38,6,,78,0,.488,280,276,0,3.50,3.45,20.1,77.7,31.8,30.0,--
14,15,Pittsburgh Penguins,1985-86,80,34,38,8,,76,0,.475,313,305,0,3.91,3.81,22.5,77.0,30.2,31.1,--
15,16,New Jersey Devils,1985-86,80,28,49,3,,59,0,.369,300,374,0,3.75,4.67,19.6,74.3,29.2,31.2,--
16,17,Winnipeg Jets (1979),1985-86,80,26,47,7,,59,0,.369,295,372,0,3.69,4.65,20.2,74.9,31.8,29.9,--
17,18,Vancouver Canucks,1985-86,80,23,44,13,,59,0,.369,282,333,0,3.52,4.16,21.2,78.6,29.5,30.2,--
18,19,Toronto Maple Leafs,1985-86,80,25,48,7,,57,0,.356,311,386,0,3.89,4.83,18.3,77.3,31.3,34.7,--
19,20,Los Angeles Kings,1985-86,80,23,49,8,,54,0,.338,284,389,0,3.55,4.86,17.5,71.9,30.3,32.6,--
20,21,Detroit Red Wings,1985-86,80,17,57,6,,40,0,.250,266,415,0,3.33,5.19,20.9,71.0,28.5,32.9,--
