,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Boston Bruins,1970-71,78,57,14,7,,121,0,.776,399,207,0,5.12,2.65,--,--,40.6,31.3,--
1,2,New York Rangers,1970-71,78,49,18,11,,109,0,.699,259,177,0,3.32,2.27,--,--,35.8,28.0,--
2,3,Chicago Blackhawks,1970-71,78,49,20,9,,107,0,.686,277,184,0,3.55,2.36,--,--,31.0,28.8,--
3,4,Montréal Canadiens,1970-71,78,42,23,13,,97,0,.622,291,216,0,3.73,2.77,--,--,32.8,32.0,--
4,5,St. Louis Blues,1970-71,78,34,25,19,,87,0,.558,223,208,0,2.86,2.67,--,--,30.9,29.0,--
5,6,Toronto Maple Leafs,1970-71,78,37,33,8,,82,0,.526,248,211,0,3.18,2.71,--,--,32.8,33.0,--
6,7,Philadelphia Flyers,1970-71,78,28,33,17,,73,0,.468,207,225,0,2.65,2.88,--,--,31.1,31.8,--
7,8,Minnesota North Stars,1970-71,78,28,34,16,,72,0,.462,191,223,0,2.45,2.86,--,--,30.9,32.0,--
8,9,Los Angeles Kings,1970-71,78,25,40,13,,63,0,.404,239,303,0,3.06,3.88,--,--,31.7,34.4,--
9,10,Buffalo Sabres,1970-71,78,24,39,15,,63,0,.404,217,291,0,2.78,3.73,--,--,26.7,36.1,--
10,11,Pittsburgh Penguins,1970-71,78,21,37,20,,62,0,.397,221,240,0,2.83,3.08,--,--,32.8,29.3,--
11,12,Vancouver Canucks,1970-71,78,24,46,8,,56,0,.359,229,296,0,2.94,3.79,--,--,28.6,34.7,--
12,13,Detroit Red Wings,1970-71,78,22,45,11,,55,0,.353,209,308,0,2.68,3.95,--,--,31.6,32.2,--
13,14,California Golden Seals,1970-71,78,20,53,5,,45,0,.288,199,320,0,2.55,4.10,--,--,29.1,33.8,--
