,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,1995-96,82,62,13,7,,131,0,.799,325,181,0,3.96,2.21,21.3,88.3,32.3,24.2,0.0
1,2,Colorado Avalanche,1995-96,82,47,25,10,,104,0,.634,326,240,0,3.98,2.93,21.3,83.8,32.2,28.9,0.0
2,3,Philadelphia Flyers,1995-96,82,45,24,13,,103,0,.628,282,208,0,3.44,2.54,19.7,85.8,30.9,25.9,0.0
3,4,Pittsburgh Penguins,1995-96,82,49,29,4,,102,0,.622,362,284,0,4.41,3.46,25.9,83.3,32.3,34.6,0.0
4,5,New York Rangers,1995-96,82,41,27,14,,96,0,.585,272,237,0,3.32,2.89,19.8,82.0,32.6,30.2,0.0
5,6,Chicago Blackhawks,1995-96,82,40,28,14,,94,0,.573,273,220,0,3.33,2.68,17.7,85.5,27.3,28.5,0.0
6,7,Florida Panthers,1995-96,82,41,31,10,,92,0,.561,254,234,0,3.10,2.85,17.3,83.0,28.8,27.9,0.0
7,8,Boston Bruins,1995-96,82,40,31,11,,91,0,.555,282,269,0,3.44,3.28,18.7,80.3,34.6,26.9,0.0
8,9,Montréal Canadiens,1995-96,82,40,32,10,,90,0,.549,265,248,0,3.23,3.02,19.0,82.2,28.8,32.4,0.0
9,10,Washington Capitals,1995-96,82,39,32,11,,89,0,.543,234,204,0,2.85,2.49,15.6,82.6,30.1,24.9,0.0
10,11,Tampa Bay Lightning,1995-96,82,38,32,12,,88,0,.537,238,248,0,2.90,3.02,20.8,84.5,31.0,29.6,0.0
11,12,New Jersey Devils,1995-96,82,37,33,12,,86,0,.524,215,202,0,2.62,2.46,14.9,84.6,32.2,26.5,0.0
12,13,Toronto Maple Leafs,1995-96,82,34,36,12,,80,0,.488,247,252,0,3.01,3.07,18.9,82.6,32.6,31.8,0.0
13,14,St. Louis Blues,1995-96,82,32,34,16,,80,0,.488,219,248,0,2.67,3.02,16.5,83.0,31.1,29.8,0.0
14,15,Calgary Flames,1995-96,82,34,37,11,,79,0,.482,241,240,0,2.94,2.93,18.4,80.1,30.1,27.1,0.0
15,16,Vancouver Canucks,1995-96,82,32,35,15,,79,0,.482,278,278,0,3.39,3.39,16.8,81.3,30.1,30.2,0.0
16,17,Winnipeg Jets (1979),1995-96,82,36,40,6,,78,0,.476,275,291,0,3.35,3.55,19.7,79.5,29.4,33.7,0.0
17,18,Anaheim Ducks,1995-96,82,35,39,8,,78,0,.476,234,247,0,2.85,3.01,14.1,80.8,28.7,32.2,0.0
18,19,Hartford Whalers,1995-96,82,34,39,9,,77,0,.470,237,259,0,2.89,3.16,18.0,80.7,30.4,33.7,0.0
19,20,Buffalo Sabres,1995-96,82,33,42,7,,73,0,.445,247,262,0,3.01,3.20,15.9,83.9,28.5,35.5,0.0
20,21,Edmonton Oilers,1995-96,82,30,44,8,,68,0,.415,240,304,0,2.93,3.71,15.9,80.8,30.0,30.4,0.0
21,22,Dallas Stars,1995-96,82,26,42,14,,66,0,.402,227,280,0,2.77,3.41,15.1,80.4,30.1,30.8,0.0
22,23,Los Angeles Kings,1995-96,82,24,40,18,,66,0,.402,256,302,0,3.12,3.68,17.9,81.1,31.4,35.4,0.0
23,24,New York Islanders,1995-96,82,22,50,10,,54,0,.329,229,315,0,2.79,3.84,18.8,78.3,28.2,32.0,0.0
24,25,San Jose Sharks,1995-96,82,20,55,7,,47,0,.287,252,357,0,3.07,4.35,16.1,76.6,26.1,33.1,0.0
25,26,Ottawa Senators,1995-96,82,18,59,5,,41,0,.250,191,291,0,2.33,3.55,12.3,77.9,26.9,30.5,0.0
