,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Buffalo Sabres,2006-07,82,53,22,0,7,113,43,.689,298,238,10,3.63,2.90,17.4,81.3,29.5,31.0,51.4
1,2,Detroit Red Wings,2006-07,82,50,19,0,13,113,48,.689,252,191,2,3.07,2.33,17.1,84.5,33.8,24.6,53.6
2,3,Nashville Predators,2006-07,82,51,23,0,8,110,45,.671,266,207,6,3.24,2.52,17.4,85.8,27.6,31.2,50.3
3,4,Anaheim Ducks,2006-07,82,48,20,0,14,110,44,.671,254,198,4,3.10,2.41,22.4,85.1,31.5,27.4,51.8
4,5,San Jose Sharks,2006-07,82,51,26,0,5,107,49,.652,256,197,2,3.12,2.40,22.4,83.3,28.6,26.2,51.1
5,6,Dallas Stars,2006-07,82,50,25,0,7,107,41,.652,217,193,9,2.65,2.35,18.5,84.4,28.0,25.4,50.1
6,7,New Jersey Devils,2006-07,82,49,24,0,9,107,39,.652,206,193,10,2.51,2.35,17.7,85.2,28.7,28.4,49.0
7,8,Vancouver Canucks,2006-07,82,49,26,0,7,105,44,.640,217,197,5,2.65,2.40,17.2,86.9,29.3,29.2,49.2
8,9,Ottawa Senators,2006-07,82,48,25,0,9,105,46,.640,286,216,2,3.49,2.63,17.9,84.5,32.3,30.2,50.3
9,10,Pittsburgh Penguins,2006-07,82,47,24,0,11,105,37,.640,267,240,10,3.26,2.93,20.3,82.1,28.9,30.9,47.0
10,11,Minnesota Wild,2006-07,82,48,26,0,8,104,38,.634,225,184,10,2.74,2.24,18.9,86.0,29.6,28.8,47.6
11,12,Atlanta Thrashers,2006-07,82,43,28,0,11,97,36,.591,239,241,7,2.91,2.94,16.5,79.8,29.7,31.5,52.9
12,13,Calgary Flames,2006-07,82,43,29,0,10,96,40,.585,255,221,3,3.11,2.70,18.2,80.4,27.3,30.5,48.4
13,14,Colorado Avalanche,2006-07,82,44,31,0,7,95,39,.579,267,247,5,3.26,3.01,21.1,80.2,31.7,29.0,48.6
14,15,New York Rangers,2006-07,82,42,30,0,10,94,33,.573,233,211,9,2.84,2.57,18.5,83.8,31.5,28.4,49.9
15,16,Tampa Bay Lightning,2006-07,82,44,33,0,5,93,34,.567,243,259,10,2.96,3.16,18.4,78.4,29.5,27.2,48.9
16,17,New York Islanders,2006-07,82,40,30,0,12,92,32,.561,240,235,8,2.93,2.87,18.1,81.8,30.0,32.6,51.6
17,18,Toronto Maple Leafs,2006-07,82,40,31,0,11,91,36,.555,254,262,4,3.10,3.20,17.7,78.5,32.7,28.4,51.9
18,19,Montréal Canadiens,2006-07,82,42,34,0,6,90,36,.549,239,251,6,2.91,3.06,22.8,83.5,29.6,32.7,49.5
19,20,Carolina Hurricanes,2006-07,82,40,34,0,8,88,40,.537,241,248,0,2.94,3.02,15.0,84.5,31.2,28.5,52.3
20,21,Florida Panthers,2006-07,82,35,31,0,16,86,33,.524,245,249,2,2.99,3.04,18.1,82.4,33.3,29.3,47.9
21,22,St. Louis Blues,2006-07,82,34,35,0,13,81,28,.494,208,248,6,2.54,3.02,12.1,80.0,26.9,28.9,51.1
22,23,Boston Bruins,2006-07,82,35,41,0,6,76,26,.463,210,285,9,2.56,3.48,17.2,81.7,28.9,33.5,48.3
23,24,Columbus Blue Jackets,2006-07,82,33,42,0,7,73,28,.445,196,244,5,2.39,2.98,14.8,81.2,27.7,28.6,50.1
24,25,Edmonton Oilers,2006-07,82,32,43,0,7,71,29,.433,192,245,3,2.34,2.99,14.2,84.5,26.7,29.7,51.5
25,26,Chicago Blackhawks,2006-07,82,31,42,0,9,71,25,.433,195,251,6,2.38,3.06,11.8,82.6,26.8,29.4,47.8
26,27,Washington Capitals,2006-07,82,28,40,0,14,70,27,.427,234,275,1,2.85,3.35,16.4,80.2,28.0,33.3,49.8
27,28,Los Angeles Kings,2006-07,82,27,41,0,14,68,23,.415,223,277,4,2.72,3.38,18.3,77.8,31.0,29.8,47.7
28,29,Phoenix Coyotes,2006-07,82,31,46,0,5,67,26,.409,211,282,5,2.57,3.44,16.5,78.3,28.3,30.1,52.7
29,30,Philadelphia Flyers,2006-07,82,22,48,0,12,56,21,.341,213,297,1,2.60,3.62,14.1,84.5,28.8,32.6,47.1
