,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1958-59,70,39,18,13,,91,0,.650,258,158,0,3.69,2.26,--,--,--,--,--
1,2,Boston Bruins,1958-59,70,32,29,9,,73,0,.521,205,215,0,2.93,3.07,--,--,--,--,--
2,3,Chicago Blackhawks,1958-59,70,28,29,13,,69,0,.493,197,208,0,2.81,2.97,--,--,--,--,--
3,4,Toronto Maple Leafs,1958-59,70,27,32,11,,65,0,.464,189,201,0,2.70,2.87,--,--,--,--,--
4,5,New York Rangers,1958-59,70,26,32,12,,64,0,.457,201,217,0,2.87,3.10,--,--,--,--,--
5,6,Detroit Red Wings,1958-59,70,25,37,8,,58,0,.414,167,218,0,2.39,3.11,--,--,--,--,--
