,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Boston Bruins,1929-30,44,38,5,1,,77,0,.875,179,98,0,4.07,2.23,--,--,--,--,--
1,2,Montreal Maroons,1929-30,44,23,16,5,,51,0,.580,141,114,0,3.20,2.59,--,--,--,--,--
2,3,Montréal Canadiens,1929-30,44,21,14,9,,51,0,.580,142,114,0,3.23,2.59,--,--,--,--,--
3,4,Ottawa Senators (1917),1929-30,44,21,15,8,,50,0,.568,138,118,0,3.14,2.68,--,--,--,--,--
4,5,Chicago Blackhawks,1929-30,44,21,18,5,,47,0,.534,117,111,0,2.66,2.52,--,--,--,--,--
5,6,New York Rangers,1929-30,44,17,17,10,,44,0,.500,136,143,0,3.09,3.25,--,--,--,--,--
6,7,Toronto Maple Leafs,1929-30,44,17,21,6,,40,0,.455,116,124,0,2.64,2.82,--,--,--,--,--
7,8,Detroit Cougars,1929-30,44,14,24,6,,34,0,.386,117,133,0,2.66,3.02,--,--,--,--,--
8,9,New York Americans,1929-30,44,14,25,5,,33,0,.375,113,161,0,2.57,3.66,--,--,--,--,--
9,10,Pittsburgh Pirates,1929-30,44,5,36,3,,13,0,.148,102,185,0,2.32,4.20,--,--,--,--,--
