,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1968-69,76,46,19,11,,103,0,.678,271,202,0,3.57,2.66,--,--,35.9,29.6,--
1,2,Boston Bruins,1968-69,76,42,18,16,,100,0,.658,303,221,0,3.99,2.91,--,--,34.1,31.1,--
2,3,New York Rangers,1968-69,76,41,26,9,,91,0,.599,231,196,0,3.04,2.58,--,--,37.4,28.8,--
3,4,St. Louis Blues,1968-69,76,37,25,14,,88,0,.579,204,157,0,2.68,2.07,--,--,28.7,31.5,--
4,5,Toronto Maple Leafs,1968-69,76,35,26,15,,85,0,.559,234,217,0,3.08,2.86,--,--,32.5,32.4,--
5,6,Detroit Red Wings,1968-69,76,33,31,12,,78,0,.513,239,221,0,3.14,2.91,--,--,32.8,30.7,--
6,7,Chicago Blackhawks,1968-69,76,34,33,9,,77,0,.506,280,246,0,3.68,3.24,--,--,33.9,34.0,--
7,8,Oakland Seals,1968-69,76,29,36,11,,69,0,.454,219,251,0,2.88,3.30,--,--,29.6,31.6,--
8,9,Philadelphia Flyers,1968-69,76,20,35,21,,61,0,.401,174,225,0,2.29,2.96,--,--,28.7,36.1,--
9,10,Los Angeles Kings,1968-69,76,24,42,10,,58,0,.382,185,260,0,2.43,3.42,--,--,31.9,31.6,--
10,11,Pittsburgh Penguins,1968-69,76,20,45,11,,51,0,.336,189,252,0,2.49,3.32,--,--,29.4,34.2,--
11,12,Minnesota North Stars,1968-69,76,18,43,15,,51,0,.336,189,270,0,2.49,3.55,--,--,30.8,34.0,--
