,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,New York Islanders,1980-81,80,48,18,14,,110,0,.688,355,260,0,4.44,3.25,29.3,79.3,30.2,30.2,--
1,2,St. Louis Blues,1980-81,80,45,18,17,,107,0,.669,352,281,0,4.40,3.51,24.2,82.0,30.4,31.8,--
2,3,Montréal Canadiens,1980-81,80,45,22,13,,103,0,.644,332,232,0,4.15,2.90,24.1,81.7,33.9,26.4,--
3,4,Los Angeles Kings,1980-81,80,43,24,13,,99,0,.619,337,290,0,4.21,3.63,24.6,77.4,27.9,30.7,--
4,5,Buffalo Sabres,1980-81,80,39,20,21,,99,0,.619,327,250,0,4.09,3.13,23.8,83.2,31.0,27.9,--
5,6,Philadelphia Flyers,1980-81,80,41,24,15,,97,0,.606,313,249,0,3.91,3.11,27.0,80.2,33.1,29.0,--
6,7,Calgary Flames,1980-81,80,39,27,14,,92,0,.575,329,298,0,4.11,3.73,27.1,80.5,27.1,33.2,--
7,8,Boston Bruins,1980-81,80,37,30,13,,87,0,.544,316,272,0,3.95,3.40,25.4,76.8,29.0,24.8,--
8,9,Minnesota North Stars,1980-81,80,35,28,17,,87,0,.544,291,263,0,3.64,3.29,21.6,78.9,32.2,29.9,--
9,10,Chicago Blackhawks,1980-81,80,31,33,16,,78,0,.488,304,315,0,3.80,3.94,22.3,75.1,32.1,33.8,--
10,11,Quebec Nordiques,1980-81,80,30,32,18,,78,0,.488,314,318,0,3.92,3.98,23.8,76.3,28.6,30.3,--
11,12,Vancouver Canucks,1980-81,80,28,32,20,,76,0,.475,289,301,0,3.61,3.76,20.6,76.0,31.1,30.1,--
12,13,New York Rangers,1980-81,80,30,36,14,,74,0,.463,312,317,0,3.90,3.96,17.8,78.7,30.7,27.8,--
13,14,Edmonton Oilers,1980-81,80,29,35,16,,74,0,.463,328,327,0,4.10,4.09,22.2,75.4,29.8,29.5,--
14,15,Pittsburgh Penguins,1980-81,80,30,37,13,,73,0,.456,302,345,0,3.77,4.31,23.1,73.4,32.6,30.6,--
15,16,Toronto Maple Leafs,1980-81,80,28,37,15,,71,0,.444,322,367,0,4.03,4.59,25.3,77.4,34.3,33.5,--
16,17,Washington Capitals,1980-81,80,26,36,18,,70,0,.438,286,317,0,3.58,3.96,18.8,73.9,29.3,31.6,--
17,18,Hartford Whalers,1980-81,80,21,41,18,,60,0,.375,292,372,0,3.65,4.65,18.7,75.6,28.8,35.4,--
18,19,Colorado Rockies,1980-81,80,22,45,13,,57,0,.356,258,344,0,3.23,4.30,21.1,75.3,29.6,29.3,--
19,20,Detroit Red Wings,1980-81,80,19,43,18,,56,0,.350,252,339,0,3.15,4.24,19.0,74.1,30.9,29.9,--
20,21,Winnipeg Jets (1979),1980-81,80,9,57,14,,32,0,.200,246,400,0,3.08,5.00,17.3,74.2,28.3,34.9,--
