,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1977-78,80,59,10,11,,129,0,.806,359,183,0,4.49,2.29,31.9,81.0,32.8,25.9,--
1,2,Boston Bruins,1977-78,80,51,18,11,,113,0,.706,333,218,0,4.16,2.73,20.2,82.1,30.3,22.5,--
2,3,New York Islanders,1977-78,80,48,17,15,,111,0,.694,334,210,0,4.17,2.63,31.4,83.5,31.1,28.2,--
3,4,Philadelphia Flyers,1977-78,80,45,20,15,,105,0,.656,296,200,0,3.70,2.50,23.6,80.6,32.9,25.5,--
4,5,Buffalo Sabres,1977-78,80,44,19,17,,105,0,.656,288,215,0,3.60,2.69,22.2,85.8,31.0,27.9,--
5,6,Toronto Maple Leafs,1977-78,80,41,29,10,,92,0,.575,271,237,0,3.39,2.96,21.3,81.4,29.7,30.4,--
6,7,Atlanta Flames,1977-78,80,34,27,19,,87,0,.544,274,252,0,3.42,3.15,22.5,80.2,29.2,26.7,--
7,8,Chicago Blackhawks,1977-78,80,32,29,19,,83,0,.519,230,220,0,2.88,2.75,21.0,84.4,29.2,30.9,--
8,9,Detroit Red Wings,1977-78,80,32,34,14,,78,0,.488,252,266,0,3.15,3.33,20.8,78.1,28.4,28.4,--
9,10,Los Angeles Kings,1977-78,80,31,34,15,,77,0,.481,243,245,0,3.04,3.06,19.4,80.0,31.5,26.9,--
10,11,New York Rangers,1977-78,80,30,37,13,,73,0,.456,279,280,0,3.49,3.50,28.8,80.2,28.1,31.4,--
11,12,Pittsburgh Penguins,1977-78,80,25,37,18,,68,0,.425,254,321,0,3.17,4.01,21.1,74.7,28.8,34.9,--
12,13,Colorado Rockies,1977-78,80,19,40,21,,59,0,.369,257,305,0,3.21,3.81,22.6,77.6,30.0,31.6,--
13,14,Cleveland Barons,1977-78,80,22,45,13,,57,0,.356,230,325,0,2.88,4.06,15.1,74.2,26.7,32.8,--
14,15,Vancouver Canucks,1977-78,80,20,43,17,,57,0,.356,239,320,0,2.99,4.00,22.5,71.5,25.6,30.8,--
15,16,St. Louis Blues,1977-78,80,20,47,13,,53,0,.331,195,304,0,2.44,3.80,16.7,73.3,27.8,29.8,--
16,17,Washington Capitals,1977-78,80,17,49,14,,48,0,.300,195,321,0,2.44,4.01,12.5,71.4,24.9,31.3,--
17,18,Minnesota North Stars,1977-78,80,18,53,9,,45,0,.281,218,325,0,2.73,4.06,14.9,71.6,28.8,31.5,--
