,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Tampa Bay Lightning,2018-19,55,40,11,0,4,84,36,.764,208,153,4,3.78,2.78,28.6,84.7,32.7,32.5,50.7
1,2,Calgary Flames,2018-19,55,34,15,0,6,74,34,.673,202,158,0,3.67,2.87,22.3,79.8,32.2,29.1,52.6
2,3,San Jose Sharks,2018-19,56,33,16,0,7,73,33,.652,203,172,0,3.63,3.07,24.6,82.1,34.4,28.6,50.7
3,4,Toronto Maple Leafs,2018-19,54,34,17,0,3,71,34,.657,194,153,0,3.59,2.83,20.6,80.7,31.4,32.7,52.8
4,5,Winnipeg Jets,2018-19,55,34,18,0,3,71,32,.645,189,158,2,3.44,2.87,26.0,79.9,32.0,33.2,50.2
5,6,Nashville Predators,2018-19,58,33,20,0,5,71,32,.612,175,145,1,3.02,2.50,13.3,81.7,31.9,28.8,51.6
6,7,New York Islanders,2018-19,54,32,16,0,6,70,29,.648,155,127,3,2.87,2.35,16.0,80.3,28.7,30.7,48.4
7,8,Montréal Canadiens,2018-19,56,31,18,0,7,69,29,.616,170,162,2,3.04,2.89,13.5,79.3,33.4,31.2,47.6
8,9,Boston Bruins,2018-19,55,30,17,0,8,68,29,.618,159,142,1,2.89,2.58,27.2,79.5,33.0,30.6,51.2
9,10,Washington Capitals,2018-19,55,30,18,0,7,67,27,.609,183,175,3,3.33,3.18,21.0,78.3,30.3,32.4,46.2
10,11,Vegas Golden Knights,2018-19,57,31,22,0,4,66,29,.579,168,156,2,2.95,2.74,18.1,83.4,33.4,28.6,49.4
11,12,Columbus Blue Jackets,2018-19,54,31,20,0,3,65,31,.602,177,166,0,3.28,3.07,16.7,84.1,31.8,30.1,49.2
12,13,Pittsburgh Penguins,2018-19,55,28,20,0,7,63,27,.573,188,170,1,3.42,3.09,23.5,82.0,32.5,33.0,50.1
13,14,Carolina Hurricanes,2018-19,55,28,21,0,6,62,27,.564,160,158,1,2.91,2.87,16.0,80.2,35.5,28.0,48.8
14,15,Dallas Stars,2018-19,55,28,22,0,5,61,28,.555,142,140,0,2.58,2.55,20.8,82.8,30.2,31.0,52.0
15,16,Buffalo Sabres,2018-19,54,27,20,0,7,61,23,.565,157,166,4,2.91,3.07,18.8,82.0,32.6,32.7,49.3
16,17,Minnesota Wild,2018-19,55,27,23,0,5,59,26,.536,154,158,1,2.80,2.87,21.0,82.4,31.4,29.2,50.5
17,18,St. Louis Blues,2018-19,54,27,22,0,5,59,27,.546,150,154,0,2.78,2.85,18.3,78.6,30.8,28.2,51.9
18,19,Philadelphia Flyers,2018-19,55,25,23,0,7,57,23,.518,159,181,2,2.89,3.29,16.5,76.2,31.4,31.3,56.0
19,20,Vancouver Canucks,2018-19,56,25,24,0,7,57,23,.509,160,171,2,2.86,3.05,16.3,79.5,29.3,31.3,48.9
20,21,New York Rangers,2018-19,54,23,23,0,8,54,17,.500,146,179,6,2.70,3.31,20.8,77.0,28.4,32.5,47.4
21,22,Florida Panthers,2018-19,53,23,22,0,8,54,21,.509,164,180,2,3.09,3.40,27.0,81.6,33.5,30.6,48.9
22,23,Colorado Avalanche,2018-19,54,22,22,0,10,54,22,.500,179,180,0,3.31,3.33,23.8,76.2,32.4,31.3,48.5
23,24,Edmonton Oilers,2018-19,55,24,26,0,5,53,21,.482,156,184,3,2.84,3.35,22.8,75.3,28.7,31.3,47.8
24,25,Arizona Coyotes,2018-19,55,24,26,0,5,53,22,.482,143,160,2,2.60,2.91,17.5,85.1,31.0,30.6,46.6
25,26,Chicago Blackhawks,2018-19,55,22,24,0,9,53,21,.482,176,200,1,3.20,3.64,21.9,73.6,31.5,35.1,49.7
26,27,Los Angeles Kings,2018-19,55,23,27,0,5,51,21,.464,130,164,2,2.36,2.98,15.3,75.9,28.6,31.8,50.8
27,28,Anaheim Ducks,2018-19,56,21,26,0,9,51,18,.455,124,180,3,2.21,3.21,14.9,79.7,27.5,34.3,52.2
28,29,Detroit Red Wings,2018-19,55,21,27,0,7,49,19,.445,152,176,2,2.76,3.20,16.6,77.4,29.3,32.7,51.1
29,30,New Jersey Devils,2018-19,54,20,26,0,8,48,19,.444,155,181,1,2.87,3.35,18.3,83.9,31.8,31.3,48.4
30,31,Ottawa Senators,2018-19,55,21,29,0,5,47,21,.427,172,201,0,3.13,3.65,21.2,77.5,29.8,36.6,50.0
