,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Washington Capitals,2016-17,82,55,19,0,8,118,53,.720,261,177,2,3.18,2.16,23.1,83.8,30.4,27.8,49.8
1,2,Pittsburgh Penguins,2016-17,82,50,21,0,11,111,46,.677,278,229,4,3.39,2.79,23.1,79.8,33.5,32.6,47.6
2,3,Chicago Blackhawks,2016-17,82,50,23,0,9,109,46,.665,240,212,4,2.93,2.59,18.0,77.7,30.6,31.4,47.5
3,4,Columbus Blue Jackets,2016-17,82,50,24,0,8,108,48,.659,247,193,2,3.01,2.35,19.9,82.5,31.0,30.4,48.6
4,5,Minnesota Wild,2016-17,82,49,25,0,8,106,46,.646,263,206,3,3.21,2.51,21.0,82.9,30.8,30.1,51.9
5,6,Anaheim Ducks,2016-17,82,46,23,0,13,105,43,.640,220,197,3,2.68,2.40,18.7,84.7,29.6,29.6,54.7
6,7,Montréal Canadiens,2016-17,82,47,26,0,9,103,44,.628,223,198,3,2.72,2.41,19.7,81.1,30.0,29.6,50.3
7,8,Edmonton Oilers,2016-17,82,47,26,0,9,103,43,.628,243,207,4,2.96,2.52,22.9,80.7,31.1,29.5,47.0
8,9,New York Rangers,2016-17,82,48,28,0,6,102,45,.622,253,216,3,3.09,2.63,20.2,79.8,29.7,30.1,48.4
9,10,San Jose Sharks,2016-17,82,46,29,0,7,99,44,.604,219,200,2,2.67,2.44,16.7,80.7,29.9,27.7,48.1
10,11,St. Louis Blues,2016-17,82,46,29,0,7,99,44,.604,233,216,2,2.84,2.63,21.3,84.8,28.4,28.4,50.3
11,12,Ottawa Senators,2016-17,82,44,28,0,10,98,38,.598,206,210,6,2.51,2.56,17.0,79.7,30.0,30.1,51.0
12,13,Boston Bruins,2016-17,82,44,31,0,7,95,42,.579,232,209,2,2.83,2.55,21.7,85.7,33.2,26.8,53.2
13,14,Toronto Maple Leafs,2016-17,82,40,27,0,15,95,39,.579,250,234,1,3.05,2.85,23.8,82.5,31.9,32.6,49.9
14,15,Calgary Flames,2016-17,82,45,33,0,4,94,41,.573,222,219,4,2.71,2.67,20.2,81.6,29.1,28.7,48.9
15,16,Tampa Bay Lightning,2016-17,82,42,30,0,10,94,38,.573,230,224,4,2.80,2.73,22.8,81.4,29.9,30.4,47.7
16,17,New York Islanders,2016-17,82,41,29,0,12,94,39,.573,239,238,2,2.91,2.90,14.9,81.9,30.2,31.9,47.7
17,18,Nashville Predators,2016-17,82,41,29,0,12,94,39,.573,238,220,2,2.90,2.68,18.9,80.9,31.2,30.1,51.4
18,19,Philadelphia Flyers,2016-17,82,39,33,0,10,88,32,.537,212,231,7,2.59,2.82,19.5,79.8,31.5,28.5,52.3
19,20,Winnipeg Jets,2016-17,82,40,35,0,7,87,37,.530,246,255,3,3.00,3.11,18.2,77.5,29.9,31.0,48.5
20,21,Carolina Hurricanes,2016-17,82,36,31,0,15,87,33,.530,212,230,3,2.59,2.80,17.7,84.2,30.4,28.3,53.1
21,22,Los Angeles Kings,2016-17,82,39,35,0,8,86,37,.524,199,201,2,2.43,2.45,19.1,84.5,31.1,25.9,50.8
22,23,Florida Panthers,2016-17,82,35,36,0,11,81,30,.494,205,231,5,2.50,2.82,17.0,85.3,32.2,31.6,47.9
23,24,Dallas Stars,2016-17,82,34,37,0,11,79,33,.482,222,260,1,2.71,3.17,17.9,73.9,30.5,29.7,49.9
24,25,Detroit Red Wings,2016-17,82,33,36,0,13,79,24,.482,198,244,9,2.41,2.98,15.1,80.8,28.5,30.6,51.9
25,26,Buffalo Sabres,2016-17,82,33,37,0,12,78,31,.476,199,231,2,2.43,2.82,24.5,77.6,30.4,34.3,49.6
26,27,Arizona Coyotes,2016-17,82,30,42,0,10,70,24,.427,191,258,6,2.33,3.15,16.2,77.3,27.8,34.1,48.0
27,28,New Jersey Devils,2016-17,82,28,40,0,14,70,25,.427,180,241,3,2.20,2.94,17.5,79.6,27.8,31.4,49.2
28,29,Vancouver Canucks,2016-17,82,30,43,0,9,69,26,.421,178,241,4,2.17,2.94,14.1,76.7,27.7,31.8,51.1
29,30,Colorado Avalanche,2016-17,82,22,56,0,4,48,21,.293,165,276,1,2.01,3.37,12.6,76.6,28.1,31.7,53.6
