,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Chicago Blackhawks,1990-91,80,49,23,8,,106,0,.663,284,211,0,3.55,2.64,22.1,83.8,32.0,27.7,0.0
1,2,St. Louis Blues,1990-91,80,47,22,11,,105,0,.656,310,250,0,3.88,3.13,20.1,83.8,31.9,29.3,0.0
2,3,Los Angeles Kings,1990-91,80,46,24,10,,102,0,.638,340,254,0,4.25,3.17,20.5,83.0,30.1,30.1,0.0
3,4,Calgary Flames,1990-91,80,46,26,8,,100,0,.625,344,263,0,4.30,3.29,23.7,81.7,32.5,27.5,0.0
4,5,Boston Bruins,1990-91,80,44,24,12,,100,0,.625,299,264,0,3.74,3.30,21.1,82.6,31.4,28.0,0.0
5,6,Montréal Canadiens,1990-91,80,39,30,11,,89,0,.556,273,249,0,3.41,3.11,18.5,80.8,29.8,28.9,0.0
6,7,Pittsburgh Penguins,1990-91,80,41,33,6,,88,0,.550,342,305,0,4.28,3.81,22.9,79.2,30.2,34.0,0.0
7,8,New York Rangers,1990-91,80,36,31,13,,85,0,.531,297,265,0,3.71,3.31,23.6,79.8,30.6,31.9,0.0
8,9,Washington Capitals,1990-91,80,37,36,7,,81,0,.506,258,258,0,3.23,3.23,18.8,86.0,29.6,26.4,0.0
9,10,Buffalo Sabres,1990-91,80,31,30,19,,81,0,.506,292,278,0,3.65,3.48,18.3,83.2,30.1,30.4,0.0
10,11,Edmonton Oilers,1990-91,80,37,37,6,,80,0,.500,272,272,0,3.40,3.40,17.4,79.4,27.6,30.4,0.0
11,12,New Jersey Devils,1990-91,80,32,33,15,,79,0,.494,272,264,0,3.40,3.30,19.9,79.7,31.2,27.9,0.0
12,13,Detroit Red Wings,1990-91,80,34,38,8,,76,0,.475,273,298,0,3.41,3.73,16.4,77.7,28.9,29.4,0.0
13,14,Philadelphia Flyers,1990-91,80,33,37,10,,76,0,.475,252,267,0,3.15,3.34,20.1,80.8,28.6,28.7,0.0
14,15,Hartford Whalers,1990-91,80,31,38,11,,73,0,.456,238,276,0,2.98,3.45,18.1,80.5,28.9,27.0,0.0
15,16,Minnesota North Stars,1990-91,80,27,39,14,,68,0,.425,256,266,0,3.20,3.33,19.9,80.2,32.1,28.3,0.0
16,17,Vancouver Canucks,1990-91,80,28,43,9,,65,0,.406,243,315,0,3.04,3.94,16.6,77.6,30.0,29.6,0.0
17,18,Winnipeg Jets (1979),1990-91,80,26,43,11,,63,0,.394,260,288,0,3.25,3.60,19.4,83.8,28.8,31.2,0.0
18,19,New York Islanders,1990-91,80,25,45,10,,60,0,.375,223,290,0,2.79,3.63,16.1,77.9,27.1,31.2,0.0
19,20,Toronto Maple Leafs,1990-91,80,23,46,11,,57,0,.356,241,318,0,3.01,3.98,17.6,77.4,29.3,32.2,0.0
20,21,Quebec Nordiques,1990-91,80,16,50,14,,46,0,.288,236,354,0,2.95,4.42,15.5,73.4,25.4,35.8,0.0
