,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Calgary Flames,1987-88,80,48,23,9,,105,0,.656,397,305,0,4.96,3.81,28.4,80.4,33.3,29.6,0.0
1,2,Montréal Canadiens,1987-88,80,45,22,13,,103,0,.644,298,238,0,3.73,2.98,15.9,83.8,30.0,28.8,0.0
2,3,Edmonton Oilers,1987-88,80,44,25,11,,99,0,.619,363,288,0,4.54,3.60,21.9,80.8,29.3,29.6,0.0
3,4,Boston Bruins,1987-88,80,44,30,6,,94,0,.588,300,251,0,3.75,3.14,16.6,83.5,32.4,27.2,0.0
4,5,Detroit Red Wings,1987-88,80,41,28,11,,93,0,.581,322,269,0,4.03,3.36,18.8,83.9,28.2,30.2,0.0
5,6,New York Islanders,1987-88,80,39,31,10,,88,0,.550,308,267,0,3.85,3.34,22.5,77.4,30.2,31.6,0.0
6,7,Philadelphia Flyers,1987-88,80,38,33,9,,85,0,.531,292,292,0,3.65,3.65,18.0,81.0,31.0,30.6,0.0
7,8,Washington Capitals,1987-88,80,38,33,9,,85,0,.531,281,249,0,3.51,3.11,20.0,81.0,30.8,27.8,0.0
8,9,Buffalo Sabres,1987-88,80,37,32,11,,85,0,.531,283,305,0,3.54,3.81,17.2,78.1,29.9,32.2,0.0
9,10,New Jersey Devils,1987-88,80,38,36,6,,82,0,.513,295,296,0,3.69,3.70,20.4,78.4,29.9,28.0,0.0
10,11,New York Rangers,1987-88,80,36,34,10,,82,0,.513,300,283,0,3.75,3.54,22.6,80.6,31.8,30.5,0.0
11,12,Pittsburgh Penguins,1987-88,80,36,35,9,,81,0,.506,319,316,0,3.99,3.95,21.9,76.4,31.3,31.1,0.0
12,13,Hartford Whalers,1987-88,80,35,38,7,,77,0,.481,249,267,0,3.11,3.34,17.6,84.3,31.5,27.3,0.0
13,14,Winnipeg Jets (1979),1987-88,80,33,36,11,,77,0,.481,292,310,0,3.65,3.88,25.5,78.8,31.4,29.8,0.0
14,15,St. Louis Blues,1987-88,80,34,38,8,,76,0,.475,278,294,0,3.48,3.67,19.9,79.3,28.6,30.3,0.0
15,16,Quebec Nordiques,1987-88,80,32,43,5,,69,0,.431,271,306,0,3.39,3.83,21.7,76.6,29.9,29.0,0.0
16,17,Chicago Blackhawks,1987-88,80,30,41,9,,69,0,.431,284,328,0,3.55,4.10,23.0,80.2,29.3,35.7,0.0
17,18,Los Angeles Kings,1987-88,80,30,42,8,,68,0,.425,318,359,0,3.98,4.49,21.7,77.4,30.8,32.1,0.0
18,19,Vancouver Canucks,1987-88,80,25,46,9,,59,0,.369,272,320,0,3.40,4.00,18.6,79.5,28.8,30.5,0.0
19,20,Toronto Maple Leafs,1987-88,80,21,49,10,,52,0,.325,273,345,0,3.41,4.31,15.6,77.8,30.1,34.0,0.0
20,21,Minnesota North Stars,1987-88,80,19,48,13,,51,0,.319,242,349,0,3.02,4.36,18.0,75.2,31.0,33.4,0.0
