,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1928-29,44,22,7,15,,59,0,.670,71,43,0,1.61,0.98,--,--,--,--,--
1,2,Boston Bruins,1928-29,44,26,13,5,,57,0,.648,89,52,0,2.02,1.18,--,--,--,--,--
2,3,New York Rangers,1928-29,44,21,13,10,,52,0,.591,72,65,0,1.64,1.48,--,--,--,--,--
3,4,New York Americans,1928-29,44,19,13,12,,50,0,.568,53,53,0,1.20,1.20,--,--,--,--,--
4,5,Toronto Maple Leafs,1928-29,44,21,18,5,,47,0,.534,85,69,0,1.93,1.57,--,--,--,--,--
5,6,Detroit Cougars,1928-29,44,19,16,9,,47,0,.534,72,63,0,1.64,1.43,--,--,--,--,--
6,7,Ottawa Senators (1917),1928-29,44,14,17,13,,41,0,.466,54,67,0,1.23,1.52,--,--,--,--,--
7,8,Montreal Maroons,1928-29,44,15,20,9,,39,0,.443,67,65,0,1.52,1.48,--,--,--,--,--
8,9,Pittsburgh Pirates,1928-29,44,9,27,8,,26,0,.295,46,80,0,1.05,1.82,--,--,--,--,--
9,10,Chicago Blackhawks,1928-29,44,7,29,8,,22,0,.250,33,85,0,0.75,1.93,--,--,--,--,--
