,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Boston Bruins,1973-74,78,52,17,9,,113,0,.724,349,221,0,4.47,2.83,--,--,34.0,29.3,--
1,2,Philadelphia Flyers,1973-74,78,50,16,12,,112,0,.718,273,164,0,3.50,2.10,--,--,33.9,28.4,--
2,3,Chicago Blackhawks,1973-74,78,41,14,23,,105,0,.673,272,164,0,3.49,2.10,--,--,27.4,28.8,--
3,4,Montréal Canadiens,1973-74,78,45,24,9,,99,0,.635,293,240,0,3.76,3.08,--,--,30.2,29.8,--
4,5,New York Rangers,1973-74,78,40,24,14,,94,0,.603,300,251,0,3.85,3.22,--,--,33.1,28.7,--
5,6,Toronto Maple Leafs,1973-74,78,35,27,16,,86,0,.551,274,230,0,3.51,2.95,--,--,34.8,29.2,--
6,7,Los Angeles Kings,1973-74,78,33,33,12,,78,0,.500,233,231,0,2.99,2.96,--,--,29.0,29.1,--
7,8,Buffalo Sabres,1973-74,78,32,34,12,,76,0,.487,242,250,0,3.10,3.21,--,--,31.2,28.7,--
8,9,Atlanta Flames,1973-74,78,30,34,14,,74,0,.474,214,238,0,2.74,3.05,--,--,30.5,30.4,--
9,10,Detroit Red Wings,1973-74,78,29,39,10,,68,0,.436,255,319,0,3.27,4.09,--,--,29.8,32.2,--
10,11,Pittsburgh Penguins,1973-74,78,28,41,9,,65,0,.417,242,273,0,3.10,3.50,--,--,31.6,29.7,--
11,12,St. Louis Blues,1973-74,78,26,40,12,,64,0,.410,206,248,0,2.64,3.18,--,--,28.9,31.1,--
12,13,Minnesota North Stars,1973-74,78,23,38,17,,63,0,.404,235,275,0,3.01,3.53,--,--,31.6,33.5,--
13,14,Vancouver Canucks,1973-74,78,24,43,11,,59,0,.378,224,296,0,2.87,3.79,--,--,28.2,31.7,--
14,15,New York Islanders,1973-74,78,19,41,18,,56,0,.359,182,247,0,2.33,3.17,--,--,26.0,30.6,--
15,16,California Golden Seals,1973-74,78,13,55,10,,36,0,.231,195,342,0,2.50,4.38,--,--,25.6,34.6,--
