,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Chicago Blackhawks,1969-70,76,45,22,9,,99,0,.651,250,170,0,3.29,2.24,--,--,32.2,31.9,--
1,2,Boston Bruins,1969-70,76,40,17,19,,99,0,.651,277,216,0,3.64,2.84,--,--,37.8,32.7,--
2,3,Detroit Red Wings,1969-70,76,40,21,15,,95,0,.625,246,199,0,3.24,2.62,--,--,33.8,31.6,--
3,4,New York Rangers,1969-70,76,38,22,16,,92,0,.605,246,189,0,3.24,2.49,--,--,36.0,28.1,--
4,5,Montréal Canadiens,1969-70,76,38,22,16,,92,0,.605,244,201,0,3.21,2.64,--,--,34.1,31.3,--
5,6,St. Louis Blues,1969-70,76,37,27,12,,86,0,.566,224,179,0,2.95,2.36,--,--,31.4,28.7,--
6,7,Toronto Maple Leafs,1969-70,76,29,34,13,,71,0,.467,222,242,0,2.92,3.18,--,--,34.3,36.1,--
7,8,Pittsburgh Penguins,1969-70,76,26,38,12,,64,0,.421,182,238,0,2.39,3.13,--,--,31.4,29.4,--
8,9,Minnesota North Stars,1969-70,76,19,35,22,,60,0,.395,224,257,0,2.95,3.38,--,--,30.8,36.6,--
9,10,Oakland Seals,1969-70,76,22,40,14,,58,0,.382,169,243,0,2.22,3.20,--,--,28.0,35.1,--
10,11,Philadelphia Flyers,1969-70,76,17,35,24,,58,0,.382,197,225,0,2.59,2.96,--,--,31.8,35.6,--
11,12,Los Angeles Kings,1969-70,76,14,52,10,,38,0,.250,168,290,0,2.21,3.82,--,--,30.3,34.8,--
