,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,2007-08,82,54,21,0,7,115,49,.701,252,179,5,3.07,2.18,20.7,84.0,34.4,23.5,53.3
1,2,San Jose Sharks,2007-08,82,49,23,0,10,108,43,.659,216,187,6,2.63,2.28,18.7,85.8,29.6,24.2,51.2
2,3,Montréal Canadiens,2007-08,82,47,25,0,10,104,42,.634,257,216,5,3.13,2.63,24.1,82.5,29.1,31.6,49.0
3,4,Pittsburgh Penguins,2007-08,82,47,27,0,8,102,40,.622,240,212,7,2.93,2.59,20.4,81.0,27.7,30.8,46.1
4,5,Anaheim Ducks,2007-08,82,47,27,0,8,102,39,.622,197,184,8,2.40,2.24,16.6,83.1,27.3,28.0,50.2
5,6,New Jersey Devils,2007-08,82,46,29,0,7,99,38,.604,198,193,8,2.41,2.35,15.6,82.8,28.8,27.5,50.4
6,7,Minnesota Wild,2007-08,82,44,28,0,10,98,41,.598,220,210,3,2.68,2.56,18.9,85.2,27.0,30.1,47.3
7,8,Dallas Stars,2007-08,82,45,30,0,7,97,40,.591,237,204,5,2.89,2.49,18.1,85.6,26.7,26.1,50.4
8,9,New York Rangers,2007-08,82,42,27,0,13,97,34,.591,205,190,8,2.50,2.32,16.5,84.5,31.5,25.9,52.3
9,10,Colorado Avalanche,2007-08,82,44,31,0,7,95,37,.579,224,216,7,2.73,2.63,14.6,81.4,28.6,27.3,47.8
10,11,Philadelphia Flyers,2007-08,82,42,29,0,11,95,39,.579,245,227,3,2.99,2.77,21.8,83.2,28.8,31.8,49.3
11,12,Washington Capitals,2007-08,82,43,31,0,8,94,39,.573,238,227,4,2.90,2.77,18.8,80.5,31.0,27.5,51.2
12,13,Ottawa Senators,2007-08,82,43,31,0,8,94,40,.573,258,242,3,3.15,2.95,18.3,81.0,30.1,30.0,51.6
13,14,Calgary Flames,2007-08,82,42,30,0,10,94,39,.573,226,224,3,2.76,2.73,16.8,81.5,28.2,28.5,49.5
14,15,Boston Bruins,2007-08,82,41,29,0,12,94,35,.573,206,215,6,2.51,2.62,17.5,78.6,28.5,30.5,49.1
15,16,Carolina Hurricanes,2007-08,82,43,33,0,6,92,41,.561,250,246,2,3.05,3.00,18.8,78.9,32.5,28.9,49.4
16,17,Nashville Predators,2007-08,82,41,32,0,9,91,38,.555,227,224,3,2.77,2.73,14.8,85.4,29.6,29.8,50.5
17,18,Buffalo Sabres,2007-08,82,39,31,0,12,90,35,.549,251,233,4,3.06,2.84,18.0,83.2,30.2,28.4,48.6
18,19,Edmonton Oilers,2007-08,82,41,35,0,6,88,26,.537,220,247,15,2.68,3.01,16.6,84.7,26.3,31.4,50.5
19,20,Chicago Blackhawks,2007-08,82,40,34,0,8,88,35,.537,234,231,5,2.85,2.82,15.9,82.1,28.0,28.6,52.3
20,21,Vancouver Canucks,2007-08,82,39,33,0,10,88,33,.537,207,206,6,2.52,2.51,17.1,82.6,27.5,28.9,48.7
21,22,Florida Panthers,2007-08,82,38,35,0,9,85,33,.518,211,220,5,2.57,2.68,19.2,82.3,31.1,33.6,48.8
22,23,Phoenix Coyotes,2007-08,82,38,37,0,7,83,33,.506,209,225,5,2.55,2.74,18.6,80.7,30.5,30.7,48.6
23,24,Toronto Maple Leafs,2007-08,82,36,35,0,11,83,33,.506,228,256,3,2.78,3.12,17.8,78.1,31.0,29.3,49.8
24,25,Columbus Blue Jackets,2007-08,82,34,36,0,12,80,31,.488,190,210,3,2.32,2.56,14.9,83.3,29.0,27.4,52.3
25,26,New York Islanders,2007-08,82,35,38,0,9,79,30,.482,189,240,5,2.30,2.93,14.5,81.9,29.7,30.3,51.0
26,27,St. Louis Blues,2007-08,82,33,36,0,13,79,30,.482,202,232,3,2.46,2.83,14.1,84.4,26.1,27.4,51.8
27,28,Atlanta Thrashers,2007-08,82,34,40,0,8,76,25,.463,207,266,9,2.52,3.24,16.4,78.8,25.8,33.9,51.8
28,29,Los Angeles Kings,2007-08,82,32,43,0,7,71,27,.433,226,263,5,2.76,3.21,17.4,78.0,28.6,32.0,47.8
29,30,Tampa Bay Lightning,2007-08,82,31,42,0,9,71,29,.433,221,266,2,2.70,3.24,19.3,82.0,28.7,28.2,49.7
