,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,1936-37,48,25,14,9,,59,0,.615,128,102,0,2.67,2.13,--,--,--,--,--
1,2,Montréal Canadiens,1936-37,48,24,18,6,,54,0,.563,115,111,0,2.40,2.31,--,--,--,--,--
2,3,Boston Bruins,1936-37,48,23,18,7,,53,0,.552,120,110,0,2.50,2.29,--,--,--,--,--
3,4,Montreal Maroons,1936-37,48,22,17,9,,53,0,.552,126,110,0,2.63,2.29,--,--,--,--,--
4,5,Toronto Maple Leafs,1936-37,48,22,21,5,,49,0,.510,119,115,0,2.48,2.40,--,--,--,--,--
5,6,New York Rangers,1936-37,48,19,20,9,,47,0,.490,117,106,0,2.44,2.21,--,--,--,--,--
6,7,Chicago Blackhawks,1936-37,48,14,27,7,,35,0,.365,99,131,0,2.06,2.73,--,--,--,--,--
7,8,New York Americans,1936-37,48,15,29,4,,34,0,.354,122,161,0,2.54,3.35,--,--,--,--,--
