,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,New York Rangers,1991-92,80,50,25,5,,105,0,.656,321,246,0,4.01,3.08,20.9,84.8,32.9,31.8,0.0
1,2,Washington Capitals,1991-92,80,45,27,8,,98,0,.613,330,275,0,4.13,3.44,22.3,83.7,31.0,28.4,0.0
2,3,Detroit Red Wings,1991-92,80,43,25,12,,98,0,.613,320,256,0,4.00,3.20,18.6,81.4,31.0,28.0,0.0
3,4,Vancouver Canucks,1991-92,80,42,26,12,,96,0,.600,285,250,0,3.56,3.13,19.4,80.1,33.4,28.7,0.0
4,5,Montréal Canadiens,1991-92,80,41,28,11,,93,0,.581,267,207,0,3.34,2.59,19.5,81.3,30.5,27.8,0.0
5,6,Pittsburgh Penguins,1991-92,80,39,32,9,,87,0,.544,343,308,0,4.29,3.85,21.7,79.9,31.8,31.5,0.0
6,7,New Jersey Devils,1991-92,80,38,31,11,,87,0,.544,289,259,0,3.61,3.24,17.4,81.8,31.2,28.6,0.0
7,8,Chicago Blackhawks,1991-92,80,36,29,15,,87,0,.544,257,236,0,3.21,2.95,17.3,84.2,33.1,25.4,0.0
8,9,Boston Bruins,1991-92,80,36,32,12,,84,0,.525,270,275,0,3.38,3.44,19.0,80.2,33.3,29.2,0.0
9,10,Los Angeles Kings,1991-92,80,35,31,14,,84,0,.525,287,296,0,3.59,3.70,19.2,81.8,30.2,33.3,0.0
10,11,St. Louis Blues,1991-92,80,36,33,11,,83,0,.519,279,266,0,3.49,3.33,19.2,83.5,29.7,33.8,0.0
11,12,Edmonton Oilers,1991-92,80,36,34,10,,82,0,.513,295,297,0,3.69,3.71,18.6,78.0,27.7,31.1,0.0
12,13,Winnipeg Jets (1979),1991-92,80,33,32,15,,81,0,.506,251,244,0,3.14,3.05,20.9,84.1,29.1,31.2,0.0
13,14,New York Islanders,1991-92,80,34,35,11,,79,0,.494,291,299,0,3.64,3.74,22.1,76.5,27.8,32.9,0.0
14,15,Philadelphia Flyers,1991-92,80,32,37,11,,75,0,.469,252,273,0,3.15,3.41,16.5,80.6,29.1,28.7,0.0
15,16,Calgary Flames,1991-92,80,31,37,12,,74,0,.463,296,305,0,3.70,3.81,21.0,78.1,30.9,30.9,0.0
16,17,Buffalo Sabres,1991-92,80,31,37,12,,74,0,.463,289,299,0,3.61,3.74,22.5,78.5,32.5,32.3,0.0
17,18,Minnesota North Stars,1991-92,80,32,42,6,,70,0,.438,246,278,0,3.08,3.48,17.0,81.5,30.7,28.6,0.0
18,19,Toronto Maple Leafs,1991-92,80,30,43,7,,67,0,.419,234,294,0,2.92,3.67,17.5,80.9,30.3,31.1,0.0
19,20,Hartford Whalers,1991-92,80,26,41,13,,65,0,.406,247,283,0,3.09,3.54,17.6,78.3,28.4,29.9,0.0
20,21,Quebec Nordiques,1991-92,80,20,48,12,,52,0,.325,255,318,0,3.19,3.98,17.1,79.3,27.3,31.8,0.0
21,22,San Jose Sharks,1991-92,80,17,58,5,,39,0,.244,219,359,0,2.74,4.49,17.1,78.1,29.3,36.3,0.0
