,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,1935-36,48,24,16,8,,56,0,.583,124,103,0,2.58,2.15,--,--,--,--,--
1,2,Montreal Maroons,1935-36,48,22,16,10,,54,0,.563,114,106,0,2.38,2.21,--,--,--,--,--
2,3,Toronto Maple Leafs,1935-36,48,23,19,6,,52,0,.542,126,106,0,2.63,2.21,--,--,--,--,--
3,4,Boston Bruins,1935-36,48,22,20,6,,50,0,.521,92,83,0,1.92,1.73,--,--,--,--,--
4,5,Chicago Blackhawks,1935-36,48,21,19,8,,50,0,.521,93,92,0,1.94,1.92,--,--,--,--,--
5,6,New York Rangers,1935-36,48,19,17,12,,50,0,.521,91,96,0,1.90,2.00,--,--,--,--,--
6,7,New York Americans,1935-36,48,16,25,7,,39,0,.406,109,122,0,2.27,2.54,--,--,--,--,--
7,8,Montréal Canadiens,1935-36,48,11,26,11,,33,0,.344,82,123,0,1.71,2.56,--,--,--,--,--
