,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1931-32,48,25,16,7,,57,0,.594,128,111,0,2.67,2.31,--,--,--,--,--
1,2,New York Rangers,1931-32,48,23,17,8,,54,0,.563,134,112,0,2.79,2.33,--,--,--,--,--
2,3,Toronto Maple Leafs,1931-32,48,23,18,7,,53,0,.552,155,127,0,3.23,2.65,--,--,--,--,--
3,4,Chicago Blackhawks,1931-32,48,18,19,11,,47,0,.490,86,101,0,1.79,2.10,--,--,--,--,--
4,5,Detroit Falcons,1931-32,48,18,20,10,,46,0,.479,95,108,0,1.98,2.25,--,--,--,--,--
5,6,Montreal Maroons,1931-32,48,19,22,7,,45,0,.469,142,139,0,2.96,2.90,--,--,--,--,--
6,7,Boston Bruins,1931-32,48,15,21,12,,42,0,.438,122,117,0,2.54,2.44,--,--,--,--,--
7,8,New York Americans,1931-32,48,16,24,8,,40,0,.417,95,142,0,1.98,2.96,--,--,--,--,--
