,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Dallas Stars,1998-99,82,51,19,12,,114,0,.695,236,168,0,2.88,2.05,18.8,86.5,27.6,24.0,53.2
1,2,New Jersey Devils,1998-99,82,47,24,11,,105,0,.640,248,196,0,3.02,2.39,19.7,85.5,31.3,24.7,50.0
2,3,Ottawa Senators,1998-99,82,44,23,15,,103,0,.628,239,179,0,2.91,2.18,14.9,86.1,30.5,25.2,48.3
3,4,Colorado Avalanche,1998-99,82,44,28,10,,98,0,.598,239,205,0,2.91,2.50,18.9,83.7,28.0,27.8,50.6
4,5,Toronto Maple Leafs,1998-99,82,45,30,7,,97,0,.591,268,231,0,3.27,2.82,14.4,80.3,28.3,28.8,50.0
5,6,Detroit Red Wings,1998-99,82,43,32,7,,93,0,.567,245,202,0,2.99,2.46,16.1,87.3,32.0,27.0,53.2
6,7,Philadelphia Flyers,1998-99,82,37,26,19,,93,0,.567,231,196,0,2.82,2.39,16.8,84.1,29.9,22.9,55.4
7,8,Boston Bruins,1998-99,82,39,30,13,,91,0,.555,214,181,0,2.61,2.21,17.7,89.2,27.6,27.1,51.8
8,9,Buffalo Sabres,1998-99,82,37,28,17,,91,0,.555,207,175,0,2.52,2.13,13.5,86.2,26.2,30.0,48.0
9,10,Phoenix Coyotes,1998-99,82,39,31,12,,90,0,.549,205,197,0,2.50,2.40,12.0,87.1,29.2,27.4,49.1
10,11,Pittsburgh Penguins,1998-99,82,38,30,14,,90,0,.549,242,225,0,2.95,2.74,17.9,81.5,25.5,26.0,49.2
11,12,St. Louis Blues,1998-99,82,37,32,13,,87,0,.530,237,209,0,2.89,2.55,20.3,87.8,30.1,22.8,52.2
12,13,Carolina Hurricanes,1998-99,82,34,30,18,,86,0,.524,210,202,0,2.56,2.46,11.0,85.3,26.1,29.3,49.6
13,14,Anaheim Ducks,1998-99,82,35,34,13,,83,0,.506,215,206,0,2.62,2.51,21.9,84.5,28.4,31.7,49.0
14,15,San Jose Sharks,1998-99,82,31,33,18,,80,0,.488,196,191,0,2.39,2.33,13.3,85.0,26.1,27.0,47.4
15,16,Edmonton Oilers,1998-99,82,33,37,12,,78,0,.476,230,226,0,2.80,2.76,14.4,82.1,29.2,27.1,48.5
16,17,Florida Panthers,1998-99,82,30,34,18,,78,0,.476,210,228,0,2.56,2.78,13.4,81.9,28.1,28.7,44.9
17,18,New York Rangers,1998-99,82,33,38,11,,77,0,.470,217,227,0,2.65,2.77,20.4,85.7,25.4,30.2,49.0
18,19,Montréal Canadiens,1998-99,82,32,39,11,,75,0,.457,184,209,0,2.24,2.55,14.5,87.2,27.7,26.9,48.5
19,20,Calgary Flames,1998-99,82,30,40,12,,72,0,.439,211,234,0,2.57,2.85,14.3,79.8,28.6,29.5,47.7
20,21,Chicago Blackhawks,1998-99,82,29,41,12,,70,0,.427,202,248,0,2.46,3.02,14.9,80.2,26.2,29.3,51.5
21,22,Los Angeles Kings,1998-99,82,32,45,5,,69,0,.421,189,222,0,2.30,2.71,13.1,85.8,28.3,30.0,50.2
22,23,Washington Capitals,1998-99,82,31,45,6,,68,0,.415,200,218,0,2.44,2.66,17.3,84.4,29.0,26.1,53.4
23,24,Nashville Predators,1998-99,82,28,47,7,,63,0,.384,190,261,0,2.32,3.18,12.3,79.0,27.1,33.0,51.3
24,25,New York Islanders,1998-99,82,24,48,10,,58,0,.354,194,244,0,2.37,2.98,15.8,83.5,26.3,28.4,50.5
25,26,Vancouver Canucks,1998-99,82,23,47,12,,58,0,.354,192,258,0,2.34,3.15,15.9,82.9,23.7,29.4,50.2
26,27,Tampa Bay Lightning,1998-99,82,19,54,9,,47,0,.287,179,292,0,2.18,3.56,13.9,82.4,26.0,32.1,47.1
