,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1975-76,80,58,11,11,,127,0,.794,337,174,0,4.21,2.17,--,--,34.2,27.4,--
1,2,Philadelphia Flyers,1975-76,80,51,13,16,,118,0,.738,348,209,0,4.35,2.61,--,--,37.5,27.8,--
2,3,Boston Bruins,1975-76,80,48,15,17,,113,0,.706,313,237,0,3.91,2.96,--,--,33.1,26.4,--
3,4,Buffalo Sabres,1975-76,80,46,21,13,,105,0,.656,339,240,0,4.24,3.00,--,--,34.0,26.3,--
4,5,New York Islanders,1975-76,80,42,21,17,,101,0,.631,297,190,0,3.71,2.38,--,--,30.4,28.6,--
5,6,Los Angeles Kings,1975-76,80,38,33,9,,85,0,.531,263,265,0,3.29,3.31,--,--,29.0,28.8,--
6,7,Toronto Maple Leafs,1975-76,80,34,31,15,,83,0,.519,294,276,0,3.67,3.45,--,--,33.7,31.5,--
7,8,Atlanta Flames,1975-76,80,35,33,12,,82,0,.513,262,237,0,3.27,2.96,--,--,30.5,29.3,--
8,9,Pittsburgh Penguins,1975-76,80,35,33,12,,82,0,.513,339,303,0,4.24,3.79,--,--,33.7,32.0,--
9,10,Chicago Blackhawks,1975-76,80,32,30,18,,82,0,.513,254,261,0,3.17,3.26,--,--,29.4,31.2,--
10,11,Vancouver Canucks,1975-76,80,33,32,15,,81,0,.506,271,272,0,3.39,3.40,--,--,29.7,30.2,--
11,12,St. Louis Blues,1975-76,80,29,37,14,,72,0,.450,249,290,0,3.11,3.63,--,--,29.4,30.9,--
12,13,New York Rangers,1975-76,80,29,42,9,,67,0,.419,262,333,0,3.27,4.16,--,--,33.0,32.2,--
13,14,California Golden Seals,1975-76,80,27,42,11,,65,0,.406,250,278,0,3.13,3.48,--,--,28.7,30.5,--
14,15,Detroit Red Wings,1975-76,80,26,44,10,,62,0,.388,226,300,0,2.83,3.75,--,--,28.4,31.6,--
15,16,Minnesota North Stars,1975-76,80,20,53,7,,47,0,.294,195,303,0,2.44,3.79,--,--,24.4,33.2,--
16,17,Kansas City Scouts,1975-76,80,12,56,12,,36,0,.225,190,351,0,2.38,4.39,--,--,27.4,36.2,--
17,18,Washington Capitals,1975-76,80,11,59,10,,32,0,.200,224,394,0,2.80,4.92,--,--,24.4,36.9,--
