,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,New York Rangers,1993-94,84,52,24,8,,112,0,.667,299,231,0,3.56,2.75,23.0,84.6,34.2,27.7,0.0
1,2,New Jersey Devils,1993-94,84,47,25,12,,106,0,.631,306,220,0,3.64,2.62,18.3,81.1,31.6,29.0,0.0
2,3,Pittsburgh Penguins,1993-94,84,44,27,13,,101,0,.601,299,285,0,3.56,3.39,18.8,82.0,32.5,31.9,0.0
3,4,Detroit Red Wings,1993-94,84,46,30,8,,100,0,.595,356,275,0,4.24,3.27,20.8,80.9,35.6,27.4,0.0
4,5,Toronto Maple Leafs,1993-94,84,43,29,12,,98,0,.583,280,243,0,3.33,2.89,19.2,81.9,30.1,30.4,0.0
5,6,Boston Bruins,1993-94,84,42,29,13,,97,0,.577,289,252,0,3.44,3.00,21.7,84.7,35.5,25.2,0.0
6,7,Calgary Flames,1993-94,84,42,29,13,,97,0,.577,302,256,0,3.60,3.05,21.2,80.6,31.4,27.5,0.0
7,8,Dallas Stars,1993-94,84,42,29,13,,97,0,.577,286,265,0,3.40,3.15,18.4,84.1,30.5,30.8,0.0
8,9,Montréal Canadiens,1993-94,84,41,29,14,,96,0,.571,283,248,0,3.37,2.95,20.1,82.6,31.2,30.2,0.0
9,10,Buffalo Sabres,1993-94,84,43,32,9,,95,0,.565,282,218,0,3.36,2.60,22.6,84.7,28.2,29.3,0.0
10,11,St. Louis Blues,1993-94,84,40,33,11,,91,0,.542,270,283,0,3.21,3.37,20.5,81.2,30.6,35.1,0.0
11,12,Washington Capitals,1993-94,84,39,35,10,,88,0,.524,277,263,0,3.30,3.13,18.1,81.6,31.0,25.9,0.0
12,13,Chicago Blackhawks,1993-94,84,39,36,9,,87,0,.518,254,240,0,3.02,2.86,17.5,83.4,30.3,29.3,0.0
13,14,Vancouver Canucks,1993-94,84,41,40,3,,85,0,.506,279,276,0,3.32,3.29,18.8,81.7,31.3,27.2,0.0
14,15,New York Islanders,1993-94,84,36,36,12,,84,0,.500,282,264,0,3.36,3.14,20.1,81.0,29.9,30.5,0.0
15,16,Florida Panthers,1993-94,84,33,34,17,,83,0,.494,233,233,0,2.77,2.77,15.9,82.6,27.3,33.4,0.0
16,17,San Jose Sharks,1993-94,84,33,35,16,,82,0,.488,252,265,0,3.00,3.15,16.0,78.6,25.0,28.4,0.0
17,18,Philadelphia Flyers,1993-94,84,35,39,10,,80,0,.476,294,314,0,3.50,3.74,20.8,80.7,28.7,31.7,0.0
18,19,Quebec Nordiques,1993-94,84,34,42,8,,76,0,.452,277,292,0,3.30,3.48,15.6,79.6,28.6,30.6,0.0
19,20,Anaheim Ducks,1993-94,84,33,46,5,,71,0,.423,229,251,0,2.73,2.99,14.4,82.7,28.6,31.1,0.0
20,21,Tampa Bay Lightning,1993-94,84,30,43,11,,71,0,.423,224,251,0,2.67,2.99,14.7,82.7,29.8,27.3,0.0
21,22,Los Angeles Kings,1993-94,84,27,45,12,,66,0,.393,294,322,0,3.50,3.83,20.7,80.5,33.0,36.3,0.0
22,23,Edmonton Oilers,1993-94,84,25,45,14,,64,0,.381,261,305,0,3.11,3.63,18.4,80.5,30.3,34.4,0.0
23,24,Hartford Whalers,1993-94,84,27,48,9,,63,0,.375,227,288,0,2.70,3.43,14.9,78.8,27.6,30.8,0.0
24,25,Winnipeg Jets (1979),1993-94,84,24,51,9,,57,0,.339,245,344,0,2.92,4.10,19.4,79.5,29.4,33.3,0.0
25,26,Ottawa Senators,1993-94,84,14,61,9,,37,0,.220,201,397,0,2.39,4.73,14.5,73.3,25.6,33.0,0.0
