,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1976-77,80,60,8,12,,132,0,.825,387,171,0,4.84,2.14,--,--,35.2,25.6,--
1,2,Philadelphia Flyers,1976-77,80,48,16,16,,112,0,.700,323,213,0,4.04,2.66,--,--,31.6,26.8,--
2,3,Boston Bruins,1976-77,80,49,23,8,,106,0,.663,312,240,0,3.90,3.00,--,--,30.1,25.3,--
3,4,New York Islanders,1976-77,80,47,21,12,,106,0,.663,288,193,0,3.60,2.41,--,--,29.5,28.4,--
4,5,Buffalo Sabres,1976-77,80,48,24,8,,104,0,.650,301,220,0,3.76,2.75,--,--,31.6,25.8,--
5,6,Los Angeles Kings,1976-77,80,34,31,15,,83,0,.519,271,241,0,3.39,3.01,--,--,30.6,28.5,--
6,7,Pittsburgh Penguins,1976-77,80,34,33,13,,81,0,.506,240,252,0,3.00,3.15,--,--,29.4,32.4,--
7,8,Toronto Maple Leafs,1976-77,80,33,32,15,,81,0,.506,301,285,0,3.76,3.56,--,--,31.7,34.3,--
8,9,Atlanta Flames,1976-77,80,34,34,12,,80,0,.500,264,265,0,3.30,3.31,--,--,31.2,27.7,--
9,10,St. Louis Blues,1976-77,80,32,39,9,,73,0,.456,239,276,0,2.99,3.45,--,--,30.0,27.4,--
10,11,New York Rangers,1976-77,80,29,37,14,,72,0,.450,272,310,0,3.40,3.88,--,--,34.7,31.8,--
11,12,Minnesota North Stars,1976-77,80,23,39,18,,64,0,.400,240,310,0,3.00,3.88,--,--,27.9,31.9,--
12,13,Chicago Blackhawks,1976-77,80,26,43,11,,63,0,.394,240,298,0,3.00,3.73,--,--,28.3,34.9,--
13,14,Cleveland Barons,1976-77,80,25,42,13,,63,0,.394,240,292,0,3.00,3.65,--,--,28.9,31.8,--
14,15,Vancouver Canucks,1976-77,80,25,42,13,,63,0,.394,235,294,0,2.94,3.67,--,--,27.7,31.0,--
15,16,Washington Capitals,1976-77,80,24,42,14,,62,0,.388,221,307,0,2.76,3.84,--,--,26.1,32.3,--
16,17,Colorado Rockies,1976-77,80,20,46,14,,54,0,.338,226,307,0,2.83,3.84,--,--,28.6,35.2,--
17,18,Detroit Red Wings,1976-77,80,16,55,9,,41,0,.256,183,309,0,2.29,3.86,--,--,27.5,29.1,--
