,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Vancouver Canucks,2010-11,82,54,19,0,9,117,50,.713,258,180,4,3.15,2.20,24.3,85.6,32.0,30.1,54.9
1,2,Washington Capitals,2010-11,82,48,23,0,11,107,43,.652,219,191,5,2.67,2.33,17.5,85.6,31.3,29.0,51.6
2,3,Pittsburgh Penguins,2010-11,82,49,25,0,8,106,39,.646,228,196,10,2.78,2.39,15.8,86.1,31.5,28.7,49.2
3,4,Philadelphia Flyers,2010-11,82,47,23,0,12,106,44,.646,256,216,3,3.12,2.63,16.6,82.7,31.8,30.1,50.3
4,5,San Jose Sharks,2010-11,82,48,25,0,9,105,43,.640,243,208,5,2.96,2.54,23.5,79.6,34.5,28.9,53.7
5,6,Detroit Red Wings,2010-11,82,47,25,0,10,104,43,.634,257,237,4,3.13,2.89,22.3,82.3,33.6,30.7,51.9
6,7,Tampa Bay Lightning,2010-11,82,46,25,0,11,103,40,.628,241,234,6,2.94,2.85,20.5,83.8,31.8,28.7,50.4
7,8,Boston Bruins,2010-11,82,46,25,0,11,103,44,.628,244,189,2,2.98,2.30,16.2,82.6,32.9,32.7,51.9
8,9,Anaheim Ducks,2010-11,82,47,30,0,5,99,43,.604,235,233,4,2.87,2.84,23.5,81.3,28.5,32.3,47.7
9,10,Nashville Predators,2010-11,82,44,27,0,11,99,38,.604,213,190,6,2.60,2.32,15.2,84.9,28.8,30.6,50.2
10,11,Phoenix Coyotes,2010-11,82,43,26,0,13,99,38,.604,226,220,5,2.76,2.68,15.9,78.4,30.3,32.6,51.5
11,12,Los Angeles Kings,2010-11,82,46,30,0,6,98,36,.598,209,196,10,2.55,2.39,16.1,85.5,28.8,27.9,51.1
12,13,Chicago Blackhawks,2010-11,82,44,29,0,9,97,38,.591,252,220,6,3.07,2.68,23.1,79.2,32.2,28.7,50.8
13,14,Montréal Canadiens,2010-11,82,44,30,0,8,96,41,.585,213,206,3,2.60,2.51,19.7,84.4,31.7,31.0,49.0
14,15,Buffalo Sabres,2010-11,82,43,29,0,10,96,38,.585,240,228,5,2.93,2.78,19.4,83.0,32.8,30.7,47.7
15,16,Dallas Stars,2010-11,82,42,29,0,11,95,37,.579,222,226,5,2.71,2.76,18.0,80.1,27.7,30.5,50.0
16,17,Calgary Flames,2010-11,82,41,29,0,12,94,32,.573,241,230,9,2.94,2.80,19.5,81.2,30.5,28.5,48.1
17,18,New York Rangers,2010-11,82,44,33,0,5,93,35,.567,224,195,9,2.73,2.38,16.9,83.7,29.9,29.4,47.7
18,19,Carolina Hurricanes,2010-11,82,40,31,0,11,91,35,.555,231,234,5,2.82,2.85,15.9,81.3,30.7,33.2,44.6
19,20,St. Louis Blues,2010-11,82,38,33,0,11,87,34,.530,236,228,4,2.88,2.78,18.6,81.7,30.2,27.7,47.3
20,21,Minnesota Wild,2010-11,82,39,35,0,8,86,36,.524,203,228,3,2.48,2.78,18.1,82.8,26.2,32.0,50.7
21,22,Toronto Maple Leafs,2010-11,82,37,34,0,11,85,32,.518,213,245,5,2.60,2.99,16.0,77.5,28.8,31.0,50.4
22,23,New Jersey Devils,2010-11,82,38,39,0,5,81,35,.494,171,207,3,2.09,2.52,14.3,83.4,28.6,26.2,51.2
23,24,Columbus Blue Jackets,2010-11,82,34,35,0,13,81,29,.494,210,250,5,2.56,3.05,14.0,80.3,30.6,29.8,51.2
24,25,Atlanta Thrashers,2010-11,82,34,36,0,12,80,29,.488,218,262,5,2.66,3.20,18.3,77.5,31.5,32.2,48.7
25,26,Ottawa Senators,2010-11,82,32,40,0,10,74,30,.451,190,245,2,2.32,2.99,17.5,83.7,29.0,31.2,50.8
26,27,New York Islanders,2010-11,82,30,39,0,13,73,26,.445,225,258,4,2.74,3.15,17.2,83.2,29.4,32.0,50.1
27,28,Florida Panthers,2010-11,82,30,40,0,12,72,26,.439,191,222,4,2.33,2.71,13.1,84.6,30.4,31.8,51.9
28,29,Colorado Avalanche,2010-11,82,30,44,0,8,68,24,.415,221,287,6,2.70,3.50,18.5,76.1,29.2,31.8,50.6
29,30,Edmonton Oilers,2010-11,82,25,45,0,12,62,23,.378,191,260,2,2.33,3.17,14.5,76.9,26.7,31.7,44.1
