,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,1949-50,70,37,19,14,,88,0,.629,229,164,0,3.27,2.34,--,--,--,--,--
1,2,Montréal Canadiens,1949-50,70,29,22,19,,77,0,.550,172,150,0,2.46,2.14,--,--,--,--,--
2,3,Toronto Maple Leafs,1949-50,70,31,27,12,,74,0,.529,176,173,0,2.51,2.47,--,--,--,--,--
3,4,New York Rangers,1949-50,70,28,31,11,,67,0,.479,170,189,0,2.43,2.70,--,--,--,--,--
4,5,Boston Bruins,1949-50,70,22,32,16,,60,0,.429,198,228,0,2.83,3.26,--,--,--,--,--
5,6,Chicago Blackhawks,1949-50,70,22,38,10,,54,0,.386,203,244,0,2.90,3.49,--,--,--,--,--
